Sports and Entertainment,Data on the projected box office revenue of different movies,million USD,normal,vertical
Iron Heart,Shadow Line,Fading Light,Twin Souls
226,722,719,640
292,520,749,889
804,459,718,846
547,658,51,602
527,650,617,682
937,483,756,691
646,859,490,700
213,651,586,490
697,286,469,345
654,685,873,354
548,892,203,631
400,574,561,484
530,387,381,101
612,538,839,330
372,527,672,81
536,452,234,593
142,730,783,817
181,506,126,672
505,788,260,511
432,563,99,550
478,489,658,713
384,554,921,566
458,719,400,332
489,727,139,686
354,722,587,758
565,957,676,435
435,651,459,720
514,684,747,719
320,550,437,444
386,631,898,618
94,514,353,444
685,719,357,588
556,614,269,578
185,841,680,692
351,437,387,837
379,670,556,437
625,595,635,694
82,439,388,271
374,529,268,483
531,403,836,133
160,633,522,887
674,678,239,830
566,610,295,254
141,524,581,952
16,804,486,511
297,320,288,727
449,571,717,732
821,821,528,334
583,1031,745,755
364,443,443,596
657,469,520,1036
120,494,512,453
745,331,803,651
582,506,438,606
564,758,556,410
602,605,568,560
117,395,481,378
572,454,186,785
847,843,546,444
531,788,450,613
577,538,551,636
775,431,698,326
95,491,199,405
563,585,551,442
333,411,679,1023
129,450,621,260
250,359,703,886
563,798,674,812
543,771,894,492
833,564,658,775
532,843,546,642
708,876,432,504
769,558,441,770
701,651,336,966
681,514,212,378
373,252,447,809
615,465,539,484
661,663,187,575
448,833,686,777
434,418,832,130
384,870,413,358
301,665,611,771
733,304,584,343
596,641,551,626
472,439,485,576
208,895,219,441
749,350,526,431
375,378,559,95
643,665,413,906
757,614,429,538
919,315,706,552
354,419,624,693
963,771,422,688
131,922,481,566
964,629,487,587
696,663,536,486
227,808,333,696
735,591,689,525
37,540,438,720
633,409,256,541
793,704,6,574
550,709,497,521
666,636,619,546
340,784,357,120
477,713,914,298
501,641,714,445
721,816,558,137
133,931,513,453
832,606,256,410
680,683,521,359
854,724,475,753
401,620,584,393
810,391,607,463
776,716,861,484
399,384,444,364
278,689,453,678
672,635,712,577
