Tourism and Hospitality,Statistics on the number of one-day visitors to different attractions,Visitors,t,horizontal
Celestial Arch,Crystal Falls,Willow Grove,Dragon Ruins,Golden Dunes
11695,10327,5526,6784,12502
5663,6856,4460,2513,7994
7609,11051,13804,7103,1285
5838,6916,8965,12988,4423
5909,8653,14689,12311,6796
6224,9658,2236,5617,4358
3322,276,10049,10165,5497
11809,6080,4954,7071,10372
10717,7859,6159,8913,10117
10276,2309,8876,8157,7810
2539,10166,3433,10829,6691
7715,11369,6871,3494,7381
10298,5420,12327,6326,12664
8168,7637,7892,8267,4275
7692,10874,10841,8068,4843
7025,5675,6485,9126,7141
7822,9979,9402,10419,5045
8706,7645,7475,8044,5558
11082,7639,10176,7899,5416
6415,8339,7293,5497,11433
6552,5901,11513,10523,7246
6578,11365,5230,848,12410
11711,9169,11849,12127,5287
11370,7391,4629,8119,9348
3606,5073,4950,10897,10699
7012,9732,5584,9650,7684
9363,9054,3918,9788,8057
9898,9279,5461,8822,5829
5236,9937,8222,3720,6190
10303,10128,8480,11753,8771
10004,10892,9258,12764,9674
4698,7057,7783,7469,2049
1088,10002,1509,7291,6362
9028,8740,7154,11882,7294
9216,7468,13600,6484,7314
7062,14642,10960,1525,13439
4247,7804,3317,9022,7063
5932,8394,10879,1310,6711
14236,8600,9075,9626,4812
3101,6677,10656,6933,5101
2384,11290,8623,12254,4309
7904,7022,10753,10521,15121
4585,10346,7473,11011,11778
3041,10409,6103,11567,6593
13352,9927,9175,11310,3462
10273,7521,13141,5112,4534
4524,7329,8194,7859,8919
7829,7954,4878,11377,800
1356,9065,7951,5983,9231
8652,11039,782,8807,3930
11367,10342,11295,7479,8071
3270,9498,1532,10766,8432
6950,7687,7393,7522,11467
11598,10954,13432,8010,6074
7243,11480,5143,3427,12067
3084,10314,12231,6095,5031
8889,8941,10269,3891,7216
6892,10729,10714,2650,8114
5695,8589,6487,6006,12401
6895,3515,21170,1956,15120
4924,3587,722,8278,6795
7378,10949,10765,10167,8264
12300,13618,5912,5862,4891
8860,7218,7144,6688,7257
9921,10511,17592,13331,4720
10240,10147,5327,3620,8705
6323,9575,2154,11356,3413
9608,5022,6767,9806,9580
7736,13031,14854,7271,7459
6559,12546,1763,7536,3146
4857,9826,6108,1861,9137
7217,10335,5243,6767,10528
8580,16422,6275,8578,1771
5908,8053,7186,4231,6569
2335,9223,7133,7694,8059
5583,10701,6252,12566,7926
6563,9048,5589,9925,11029
5333,9472,6871,15006,4338
3171,10910,9983,2886,9028
11493,7195,8598,7186,7963
8214,15558,12054,9020,8617
3903,13318,6867,7904,17532
10271,9644,7580,575,5285
9591,8826,25801,12122,15327
11302,7955,4351,10819,13957
12264,5683,6534,9079,11620
3290,7580,6274,7250,12523
6980,11031,6481,10442,10925
5542,8670,3284,12462,9548
10538,7803,7270,7604,5843
5138,9126,6040,10777,7792
11137,6954,14411,7859,869
10656,7851,13680,10159,8925
13876,9927,3051,8931,5552
8122,6306,396,10797,3546
4476,6601,5943,2840,9423
13663,3927,1709,7037,11760
5429,8836,11209,9420,7762
11672,6431,9521,2272,9796
3744,8497,19647,4461,5479
6182,9848,6784,11664,7181
1417,12780,13744,14383,3154
7346,13376,8724,8257,7551
6760,15707,4878,10248,7122
5044,17687,1051,6494,10110
6889,10155,9794,7439,7077
5517,7401,5396,11217,9705
3953,8395,9868,16341,8441
7362,14424,11539,4940,9521
6431,11135,7272,11632,9828
11829,6195,5030,11324,6425
8186,5823,3723,3692,4191
9879,9467,3281,8353,4512
7030,3953,7981,12542,8018
9684,10162,6412,5651,7006
4080,8257,7406,9758,11527
5566,7178,8182,8814,7909
7895,11561,18162,6568,6325
