Tourism and Hospitality,Statistics on the number of one-day visitors to different attractions,Visitors,skewed,vertical
Emerald Beach,Hidden Valley,Willow Grove,Spring Spa,Sunset Cliff
8664,14606,27283,17950,5625
5110,3221,7193,12152,7464
12709,26683,7320,11226,8328
4122,10696,7186,3782,18236
7453,6137,13258,11965,6720
9116,5095,5791,7343,4320
12835,16156,9161,3967,19358
13594,12297,3861,12201,11070
5216,7981,6731,8516,22563
15899,14665,14771,6998,18688
5832,9735,13932,16554,6145
13639,10193,15613,7803,3172
4035,12882,23586,26007,5286
6231,6757,7130,9546,18326
14762,11255,5746,3630,14831
4248,6844,22999,6459,8334
7242,14308,16053,11338,12379
9063,6061,8954,11329,5630
5588,11328,25658,5713,12671
4175,5701,6601,11916,3371
13781,4302,5358,6527,4146
4728,17171,23539,9748,8611
13833,5833,19740,20305,7099
6775,10515,4948,13226,3236
6767,10399,16454,17998,9476
9011,5167,17801,10119,8533
7264,11095,15741,20769,11380
5365,5188,12696,6142,10230
5244,6543,4932,4902,4652
8493,23961,14841,17431,5324
10798,12447,10319,11742,11718
5035,3771,3887,8816,9289
9426,28712,37462,8917,11930
10077,19559,6115,12695,6101
7650,9252,10498,19015,5356
14440,7033,13077,15166,6012
8197,6056,7806,13910,8908
9281,17863,17592,14024,14741
16477,11555,11344,17140,18567
11524,7513,6040,12457,7678
7170,9522,8922,10355,6887
16253,5025,11411,7854,10936
15838,18223,4469,17101,6171
4651,5082,7745,16344,8087
11906,7381,8736,9813,9622
10640,5240,17313,5082,4050
3949,12466,14467,17968,10437
4771,5184,10746,19178,8774
9373,13619,10424,18339,3548
7174,11128,13311,3834,5639
12647,8938,27471,7716,3762
11646,9216,16989,15312,5286
5613,15420,23360,7038,10178
4432,9216,15860,10772,4408
12310,6827,10149,8452,12503
7610,5762,20276,6781,12525
11730,13742,3388,10405,7579
9580,4378,6220,8088,11409
12675,6880,11460,9960,8329
12016,5243,4341,13131,3547
26140,4789,7355,15440,7634
18517,19963,17060,11081,7940
10224,8218,7332,6390,16441
14970,7025,3421,11381,17977
5799,20967,3529,12475,7668
10619,4194,21012,11504,8708
14481,6869,11322,7375,4258
10617,6898,13898,10072,16777
10101,6551,9989,11370,8448
7638,11759,16367,8513,7752
7980,5369,10816,4792,14628
8899,8672,3841,4241,4975
8306,5317,5437,7337,8844
5869,10609,12193,13859,11015
5609,12737,8363,18142,9272
4699,6795,12131,13328,10082
11555,4893,9525,12505,12115
10014,8462,5861,11529,7329
3840,15799,4384,3580,11176
4481,9592,3890,8262,17901
5143,6846,25236,22911,3754
6299,8486,5756,3551,4797
5940,10660,14058,11536,18739
10316,9094,8062,5247,6753
7469,8482,9590,16070,4721
21105,11850,9658,13769,13336
19527,15375,4382,8041,10045
11690,7871,16543,8914,5009
6869,5698,3803,19388,5183
5654,5364,7232,6150,15195
11556,14926,10075,13140,4710
9952,7389,7144,15394,19050
14400,6056,16411,7843,9952
12431,8384,16601,11832,6441
12128,14351,5303,3257,3648
7571,6703,14142,4840,9643
7682,9589,10903,11141,21286
10834,4748,8082,5529,9846
6438,10171,3579,11125,17364
4334,3163,4213,17537,4501
18152,5765,6969,13975,4955
9670,7086,11901,6613,10250
30560,4865,5780,9841,10463
7160,15757,7371,10702,17339
7680,4409,9422,11956,7691
14223,6745,6821,10608,17656
15336,5369,9679,5036,13277
21320,4589,8275,37806,8090
4724,4396,6183,4078,11489
6922,12110,11818,8138,5770
4168,13383,13751,13614,8649
29164,11884,7729,6784,14259
4983,14842,3283,19492,7318
8319,11740,15799,7138,7569
5543,8396,11745,8389,12729
13420,14079,8490,4492,7718
12670,10538,18864,7630,9763
3800,15634,26507,4046,9666
6781,4376,12190,12480,9626
3839,6763,10179,19294,9409
