Tourism and Hospitality,Statistics on the number of one-day visitors to different attractions,Visitors,t,vertical
Spring Spa,Sun Harbor,Hidden Valley
8305,4658,6575
5845,15748,2801
7653,10555,7166
9907,4998,11575
15202,7606,4888
8022,2547,11173
7922,4848,8975
20657,9236,10440
6737,13636,6910
14999,5978,4936
7459,16247,8192
10256,9105,7183
10488,8514,11192
9081,8178,4882
6922,8282,3411
7097,6177,9687
6229,10756,2777
6507,9651,3727
7206,5087,8616
5031,4740,4829
8834,4119,7011
10558,4327,4781
8693,5492,4702
10441,9261,9582
9863,7871,8560
4295,3365,13117
6282,8834,4811
11304,4127,8980
3514,1391,7323
9586,1751,9084
9870,11360,9878
10922,6403,17666
11603,6562,1720
5736,8498,4555
7885,2754,15087
11777,6125,2963
6038,6143,6481
3445,1292,6906
4281,8459,4280
14471,10791,8145
9528,7095,11642
6429,6807,6061
3000,7094,7844
7097,8834,5343
9900,2469,7512
10419,6412,13797
4458,7411,9785
6513,4168,8887
8292,9108,5904
6476,3989,16620
9976,2446,10577
8743,11,3248
8303,13986,7334
11590,2473,3495
9880,10249,2659
14235,9928,7226
7791,5396,7766
10821,31049,12196
2875,8680,14005
8469,3764,3833
10797,141,7748
10840,1611,6813
8545,3919,4384
12309,8547,8757
4146,6206,2265
3153,693,3627
10874,7449,9031
6066,8722,6131
10489,2979,10309
3591,5904,6257
4427,6514,4779
8465,15250,11079
5606,2442,4932
13541,4017,6483
9063,3656,8539
11005,9240,4722
7312,11276,8467
7953,16319,9223
12942,6271,11330
17994,8840,14155
14186,6144,4013
7062,1740,2218
9872,12835,2647
13227,8327,4662
12036,17588,28525
9806,651,5571
4742,8375,6021
4698,6676,7381
13028,8412,6277
9161,3083,8303
5785,6204,11867
10793,12406,7095
12828,8479,12940
2681,8239,6341
9860,5814,2961
7479,14275,6269
5620,6498,8730
7788,7227,6396
9197,9847,9328
9360,14551,1698
5103,4438,11356
7977,7967,7617
4868,9816,11646
8894,3287,6435
3552,17211,4987
827,13192,7434
7970,5655,10656
