Tourism and Hospitality,Statistics on the number of one-day visitors to different attractions,Visitors,skewed,vertical
Maple Arbor,Rainbow Gorge,Sunset Cliff,Crystal Falls,Whisper Reef,Coral Lookout
7817,8516,18322,6166,5954,11395
9672,6985,3997,9719,9134,28764
12099,4306,7820,17624,8974,5113
9668,10989,6971,11012,5423,13634
16204,5388,21410,9076,24458,11092
8209,7353,4545,12368,8879,7867
12927,3773,6421,13720,4807,8345
6616,10401,8420,18069,10410,5498
4223,34671,7659,13229,10050,30352
16718,18773,9270,16758,8333,16986
11769,11885,18091,5267,11719,3445
15801,10072,15913,4653,10336,11149
11594,7033,6028,16123,8888,11744
5807,12280,17308,9279,7997,9376
11313,9727,20527,15956,6169,10842
9009,14803,7876,30337,11861,9461
10526,10686,10700,7209,11868,7812
17943,11409,3349,9531,9117,11573
11258,11523,8253,6233,19675,22992
14742,10442,14424,6834,3273,12471
9921,10309,6070,41062,8415,10540
4562,10190,7410,21711,17041,11440
11135,7863,9327,31918,6351,18210
8096,11318,8855,9459,8219,5619
5377,12765,12097,6724,12461,15715
10679,10903,3531,26045,15561,6197
14828,7894,21648,15884,17769,10698
8448,17552,8108,6434,6319,14947
10446,10375,12238,5383,11326,8465
20893,4410,9345,23567,6419,14239
5269,18089,7823,12158,14325,20704
14111,8361,5095,9470,11613,8349
10527,11543,5798,10072,7068,12734
5546,6533,15725,28463,17003,8147
4827,4997,11400,4262,4730,15286
5213,7627,11038,12932,9287,17178
11373,8701,7861,10131,6786,11151
7273,19158,8823,7875,12247,5660
22660,6421,5500,8353,19169,14025
8624,13109,6039,18177,10178,8648
11989,8234,9754,12966,6936,14809
11563,6098,6825,4933,7604,5560
11965,10177,9627,21124,20598,4149
6380,9119,25765,21414,9009,17043
11057,11331,18552,6602,11946,15236
18209,10218,6027,32210,38296,19925
7794,9317,6396,6777,9545,9483
7623,5649,10762,36351,18576,15153
13031,8335,8390,7120,10531,20673
12118,11654,9972,4026,7623,18245
11841,14497,12209,10538,9321,5499
6069,9127,5043,15838,19995,10660
5927,4154,5320,7799,8442,8615
7092,20395,6771,5091,14397,12642
10377,7498,9959,5434,5645,5042
12931,8287,8626,17600,5643,4445
12299,10929,4669,14067,12832,5747
12449,9869,20695,17692,18750,9985
16693,8449,6638,6661,14653,7607
14875,6595,16136,11503,4744,30575
7871,7497,15495,21555,5221,6901
8964,11572,5304,13104,10255,12096
9007,15055,14489,20191,6396,19337
8419,8698,4615,5852,19649,12972
10343,18560,11648,11837,5277,19221
13953,30762,7084,7377,6383,9708
17264,12442,19818,8068,11460,7138
4496,22461,7628,7337,6699,7660
15102,13907,21367,3802,4467,6955
18286,9582,15041,8159,6086,13381
8350,7490,16854,3373,7061,10292
9880,8220,11181,21135,14462,7193
8181,9777,12263,7009,14172,7937
13693,6875,9641,14353,17024,7335
6103,22660,11456,8611,22168,9798
6676,6220,40819,8934,9557,11850
8207,6226,7927,18788,8434,10997
12191,17800,15488,7911,5994,7109
4781,11006,9438,8569,5098,9540
8194,6774,4490,16678,5597,10954
9789,10191,8066,16719,4469,20912
6574,12698,9522,5339,4169,9616
8263,7098,11865,8358,17679,12095
5766,7552,13658,3574,3063,7177
14370,18668,17168,13380,14094,19751
7504,3920,11894,29239,6649,11742
9585,5988,8733,7819,11160,18940
13271,14295,5259,14871,9237,10819
6304,8623,6271,7754,5087,15570
6558,5843,9045,6765,9405,8879
3945,21475,9710,8080,13831,10471
20245,7584,6028,10541,16858,14861
6840,5615,4819,9766,4039,9694
15435,18154,15275,10851,7465,14811
4040,8490,8801,12529,14763,28161
13540,7163,4747,20258,10302,6601
4286,8025,3647,17041,7072,11626
13609,8014,18281,12514,9446,13364
17458,5461,8539,5915,7229,9915
12272,9274,24310,8592,10017,12321
7141,13724,14260,12630,5263,6323
7571,15316,8855,14353,37313,9052
5575,5956,15888,6346,4981,5289
6730,17628,14621,8500,10339,37215
17778,7763,20935,5832,14065,17579
11037,9962,18568,14930,7521,5750
10199,6952,5125,6587,7740,25224
10213,9589,5727,11773,4259,7380
9259,7542,7833,6802,12152,7643
6400,9745,10442,14043,10712,8493
9079,9177,10057,7551,4150,19657
17996,4352,15714,16832,8395,7869
23951,14355,14876,8165,7541,12183
9761,17906,11736,19802,5156,6513
10359,5598,18155,17363,4708,12565
9682,9416,5828,7727,6267,9954
8983,8195,14571,6387,5510,10671
7690,18024,9152,6823,8004,10552
6523,4921,7269,14734,8800,4642
6872,5795,6453,13889,7461,7325
