Tourism and Hospitality,Statistics on the number of one-day visitors to different attractions,Visitors,skewed,vertical
Star Plateau,Silver Grove,Sunset Cliff,Thunder Canyon
6266,14848,17190,22543
5950,18407,20275,19436
6343,6069,4567,17506
4790,14797,15761,10968
14072,11332,9707,7415
16658,5823,12796,15533
15431,10664,4332,10105
15220,8703,17956,4959
9829,12820,20392,8433
11509,6845,6593,4668
9446,5369,8068,14221
8465,8009,6735,5290
12106,6470,4818,7784
10492,9004,9643,14250
6705,9269,8375,12406
3725,9029,4455,6150
10643,9309,11621,11175
21694,6382,18820,8394
12510,22691,4403,19763
16340,19317,6294,6506
9726,11604,13420,7236
5009,13061,5426,7757
5823,7961,6553,16568
9301,6988,15539,10122
4605,6298,10895,7470
5599,12640,12461,18850
11120,8729,10533,10458
4851,14245,12715,7341
8596,7359,10752,6859
8037,8993,7501,20963
15018,5801,15342,12713
7396,4660,7028,16749
10595,8294,5246,10897
6512,8882,15226,15492
5116,6105,16864,24044
14794,14397,7417,12263
10698,18198,6702,9402
10061,7488,10014,31181
10621,14357,9370,10207
10406,11062,3809,7931
5466,9485,7996,17460
8678,4632,26852,5775
11633,7474,10029,12777
5781,18676,4145,8037
12291,15915,9583,26059
8003,15575,15774,8743
11873,14494,6106,7565
14224,6685,3148,16915
8049,9435,9711,23698
13094,4663,10631,10532
4945,22251,6149,15035
8072,7784,13666,5655
4423,7137,12868,7580
12914,12911,8898,20702
7789,9126,24551,8892
17176,8388,9817,4930
20469,10200,12162,15757
13147,4762,12750,5445
4408,7367,11602,28184
5933,15766,3260,6944
19416,24970,13776,15860
9594,17301,5545,8803
8922,6720,12796,6512
4849,4519,14544,3804
4902,7023,14011,19033
7975,10341,12009,15112
30368,7223,18320,20012
7256,9190,5481,15733
10416,7083,8617,5403
5745,9018,13450,3867
7430,8066,27485,5425
6301,17634,9476,6100
23894,13537,9510,17912
8750,12582,5853,7586
9414,11720,10234,11062
28358,8522,23716,4453
11294,11524,11894,7152
7768,7759,13998,10348
11902,6843,12962,11060
15847,10339,8543,13377
7526,29084,19187,20569
13358,7762,5934,7782
6619,20220,4935,7724
22476,13137,8267,11999
7272,6818,21611,21529
20243,13625,4024,13762
8706,14011,15788,11428
9129,7052,11213,11091
10030,13174,7000,6428
15905,17844,6048,11635
21702,6479,9910,21594
18371,9758,11157,16488
12190,22640,10668,10351
12032,19691,7491,11936
9741,4426,7587,8535
12374,18228,4907,8453
12388,20064,13703,4450
3950,10136,15977,11579
4328,17127,11550,7627
9444,10154,7745,5388
5615,14540,15062,7841
17567,14473,14943,13929
6220,12258,14476,10542
5403,19832,5472,5473
11009,7458,8737,14014
17977,7879,10005,23455
3605,16964,11967,6080
8697,7531,13896,5377
6620,6877,6801,12342
6848,12530,6694,5574
8510,4650,6798,10343
10683,13540,6908,5562
4859,8268,6460,7875
6105,6778,16386,5301
4754,5530,16201,7983
7093,7321,6233,8474
7785,10913,6643,17426
8061,9249,5209,8874
8739,10781,13745,23596
4945,9943,10631,11672
