Transportation and Logistics,Data on the volume of fruit transportation in cities,tons,skewed,vertical
Ironwood,Rosewood,Springfield,Pinehaven,Westport,Dunvale,Mapleton
83603,33255,54573,127476,89795,60849,53707
83023,41500,47096,68935,103671,40474,48294
42732,95264,49240,53891,39607,65734,48501
49237,55378,131765,87048,66521,48562,52234
103678,35488,73109,43239,57167,49859,44301
45427,42895,49736,110821,60788,71097,35939
38195,55996,50724,63570,58579,49125,43853
58218,44656,79170,51875,63879,53102,53156
52431,47946,78696,37502,76971,96867,94151
66144,39470,110305,51256,226712,32432,73443
44568,39565,72044,79577,67199,33747,47429
47053,47807,63931,58915,100038,63184,49981
66374,64787,59231,50792,47659,37780,59381
51237,38842,39107,62467,116757,36733,60832
116331,37830,42193,29528,74771,70828,48639
48156,44453,129741,42624,121720,37349,63715
64135,55361,146589,94883,75578,42535,61898
65240,43842,41461,99550,84810,63255,74573
39812,45158,53256,59969,48068,42086,68427
92350,76187,62771,75868,53912,41838,77908
38778,61334,45271,41919,62796,34856,66000
49338,39196,54150,40861,54355,45765,48112
70211,73791,65238,48114,71151,74153,41232
63788,37521,147022,72757,132638,50875,48722
116698,44958,151104,31996,68037,50324,93709
70548,52823,55200,33528,56625,52364,116350
51628,57171,75677,40935,68780,43535,41862
71743,42188,132027,98030,80977,67046,60254
53939,26726,110906,58509,104337,44178,49765
94432,39809,68444,57858,95535,35171,53847
60844,47939,45954,43227,85923,67803,47048
73933,43147,54377,39607,68832,66494,47925
61742,28748,33886,50163,58183,35160,59083
41399,27667,91629,62305,71676,60459,45174
113857,96329,118717,79655,51845,79208,47183
75731,65328,38918,52215,84011,48320,59384
58588,45410,50463,58279,56694,54391,51447
42123,44206,157180,107695,53126,85844,36649
72466,55075,72875,85239,47088,56562,43480
78986,53336,60145,42044,54381,80813,95792
48993,47525,53016,73516,61547,75062,103789
54365,59681,63146,34706,56958,47563,58188
86896,32421,61104,41517,100091,133504,54614
58066,68527,55535,69773,62791,32528,72077
66896,41327,39763,46503,89061,49398,52920
100492,59830,46313,58203,46303,51837,75009
36125,39018,47215,68683,82057,47265,73766
81169,71420,46442,51002,60627,41073,48394
67459,40604,70401,57060,68501,71545,75148
57480,28102,52606,49365,92823,49023,91843
41377,62341,38187,68591,63857,56571,90302
38155,64638,56578,62629,56349,35971,39287
50047,39931,57141,32980,54224,49197,69136
41819,60919,47288,37597,133034,35863,78988
120147,47673,35668,74468,101050,36391,43289
68133,41306,93534,46655,51474,45226,49419
85769,69783,56878,62970,83945,43560,97034
61649,97266,65052,45324,52184,76833,46098
42564,65763,58002,70606,39690,62413,131892
63275,27294,50092,70778,56458,40295,68269
76644,83673,51675,44332,79684,64150,84429
89029,33774,70922,36947,44113,43819,97589
46635,63046,95894,39032,115680,69471,83432
63004,50750,34265,50903,51843,69318,77950
41186,32256,56999,68009,38101,90272,69980
59483,65031,53742,37079,53118,58053,46590
60452,90364,60613,46157,51338,48998,43074
98664,39517,57203,64312,56710,71981,98859
75453,59046,74192,51599,88258,46569,41020
39283,41914,107104,46097,57901,95692,58209
38534,50613,55785,56721,57784,93740,42250
66039,39716,34311,29949,67531,112950,37114
79134,41069,80381,78250,54650,150883,41872
53085,68105,60827,69100,69204,38597,46271
43623,41733,48785,52384,64499,48796,97665
42330,83415,57627,29060,76343,65503,40295
42627,73635,99578,91018,83600,59808,83942
39218,71246,50589,55117,54481,64971,101808
143976,48949,56921,50771,66716,41125,41321
56148,63586,50928,58822,61275,38610,136566
42759,36788,51669,34828,50306,64714,63826
43062,49956,57015,66044,43624,64016,63163
160327,33512,51133,57726,90930,31375,79927
98448,64065,66607,72460,71361,61336,42606
57718,66651,73150,33489,56660,55865,66494
69847,119743,43625,60377,39639,48943,51256
43473,63796,52486,34006,49777,49701,52308
33258,34164,86554,36872,59724,49770,53101
74700,83811,66091,48321,98727,57126,57796
46499,33428,78511,64984,54124,86303,62950
114978,78194,47966,32552,52443,50841,49571
58917,62542,49636,45977,49910,39070,46894
35364,36786,111539,102578,97268,40734,48964
66638,88095,50205,42701,70633,60637,56912
45050,48489,62263,106866,65405,33531,44968
57680,66490,85033,36177,48494,39487,58122
81638,40127,36002,43165,54716,41136,65037
56425,46855,60904,72019,94010,91588,60681
83596,58263,36431,81214,66391,73398,47448
31412,39947,107508,120436,48502,43093,48063
71217,35916,60453,58147,40077,49486,36626
48438,40302,52757,87666,37714,36565,62825
60385,71816,65389,71922,44615,91190,45449
45559,58086,70085,31706,101359,45753,52471
40955,59307,43786,76273,49461,49616,93185
83307,52240,60028,51598,68004,64966,105269
70069,71575,45441,44246,75795,54941,61273
33347,54429,101383,27523,124464,79358,52123
79625,38104,63748,85334,60025,49303,54764
62421,89458,47231,68239,77898,33386,43519
45412,97684,103101,59435,49770,35526,46981
85654,59197,36161,60510,82102,35093,41727
72791,94333,39392,52887,53991,53742,62752
65962,56314,85842,138215,71579,41038,51674
61782,45845,90711,86220,54969,38454,64406
39012,60153,77216,68202,49527,43727,84612
61835,37020,66409,51598,74937,63638,45383
51017,39803,53394,70674,74226,37063,84280
41335,49645,74526,39188,73555,50470,49822
46948,43215,42982,49286,59902,57089,68934
