Business and Finance,Data on the monthly revenue of different companies,USD,normal,vertical
PrimeVue,EcoCore,NovaEdge,SwiftLink
59496,37592,28080,68789
53901,30739,50976,77571
35502,49124,39528,58738
49875,68031,27303,39317
59597,76555,64811,57967
54083,52375,42638,52163
56824,84154,47623,64575
81932,57634,35526,56506
64299,30419,51997,41253
66984,19343,31485,89376
64704,41492,39732,50603
44463,49312,38776,72879
74462,51249,37974,91303
63488,99037,43346,59216
54530,26698,48491,42150
63977,71887,39307,66649
62538,67584,38808,29883
83049,56071,50447,43719
58528,51440,55805,64606
45535,68416,17555,39941
71974,67676,57560,78488
47902,111144,39045,76587
73125,67092,27433,53052
45421,56660,60610,43819
64295,49844,21353,51033
69488,32722,45763,56073
62874,83437,44950,72003
42321,50879,31911,45746
37382,53987,32894,60721
34360,78368,17096,61660
79926,93702,41936,42188
43034,46901,44096,39515
43249,57196,43380,43017
45796,58471,27509,49043
86598,44901,19395,79458
71946,43573,27922,74851
58066,89006,45164,70109
47666,49393,51617,50620
56671,24955,37781,33980
63578,38354,38515,47729
59607,54499,54746,59304
48131,67736,28677,59508
57432,45642,44060,39485
52292,30948,37148,33920
61787,44268,29328,47233
41337,30479,38473,55977
79157,57745,35144,61088
67900,63774,37310,51932
67923,33908,46366,42834
70078,66103,54818,41229
8631,60246,54149,70447
54443,64675,27850,54520
56339,57738,45559,54271
57581,33383,61221,56066
73750,50266,45661,63911
42958,26953,41312,54568
17826,58200,44410,42216
52006,53174,25901,55917
55033,64634,50514,25727
77184,32846,58353,47543
38552,55997,49082,79098
55056,64821,40041,72689
19899,81272,11827,64965
36363,52276,36349,31219
53301,50338,37089,43250
28375,37476,45688,76404
55793,31341,41492,57824
41114,38294,41524,40378
82667,57975,44937,39067
60402,62331,37403,67632
48755,72721,30488,21661
40874,57439,42948,57121
68122,55156,36288,33526
72816,50339,21326,67883
48233,52969,28658,69562
49010,82719,26847,65973
37012,53186,56289,50828
65215,41186,35302,66561
33786,52081,51331,53320
80135,48960,38096,33492
60928,42525,47965,34375
40451,24188,13892,64872
71139,73888,18586,47007
62269,27011,55199,25397
45735,39555,54027,11977
69262,51681,41967,67238
41579,35080,56911,59416
29396,45012,56404,79885
54348,57293,32316,59025
81847,76118,32734,41874
49206,60502,35626,66811
41637,62886,54218,42714
72090,50572,29971,57771
29323,62452,47596,62093
57361,31718,48604,60453
60444,31769,26302,65701
29637,42415,40211,41785
68426,37002,65884,72177
70545,65833,28325,43072
43813,69953,29293,56333
82955,49330,33522,40924
80508,53658,58809,79285
37110,34759,41066,51194
51700,68149,69472,48811
85136,64585,72112,60537
67111,47856,44002,31180
72500,59749,74528,37760
52195,38074,63525,53577
38923,71270,62218,32831
82243,11389,14323,61327
37954,42116,32441,76233
61421,35768,40307,82646
84169,53230,58879,34886
52860,60223,36985,56459
71490,19594,53595,18249
41252,50678,41080,23715
31422,40618,30949,54026
97294,44755,46743,49005
26597,42495,17731,71362
47678,37529,44997,51688
