Cultural Trends and Influences,Number of people participating in cultural activities across regions,number,t,vertical
Northgate,Lakeview,Creston,Westport,Ashford,Glenhaven,Springfield
2665,1417,1081,831,1936,2350,1336
2532,1388,903,658,1611,2498,1222
2883,1227,975,857,1642,2332,1005
2440,1251,893,776,1570,2318,1202
2891,1315,871,816,1778,2337,1195
2911,1272,872,904,1481,2428,1087
2717,1354,802,774,1245,2324,1381
2730,1353,898,864,1710,2377,1294
2851,1359,709,696,1780,2365,1419
3009,1367,806,718,1650,2330,1201
2823,1294,935,785,1556,2357,1263
2808,1430,733,882,1639,2279,998
2878,1412,968,722,1614,2393,1263
2749,1378,913,663,1537,2412,1209
2717,1208,819,827,1759,2388,1128
2651,1343,905,762,1591,2494,1126
3035,1353,824,798,1690,2373,1238
2516,1408,793,640,1608,2539,1175
2780,1289,755,833,1771,2303,1320
2722,1450,956,847,1306,2409,1358
2601,1395,908,853,1522,2283,1383
2696,1405,667,726,1795,2363,1214
2596,1382,748,882,1543,2287,1229
2604,1394,870,610,1467,2249,1178
2822,1414,977,752,1627,2345,1097
2780,1283,990,574,1840,2442,1199
2831,1460,941,879,1860,2377,1054
2690,1392,846,814,1550,2383,1297
3145,1354,867,698,1520,2375,1321
2460,1308,851,850,1670,2318,1180
2717,1332,804,733,1824,2350,1121
2792,1353,956,774,1778,2357,1163
2729,1311,940,667,1469,2372,1331
2907,1407,977,789,1667,2392,1304
2689,1282,819,786,1341,2424,1063
2784,1409,931,830,1635,2309,1135
2531,1259,772,826,1596,2466,1398
2614,1220,847,833,1618,2496,1187
2634,1311,979,1042,1402,2440,1196
2715,1389,779,931,1854,2442,1202
2786,1408,1063,670,1949,2370,1229
2728,1332,952,562,1388,2537,1352
2738,1429,979,628,1700,2156,1221
2711,1445,890,684,1807,2526,1124
2705,1336,786,681,1752,2430,1185
2729,1180,1006,576,1612,2375,1117
2575,1299,984,830,1762,2290,1348
2933,1332,739,881,1945,2431,1303
2300,1326,757,777,1582,2340,1290
2835,1323,818,660,1791,2285,1219
2608,1403,928,680,1661,2505,1154
2748,1379,829,977,1614,2446,1341
2418,1391,940,743,1900,2369,1144
2819,1357,938,748,1604,2390,1031
2714,1251,991,654,1654,2373,1254
2799,1310,909,929,1472,2413,1093
2783,1468,957,877,1979,2221,1025
2840,1427,725,759,1482,2532,1151
2790,1328,821,879,1509,2262,1286
2837,1276,884,665,1779,2393,1112
2682,1330,909,598,1544,2388,1182
2660,1197,720,995,1978,2406,1192
2746,1459,1023,854,1616,2376,1138
2656,1313,885,517,1698,2365,1389
2734,1337,973,777,1653,2374,1347
2757,1333,877,929,1999,2321,1131
2785,1367,853,633,1605,2497,948
2685,1355,1005,908,1558,2341,1239
2817,1385,784,802,1579,2276,1208
2564,1296,940,652,1050,2296,1132
2843,1407,851,665,1523,2451,1247
2681,1355,844,953,1532,2373,1290
2741,1386,993,778,1987,2443,1242
2691,1294,975,740,1651,2185,1289
2918,1446,947,878,1525,2348,1270
2693,1175,919,957,1437,2375,1158
2682,1350,827,877,1745,2505,1127
2855,1439,890,411,1535,2367,1213
2814,1346,1019,988,1254,2336,1318
2638,1369,799,892,1706,2466,1277
2785,1372,825,791,1723,2349,1116
3000,1339,950,909,1947,2277,1029
2800,1305,1049,678,1726,2326,1277
2852,1417,634,801,1435,2504,1381
2998,1261,756,523,1499,2368,1149
2840,1409,968,703,1840,2387,1244
2946,1431,812,622,1774,2353,1299
2671,1309,810,862,1554,2403,1344
2739,1350,965,755,1552,2451,1027
2706,1408,823,414,1500,2246,1281
2672,1305,814,774,1461,2408,1084
2585,1405,890,860,1182,2234,1373
2676,1374,913,953,1525,2425,1302
2620,1340,825,706,1421,2403,1231
2671,1402,931,877,1532,2455,1122
2941,1417,913,990,1783,2344,1265
2477,1352,904,629,1117,2340,1160
2821,1318,966,616,1599,2372,1240
2733,1433,844,615,1378,2491,1255
2716,1333,997,858,1379,2385,966
2795,1417,1042,419,1709,2441,1253
2768,1371,738,723,1584,2374,1298
2788,1377,704,766,1636,2240,1173
2822,1302,1070,763,1540,2432,1284
2692,1445,853,811,1590,2467,1134
2844,1279,881,742,1754,2419,1360
2726,1310,836,722,1703,2330,1220
2808,1347,800,585,1497,2373,1210
2701,1373,784,776,1917,2447,1086
2720,1267,780,761,1977,2405,1368
2754,1404,941,515,1566,2316,1195
2700,1306,928,590,1569,2420,1085
2793,1369,918,750,1490,2501,1179
2548,1363,878,521,1463,2354,1220
2836,1240,905,818,1721,2417,1234
2831,1357,866,781,1468,2286,1233
2923,1317,647,1039,1372,2354,1244
2675,1385,972,502,1091,2433,1287
