Cultural Trends and Influences,Number of people participating in cultural activities across regions,number,skewed,vertical
Creston,Northgate,Zephyr,Rosewood
1059,986,1090,1247
1005,1056,1651,1286
2226,896,689,1096
2874,609,736,2547
1685,796,1656,1318
1736,858,1391,1090
2117,781,906,1970
2083,884,1886,1196
935,887,869,1301
930,1215,1012,1731
2014,1054,1015,1698
1472,721,1076,1463
1439,808,1234,1395
1841,1112,833,1452
1973,853,1315,1082
915,796,1023,1296
2257,887,2360,1747
2522,682,1080,1050
1007,905,1578,1113
987,933,897,1529
875,821,945,1205
3603,715,1316,1327
1381,905,648,1535
1674,1001,1215,2391
3378,946,1830,1189
2128,524,1822,1528
1043,927,631,2053
2915,996,1884,1390
1416,820,1078,1079
1196,760,872,1165
871,670,1440,1130
2154,886,850,1161
1318,757,2885,1971
1524,761,904,1247
1535,1095,1040,1149
1720,1218,2797,1826
1744,1336,1149,1645
1132,683,999,2245
2266,802,1846,1228
2033,996,766,1468
2101,1042,813,1491
1327,889,1088,1458
1735,669,824,1048
2013,825,1262,2266
1076,672,2365,1976
1402,767,2058,2074
919,978,2638,1083
3543,847,708,1942
1397,1030,1263,1705
2269,758,913,2432
2601,1294,1372,1388
1450,894,1103,1876
1546,807,1133,1640
1612,964,1951,1165
1676,1286,719,1673
1042,926,2231,1854
1368,729,1083,1366
1375,846,721,1198
991,1190,648,1417
1160,726,1857,1124
1089,672,1864,1863
2164,1255,1651,1295
3460,1362,1619,1258
1700,978,1570,1364
1653,1194,826,2020
2348,1268,1351,1338
1346,814,749,1362
1132,783,916,1104
1772,1551,2583,1074
2179,653,945,1041
2229,785,1132,1037
2446,803,1289,1478
1135,850,1774,1163
1823,727,678,1348
1558,692,1000,1269
1253,972,2235,1609
3181,1601,659,1121
1922,902,941,1169
1413,896,1367,1091
1095,1387,517,1344
1319,1065,2329,1262
2943,718,1841,1249
1386,870,1478,1607
3305,724,582,1703
1518,868,993,1388
1641,788,652,1358
1410,1141,722,1566
2039,1345,991,1241
989,1377,1054,1331
867,1362,866,1626
2081,583,620,1859
1524,641,982,1670
2543,912,933,1180
1014,1235,2229,1546
1641,1327,1067,1360
1453,1254,1253,1529
3609,664,1017,1645
1536,933,934,1191
1632,1172,1622,1035
1236,825,1223,2594
841,593,1912,1181
830,553,1613,1175
2324,1474,847,1935
3205,746,1020,1760
2469,656,1162,1369
894,1436,768,1666
1642,1157,1898,1251
1007,885,1369,1668
1146,1020,1153,1256
758,709,1260,1942
868,707,2274,1680
824,970,1015,1284
1447,982,750,1488
915,1315,1199,1203
2052,1102,1429,1387
1924,778,673,1107
781,1662,2102,1085
1685,1035,1505,1262
