Energy and Utilities,Data on daily energy consumption accross cities,MWh,skewed,horizontal
Glenhaven,Mapleton,Elmhurst,Westport,Yorkton
1737,1114,1852,1778,1765
1655,1120,2045,1201,2309
1675,2020,1732,2031,4068
1944,924,2058,1595,1724
2219,2397,1729,2015,1535
2480,1222,1935,1981,1985
1495,1513,2610,1477,2875
1796,1399,1814,1489,951
1833,2091,1694,1028,2049
1789,1292,2250,1319,2531
1963,2240,2373,1796,1267
2526,1939,2374,1653,2703
1682,2401,2325,1428,3607
2678,2637,2395,1673,2727
1465,1005,1660,2813,2648
1831,1489,1672,1082,2453
1919,1301,1855,1661,3169
2249,2271,1763,1788,1804
2014,3090,2977,1401,4027
2622,2211,2587,1366,4398
1629,3031,1777,1881,4681
1935,2043,1920,1113,1440
1866,1582,2467,1688,3248
1697,1610,1626,1634,2495
1431,1796,1612,1266,2961
2153,2965,2617,1357,2175
1952,1336,1861,1706,1468
1464,1487,1876,1735,3361
1578,3017,2177,2177,2778
1999,1553,2084,1258,3495
1633,1289,2246,1324,6468
2668,3420,2424,1731,3561
1747,2071,2077,1606,2118
1420,1657,2152,2127,1986
2377,2391,1991,1650,3526
1906,1116,2787,1834,3100
1761,2564,1659,1482,1704
2480,1214,1807,1003,1401
2282,2196,1884,1264,2202
2437,1469,3127,2015,1756
1550,1132,1621,1810,2141
2168,1190,2855,1348,1684
1522,1819,2179,1540,1750
1745,2780,1963,1159,1340
1820,1636,1523,1758,1234
1882,1123,2213,997,2769
2052,1180,3161,1597,2337
1782,2281,1775,1410,1893
1493,1356,2087,1308,1261
1475,2336,1830,2395,2551
2099,2064,2634,1895,1232
3330,1148,2436,1188,3169
1409,2041,1657,989,3588
1992,1577,2253,1304,2260
2831,1765,1604,1702,4632
2049,1422,2337,1592,5604
1645,2164,1770,1339,1900
2229,2159,1737,1566,3035
1444,2406,2632,1934,1906
1798,3523,2091,1606,3024
2166,2354,2702,1430,2011
2000,1290,2226,1935,1287
2422,1221,1942,1739,2782
2105,3694,2330,2405,1837
1520,1254,1994,1369,1639
1915,2078,1551,1046,3246
1839,1142,1958,1236,2014
1709,1017,2216,1296,3113
2170,2119,2446,1672,1162
1826,2896,2158,3078,3200
1750,1452,2100,1061,2985
1492,1782,3383,1420,2159
2342,1147,1964,1956,1407
1537,1970,2551,1217,2347
2348,2590,2031,1391,1556
1976,3702,2382,2458,1508
1482,1978,2429,1621,2901
2006,2466,2005,1107,1278
3388,1862,2790,1433,2779
2827,1596,1775,1082,2273
1628,1667,1720,1739,1208
2000,1469,3061,1851,2140
2161,1323,1551,1409,2216
1890,2030,1957,1217,1785
1772,1864,2574,2152,3924
1694,1446,1985,1145,5325
1625,2069,2208,1648,2646
2349,1679,1820,1713,2797
3252,2548,2196,1494,1958
1689,1047,1871,1515,3065
1793,3366,1778,1434,2802
1563,2509,2340,2144,2180
1713,3249,1754,2115,2201
2802,1549,2081,2310,3416
1936,1816,1786,1260,3125
1978,3209,2162,1947,2795
1850,1634,2771,1641,2351
2715,1350,1944,2578,5007
2592,1489,1511,1747,1797
1708,957,1965,1243,3679
2633,1419,2093,1362,2464
1642,1463,1855,1567,2441
1963,1986,1644,1557,1527
2420,1203,2025,2618,1291
1509,2089,2253,2140,3441
2131,3023,2357,1833,2067
1991,1487,3103,1891,4985
2457,1575,1786,1667,2123
2232,2202,1686,1272,1416
1712,1233,2800,1813,3894
1510,1429,2588,2825,1865
2892,1637,2476,2749,1172
1648,1478,1893,1755,2849
1832,2998,2111,1466,2642
3293,2785,1977,2288,2370
2694,3173,2007,1747,1056
1605,2774,2429,1094,1552
1451,1057,1522,1368,3577
