Energy and Utilities,Data on daily energy consumption accross cities,MWh,t,vertical
Creston,Springfield
2329,6041
2416,5395
2363,5949
2727,5182
2317,5410
2409,5667
2461,5096
2299,5823
2679,5907
2480,5430
2442,5826
2326,5426
2344,5783
2444,5343
2320,5939
2450,5568
2531,5424
2626,5619
2449,5739
2360,5018
2069,5699
2587,6069
2579,5149
2351,5590
2354,5453
2497,5738
2493,5729
2424,5994
2314,5710
2717,6173
2109,5891
2465,5658
2391,5624
2404,5836
2533,5533
2374,6058
2503,6179
2549,5282
2308,5344
2343,5321
2350,5602
2098,6104
2364,5728
2330,5433
2338,5491
2378,5433
2448,6194
2609,5401
2608,5709
2575,6004
2373,6190
2270,5612
2334,5700
2396,5321
2497,4932
2617,6423
2038,5663
2353,5724
2499,4881
2405,5469
2706,4745
2421,5472
2693,5848
2475,5452
2383,5450
2615,5482
2563,5204
2544,5523
2451,5448
2377,5522
2536,5240
2650,5689
2384,5168
2501,5711
2593,5692
2360,5923
2337,5918
2315,5311
2393,5756
2593,6220
2433,5825
2496,6262
2236,5508
2452,5841
2328,5971
2476,6088
2300,5467
2256,5828
2376,5680
2308,5483
2346,5832
2308,5638
2436,5691
2371,4958
2399,5140
2316,5715
2508,5294
2513,5794
2266,5982
2569,5501
2259,5419
2168,5092
2386,5464
2398,5742
2501,5780
2295,4788
2610,5359
2372,5270
2316,5831
2272,5624
2414,5075
2447,6098
2421,5888
2461,5722
2286,5695
2330,5885
2377,5606
2390,6030
