Energy and Utilities,Data on daily energy consumption accross cities,MWh,skewed,vertical
Oakridge,Zephyr,Highvale,Pinehaven,Quarryville,Glenhaven
2548,2342,2974,1256,903,1124
3908,1614,2093,1655,1022,1557
2940,3041,2088,1153,1641,1472
2362,1893,2166,1357,1674,1466
2284,2032,2432,3271,1021,1261
2024,1960,2939,1643,1196,1288
2251,2012,3529,1346,903,2963
3611,3136,2079,2358,1574,733
6523,1979,2298,2794,1383,1253
5039,1829,2485,2237,1340,1602
3655,1958,1991,1749,1099,1694
2820,2109,2041,2017,1648,1188
4764,2671,2976,1694,1571,1092
3086,1847,3153,2866,1335,912
3300,1696,2036,1752,1168,2583
3869,1882,2300,2085,958,1322
2121,1832,2170,1358,1078,1932
3568,2278,2321,1616,1809,1190
1970,2970,2576,2209,1157,870
4509,1900,2871,1224,1317,2059
3294,1677,2265,1370,1013,1702
2729,2074,2014,3339,1193,1031
2083,2287,2474,1192,1180,1585
4052,2130,2457,1141,1014,2534
2114,1719,2730,2446,892,878
2945,2898,2700,2267,1754,2126
3090,1799,2312,1968,1142,1322
2984,2136,2058,3057,965,804
4183,2801,2248,1839,915,2560
2591,2790,2493,2121,1364,897
2724,1745,2234,1305,1217,1854
2610,1910,2924,1718,968,1501
2692,1646,2245,1156,1058,1482
3679,2205,2542,1310,972,1914
3635,2716,2170,2430,1138,788
3907,1771,2089,1677,1194,886
5014,2104,2911,1651,953,1519
3071,2806,3303,1303,1100,1126
3251,2208,2714,1917,1444,1723
2382,2279,2329,2830,1601,1324
2819,2117,2132,1305,939,1736
3508,2539,2904,2178,1269,1224
5353,2039,2691,3537,1016,1512
2399,2081,2003,1515,925,2552
2418,2633,2769,1890,1000,1474
4092,2278,3212,1588,1397,1874
2469,2283,2224,1748,916,1349
3960,2262,2323,1683,990,797
2529,3158,2627,2911,1394,1677
6290,2177,2446,1565,1026,1108
2578,2798,2418,1547,1312,1082
4053,1964,2051,2411,1076,2699
2761,2374,2638,1138,1231,1435
2973,1827,2331,1631,1444,1441
2106,2280,2038,2428,1114,1572
4788,1973,2566,2488,1010,2092
2652,2523,2514,1998,1107,1605
3258,1990,2104,2692,1310,1230
4994,1885,2794,2693,940,1670
2988,1955,3162,1883,1047,2310
4344,2483,2415,1404,997,948
2717,2130,2448,1788,1384,2097
4110,2282,2889,1500,1632,1487
4756,2496,2684,2629,1332,1526
2749,2012,2010,1468,894,1368
3556,1916,2258,3060,1176,1069
2395,1786,3397,1738,1053,1142
2464,1929,2194,1604,1646,1786
2204,1992,2191,1658,1089,1629
2774,1871,3015,1694,1002,719
3240,2398,2553,1759,1154,2520
2052,2954,2988,1835,1698,675
3140,2834,2141,3362,1132,1549
2155,2090,2258,1960,1013,1924
1997,1950,2153,1567,1128,780
2449,2576,2715,2075,981,927
4837,3371,2563,1504,916,1062
5621,2312,2427,1164,1380,1217
3256,2730,2213,1921,1409,1151
3067,1861,2777,2406,972,2357
3488,2205,2119,1942,1152,983
3000,2762,2453,2534,1164,1697
2343,2815,2605,3732,943,1050
2185,2104,2140,1680,978,640
2688,2757,2438,1126,1760,2652
2349,2132,2528,1459,915,1604
3137,2862,2035,2635,1033,1618
6946,2171,3212,2757,1444,1624
3292,2199,2193,1209,1233,826
3191,2090,2292,2095,1047,1246
3144,2342,2737,1366,1381,1693
5996,2037,2669,1240,1368,1591
3315,3333,2365,1660,960,1142
2120,2446,2281,1333,1564,1415
3284,2194,2173,1673,1029,1722
3154,1911,2221,3112,1088,1064
3019,2940,3251,1443,1039,1823
3937,2199,2187,1120,1367,1286
2210,2051,2647,1839,1371,1835
4330,2936,3163,2193,1070,1357
2870,2825,2298,2294,1788,2255
2600,1888,2722,1942,1633,959
2923,2401,2669,1952,1045,2510
2421,1930,2199,1318,1087,1229
2727,1996,2656,1468,1053,1041
4747,2290,2074,2489,957,797
5702,1982,2131,1722,1171,1265
2025,2027,2193,3523,1343,1112
4930,1982,2423,1843,1014,1174
1943,1722,2292,2292,940,778
2556,2372,2741,2606,1380,799
2268,1907,2024,1538,956,1916
3047,2081,2307,1196,1351,1413
6101,2388,2211,1947,1527,1172
4691,2263,2670,1189,1051,1728
2258,1752,2829,1868,1000,1117
2789,1942,2038,1916,1183,1092
3673,2189,2087,2155,1053,1070
