Food and Beverage Industry,Data on the sales by food and beverage sectors,million USD,t,horizontal
Coffee Shops,Cafeterias,Bakeries,Asian Cuisine,Steak Houses
611,531,606,492,574
612,528,682,398,451
389,408,586,536,561
376,533,607,610,342
547,588,575,477,477
531,466,593,337,476
368,564,538,363,442
462,364,700,512,329
441,515,610,313,563
412,289,556,401,451
292,396,387,392,661
422,498,559,800,536
576,119,689,470,563
575,540,606,531,500
433,382,512,445,520
430,438,649,315,391
420,556,581,389,607
329,470,568,679,420
548,380,614,571,597
352,326,584,698,433
487,569,603,628,538
487,455,839,706,528
325,353,465,574,349
514,376,548,562,591
626,401,445,612,460
513,276,547,422,507
316,378,659,448,481
378,538,776,498,474
375,243,568,455,389
498,384,465,338,824
443,452,625,338,617
220,402,669,428,804
304,483,657,629,486
527,480,753,455,513
528,341,673,578,410
486,521,484,289,555
346,350,694,586,595
499,476,562,420,502
234,375,612,544,390
362,349,605,514,478
430,498,515,364,561
230,566,733,487,525
309,355,653,334,462
385,491,378,348,305
440,333,667,215,436
557,385,827,604,794
356,428,504,400,644
524,493,560,660,513
423,619,573,489,200
341,456,865,562,498
467,382,699,255,247
443,511,443,470,519
556,466,685,472,429
349,544,208,465,293
509,465,565,431,542
382,509,550,646,566
418,330,504,457,358
481,466,859,405,405
376,514,550,422,331
503,606,640,389,472
525,443,565,470,485
376,377,559,597,636
455,456,593,421,550
426,436,539,411,675
443,418,668,451,573
556,468,677,482,480
511,343,647,708,345
663,575,654,403,159
429,458,550,430,449
388,569,707,475,291
367,621,648,523,656
443,532,626,549,487
419,581,571,460,313
431,417,814,429,662
505,491,580,511,497
538,396,509,460,569
454,518,496,444,489
462,368,445,491,543
445,414,660,690,597
421,472,530,413,476
467,462,550,291,446
421,484,738,504,497
487,402,482,563,438
424,433,405,472,398
381,642,689,670,533
394,293,469,549,300
451,302,725,471,707
645,299,553,316,631
324,403,723,309,851
433,337,625,606,435
553,295,561,529,443
394,513,601,308,617
418,581,561,593,439
505,483,535,463,647
439,410,646,374,343
411,350,797,573,348
480,507,558,539,157
458,393,616,550,576
478,447,341,388,460
350,339,365,567,487
583,409,773,725,455
570,325,638,516,299
592,368,660,545,456
612,407,750,383,544
485,437,714,432,422
366,435,577,564,692
406,544,548,521,862
561,468,539,666,601
254,468,600,442,499
468,490,612,507,494
524,499,460,453,587
500,540,617,531,781
496,376,540,392,348
554,438,576,485,499
454,352,492,599,489
464,249,536,495,399
563,580,724,547,516
