Food and Beverage Industry,Data on the sales by food and beverage sectors,million USD,skewed,vertical
Asian Cuisine,Sushi Restaurants,Food Courts
1254,800,264
322,756,465
240,243,740
1044,749,631
218,336,724
318,428,486
1268,143,166
681,543,312
511,900,556
926,772,988
433,344,236
467,619,663
693,578,779
546,838,668
326,1092,1157
802,400,261
784,866,363
963,365,787
725,301,1036
257,439,546
291,321,204
880,340,370
381,258,341
691,497,592
376,1249,587
268,656,332
693,360,490
1275,1030,413
1421,402,286
834,633,1073
296,238,741
886,535,484
626,604,251
861,470,793
1048,641,773
279,124,606
703,475,210
679,1042,692
375,419,813
1525,440,407
629,462,1084
696,383,399
510,1035,610
578,970,448
725,320,570
1236,415,307
493,545,687
369,262,385
549,762,316
439,285,123
511,429,284
468,693,517
513,445,380
351,281,1025
739,1104,126
324,306,743
165,239,478
490,466,439
731,742,745
453,740,385
350,594,414
758,338,373
979,265,290
647,736,664
470,267,1125
649,377,633
173,572,222
649,475,475
776,851,500
653,253,457
806,573,235
361,433,632
333,296,436
486,566,628
585,833,426
625,467,1065
539,508,269
565,725,398
952,661,433
542,826,162
858,319,919
589,194,316
368,725,535
832,823,603
679,288,762
361,833,197
609,342,508
645,880,320
740,802,561
1121,589,598
600,931,449
422,272,316
1457,543,661
464,507,504
372,1054,341
442,583,426
214,258,561
727,183,848
662,442,1441
804,521,438
431,404,1133
612,261,919
881,807,458
631,352,631
1299,542,735
352,551,954
658,333,550
711,172,743
637,511,385
631,1255,611
291,378,293
452,1102,118
963,231,913
308,440,256
763,794,656
318,477,266
286,407,1029
415,929,984
