Food and Beverage Industry,Data on the sales by food and beverage sectors,million USD,normal,horizontal
Bars & Pubs,Coffee Shops,Food Trucks,Asian Cuisine,Vegetarian Restaurants
592,605,255,547,779
671,654,277,456,687
520,619,397,474,370
311,412,408,476,601
447,338,514,525,507
520,314,383,437,776
620,385,587,475,660
265,369,581,746,400
709,581,680,552,295
393,931,611,604,667
461,761,819,425,521
705,288,213,580,462
780,510,847,586,459
337,445,785,777,479
422,914,784,489,433
588,349,545,554,615
399,883,321,272,192
769,492,699,370,694
404,652,512,761,374
709,852,468,445,703
717,752,505,454,534
437,947,212,593,482
759,368,466,632,563
802,438,446,444,413
462,373,511,404,750
680,368,616,335,409
721,927,368,607,601
616,828,559,351,718
502,546,221,288,497
732,328,501,659,562
420,75,542,327,431
541,324,456,400,600
629,263,476,368,367
554,258,867,369,351
332,287,181,606,402
502,285,709,531,401
559,322,473,368,359
539,403,166,626,613
230,972,566,571,519
727,615,531,788,514
616,905,312,469,566
385,388,397,543,671
658,254,191,317,122
647,352,884,540,473
783,457,411,753,661
755,369,336,701,199
585,683,513,519,438
382,187,663,649,624
431,839,598,484,594
562,236,392,664,587
701,271,533,573,329
616,488,650,343,429
652,526,859,661,507
744,776,526,689,451
562,377,499,543,414
551,675,633,673,521
626,623,543,553,530
703,743,621,381,480
677,482,476,486,398
467,307,609,523,422
657,957,530,451,551
831,591,399,548,427
219,464,346,306,593
713,862,513,598,602
137,971,87,597,452
565,214,763,471,396
562,382,750,290,352
702,753,434,403,500
950,501,661,453,257
369,551,741,243,553
437,330,474,469,479
513,750,554,692,308
207,426,741,311,386
489,858,668,453,496
558,850,776,317,331
494,256,500,282,368
405,744,655,588,643
627,514,655,480,545
628,463,513,800,461
85,753,384,524,557
742,339,601,601,383
347,647,289,401,758
609,243,496,418,492
682,651,490,363,731
388,661,481,456,611
454,206,689,572,516
698,526,113,564,641
862,604,544,470,378
763,564,449,511,469
371,461,626,565,306
490,745,487,607,452
348,731,762,395,482
649,362,556,659,495
445,496,381,482,718
432,469,755,633,610
620,461,300,444,410
750,521,624,490,500
444,578,568,375,419
327,475,617,407,555
835,755,559,507,697
413,854,274,443,254
361,634,515,702,527
194,566,655,553,457
590,752,308,639,489
415,392,574,426,524
513,243,646,487,607
651,768,602,623,471
612,1002,370,381,700
966,911,149,475,723
768,350,753,625,372
559,585,832,368,419
608,681,317,510,406
787,649,674,395,483
