Food and Beverage Industry,Data on the sales by food and beverage sectors,million USD,skewed,vertical
Mexican Restaurants,Food Trucks,Bakeries,Ice Cream Parlors,Pizza Restaurants,Food Courts,Italian Restaurants
787,490,737,251,909,773,1589
402,675,501,238,621,551,849
424,448,128,498,336,549,1445
345,528,432,168,1420,923,340
513,229,354,865,742,544,775
295,385,369,181,887,300,879
841,222,319,532,1101,312,356
300,471,302,574,221,597,1669
549,252,824,220,292,317,1411
336,844,598,778,572,676,661
358,239,168,514,755,364,700
517,366,526,655,717,393,507
460,1015,334,400,512,439,785
304,430,1068,569,758,784,758
256,1033,358,807,952,550,489
476,1175,349,721,1058,193,848
971,307,870,257,1106,390,319
1043,1147,847,235,692,213,828
426,590,190,352,932,335,1390
607,697,241,433,246,405,654
322,1571,831,604,651,464,1752
466,233,891,751,665,676,1789
1022,376,711,1024,875,416,1290
427,630,540,192,1003,296,1304
1041,619,714,245,789,513,1380
391,589,446,308,595,880,1196
406,461,404,301,283,532,397
716,1188,873,392,414,821,800
629,685,551,246,910,370,1770
616,729,455,308,754,966,678
602,1472,1160,587,691,356,812
914,292,242,607,295,1136,476
581,426,544,529,566,677,612
573,403,707,751,838,260,822
147,1545,395,361,894,493,923
729,634,1001,386,1224,396,486
533,428,363,780,816,342,740
822,672,959,381,742,841,561
376,593,498,317,863,268,873
552,269,332,179,305,160,834
787,203,695,432,378,291,680
549,461,895,292,697,230,1513
1313,520,643,387,1006,405,1050
804,393,403,324,498,630,222
998,1224,1034,362,558,675,823
421,299,975,347,1250,1074,1326
379,188,810,143,1190,217,647
1291,812,203,183,851,338,449
471,344,291,1004,802,604,959
452,499,820,610,620,726,665
560,350,223,184,1033,493,500
323,714,403,306,615,758,500
448,825,172,493,545,403,876
686,419,429,967,719,200,1319
761,233,526,188,227,562,1482
976,695,590,227,366,405,822
877,925,690,206,1165,913,571
594,762,1183,331,534,254,571
513,715,519,230,479,983,1778
533,312,268,212,822,521,1255
395,562,884,411,508,439,305
429,652,312,768,622,232,696
1279,911,600,556,429,693,501
503,598,235,462,741,364,1440
219,468,280,176,947,404,329
650,790,204,119,554,704,1777
745,1190,881,119,402,277,1096
757,1356,261,144,450,371,448
246,290,498,605,814,588,783
318,287,188,322,665,592,1304
579,233,351,187,282,607,778
350,373,259,710,1016,458,688
280,811,1025,298,765,557,766
821,486,526,557,640,468,438
951,661,470,465,502,241,585
690,582,892,480,803,585,799
1123,966,339,195,558,246,799
505,230,384,214,672,431,422
654,296,638,1031,540,1209,965
1051,495,346,280,429,459,368
1055,1252,174,225,1098,411,388
1215,1266,374,149,947,594,231
614,378,489,412,1358,437,464
685,467,679,716,977,1129,943
256,828,292,262,662,163,533
785,1207,857,884,1057,476,1068
363,195,416,323,839,291,997
463,583,190,163,390,235,644
351,865,767,248,946,314,1237
190,598,253,820,1343,704,202
549,249,303,374,297,532,651
600,334,1137,369,832,280,1307
998,606,189,432,587,180,453
577,1047,361,235,279,266,1134
652,323,440,256,1219,405,598
618,651,871,480,396,121,635
299,519,619,215,1180,419,1505
389,846,337,336,632,195,1427
747,245,435,248,1523,592,761
453,1325,647,705,580,950,555
355,489,988,346,504,721,1094
386,1155,323,430,790,696,1202
897,696,483,242,550,655,335
752,1009,304,517,352,425,519
779,736,352,238,1211,265,599
1031,595,187,931,490,756,861
375,226,919,160,451,420,389
258,271,705,295,421,365,520
645,806,677,202,530,532,410
207,513,400,192,1150,529,687
1379,430,548,487,396,228,196
387,601,664,380,1421,464,527
219,393,328,149,1210,718,641
285,466,414,202,1028,782,860
680,591,417,400,914,492,409
566,353,928,557,235,396,772
639,1067,327,285,988,396,1345
420,381,175,169,821,436,626
