Food and Beverage Industry,Data on the sales by food and beverage sectors,million USD,skewed,vertical
Mexican Restaurants,Seafood Restaurants,Steak Houses
502,397,470
238,427,421
1452,288,642
1065,388,842
819,553,1018
334,313,209
438,670,770
475,922,401
918,281,545
656,419,568
431,674,417
447,413,244
534,439,295
941,633,1151
1066,580,316
1018,260,441
724,561,333
847,216,249
736,285,433
192,589,666
336,451,802
439,207,340
320,294,298
310,514,1134
1135,496,633
1029,1084,410
430,368,437
298,295,337
697,167,600
337,864,369
1056,360,305
649,667,1021
681,960,1013
1081,507,254
1264,625,233
512,729,366
1168,839,988
643,709,1044
516,620,457
413,1014,398
854,698,337
458,281,197
494,686,1379
452,866,366
1066,397,538
766,281,287
215,285,480
350,682,201
1243,387,353
616,711,184
590,759,618
824,963,334
280,943,1025
477,140,300
1248,605,924
495,418,618
1202,240,990
426,620,1112
721,938,742
855,616,763
741,324,683
421,511,422
210,395,380
488,423,503
415,408,163
1190,445,353
700,472,615
329,549,507
229,471,453
256,546,873
258,565,409
488,143,533
1012,871,186
912,726,260
589,300,288
723,554,1267
1684,754,443
731,552,297
574,510,352
296,696,886
414,662,741
271,562,355
339,460,952
361,714,497
391,632,1000
450,856,313
451,399,342
413,685,682
166,455,517
359,730,573
552,316,1423
196,448,401
586,888,369
262,457,549
1308,961,239
935,914,936
551,202,312
518,1019,183
943,316,319
462,598,488
617,400,1369
257,507,212
314,250,967
714,729,636
933,378,506
831,668,548
661,401,766
1199,324,355
923,695,409
1048,577,1228
636,418,167
776,525,792
359,877,544
198,208,276
725,364,674
580,892,223
515,1123,866
1230,621,540
