Healthcare and Health,Statistics on daily outpatient visits in different cities,Number,skewed,vertical
Elmhurst,Northgate,Springfield,Highvale,Dunvale,Westport,Creston
1227,852,933,969,1830,1311,1869
1408,1319,1524,1198,1028,1306,1857
1344,861,1011,1003,1202,940,998
1259,1097,1429,1151,1019,1110,1230
1879,1083,887,1738,1865,926,872
967,1367,907,1435,1354,1110,1067
839,1039,1406,1055,1182,858,1408
1113,1119,1027,844,967,937,924
1621,1013,987,1228,1307,957,1190
908,918,1139,984,1893,1342,1125
1083,1199,980,1355,1029,1173,965
1168,1117,1117,943,1300,943,912
803,1457,962,934,1295,1010,973
1405,930,1030,833,2146,994,1140
904,1000,1366,904,1345,1191,889
810,802,1451,1200,1371,1160,1129
862,1084,849,900,1651,887,1480
1383,1175,1147,1005,1051,962,1070
1389,1286,1276,1360,1261,1091,1057
1020,1343,1154,892,2063,1039,1037
1228,1366,1023,1018,1330,961,1127
1160,1310,1162,1037,1234,1005,1004
1370,1113,1860,1244,1492,1218,1154
790,1151,959,817,1316,940,946
1031,846,967,915,1217,1323,1181
1148,1105,1171,1208,1211,1044,1006
1047,1251,881,878,1463,889,926
851,942,1054,941,1322,1254,906
1213,947,1498,1026,1601,930,977
1435,857,1169,1142,1124,1258,1210
1225,906,1101,1016,1941,926,967
1091,859,1369,1182,1066,962,963
1584,1206,867,1205,1210,1274,934
783,1136,1237,808,1104,1544,951
1922,853,1221,1369,1306,1012,929
1220,959,1267,1142,1152,1527,1157
808,1514,1149,1255,1161,1314,1449
1441,1068,1077,1619,1411,1190,943
1092,900,1438,1478,1069,1023,1125
1013,862,1130,1560,1208,942,967
989,951,1214,1327,1837,1096,1251
1376,1056,1576,1309,1445,1145,1430
900,885,1034,852,1375,1274,1416
1265,1067,1603,1123,912,1061,1318
1796,778,1198,879,1138,823,946
881,863,826,1247,1058,961,815
1104,831,963,861,2138,1409,969
1976,918,1563,1548,1178,1601,1217
1300,819,1525,933,1461,1198,1049
1121,824,1698,1120,1163,957,1154
1362,1151,1229,1342,1193,979,852
1304,902,885,986,1192,1069,1505
1028,1323,1250,1216,1254,1316,1635
1215,998,981,1037,1133,880,905
965,905,991,1316,1065,1004,1589
1096,1078,1207,1157,1932,1067,966
1010,1309,1560,1626,1171,1559,902
1024,860,1138,1671,1607,1033,1277
1136,1385,1251,1532,1222,899,1611
1055,1435,1507,953,1495,994,1071
1354,810,868,909,1333,1232,1184
1549,1087,1268,852,1334,972,944
1046,878,1161,1081,1154,1128,1512
1063,1079,938,1405,1332,1074,1030
1454,1094,953,928,1445,968,846
889,1051,1479,1499,1683,1592,895
1302,1641,1022,1368,1237,1029,850
917,1139,1136,1240,2124,869,1131
1043,885,1169,1335,1377,1067,1094
1182,832,975,857,1438,1197,1114
1094,1334,1153,1364,1176,950,943
1245,973,988,1077,1060,1232,1101
1270,878,1104,1089,1681,1228,968
1514,1027,1328,1098,1223,1152,1368
1054,1105,1180,1514,1161,1416,859
1597,1048,1280,1104,1251,1638,917
871,917,1193,1455,1489,1015,965
1144,1216,1494,1188,930,894,1087
1202,1124,1514,1179,998,1008,858
1215,1026,891,1000,1338,1395,1600
905,1107,1241,864,1495,967,1010
921,772,1232,1654,983,1031,1321
1126,1118,1305,1200,1451,1038,1182
1452,977,1050,1257,1415,886,1246
1086,1390,1371,1466,1859,1052,851
1049,860,1095,1173,1509,1049,1185
1190,1056,1050,935,1325,1223,970
1315,805,1209,1324,1068,1225,1241
892,817,1269,1086,1005,940,1467
1589,1318,867,1408,1895,1053,1054
1647,987,1327,1596,1364,1203,880
1269,988,852,1276,2030,1142,1210
1483,909,1017,847,1137,1135,1026
1036,803,869,1453,1680,972,1292
1232,996,1450,1298,971,985,1022
2148,783,1050,1403,1118,999,880
1126,860,1295,967,2049,958,1048
980,936,968,1137,1181,1149,1300
1575,1009,1646,957,970,912,1126
1291,1175,1076,1189,1314,913,1235
896,928,1067,1185,981,918,1492
905,968,924,940,1383,1362,917
1197,1051,1280,1072,1275,936,940
1081,1250,944,1062,1091,929,1077
894,1412,881,1227,1135,1159,906
941,1116,1371,1025,1140,1120,990
1131,1089,1852,875,1247,859,981
1132,1295,1376,1043,1127,992,1270
1651,917,1003,1336,908,904,1269
1754,1338,898,942,1580,1251,1350
1863,860,1689,910,959,899,827
1478,1185,1231,1003,1580,1076,1230
1053,1042,993,1054,1132,946,1712
900,991,1118,950,1193,1014,1026
1073,1517,1203,903,1313,1256,1382
1287,1291,869,1382,1162,1149,1391
1009,1083,1403,1049,1452,942,1753
1267,1243,900,1190,1318,1441,869
