Healthcare and Health,Statistics on daily outpatient visits in different cities,Number,normal,vertical
Ashford,Westport,Pinehaven,Zephyr,Springfield,Highvale
1172,792,1314,1418,1039,424
864,558,822,773,1424,509
684,1058,888,882,1336,436
1056,651,1198,868,1741,1449
822,1001,1096,1275,1213,1014
1109,1450,1622,588,1213,839
417,568,843,1089,1312,1246
1028,1005,1194,930,1510,717
672,915,1167,1249,1409,23
1221,1257,1481,859,1066,1402
1260,1131,1121,1100,1306,703
771,1028,592,1055,1115,850
302,1055,565,608,1321,1046
376,695,1496,840,1196,756
1251,1497,710,1334,1506,463
1069,714,703,725,1143,786
890,598,1063,695,1226,1045
1312,865,831,1102,797,1222
1432,823,491,1088,572,1119
876,932,1358,997,1456,903
577,1151,1271,957,1086,822
860,460,904,517,1927,667
882,1048,1056,1413,1420,605
768,847,1173,717,714,414
689,1273,895,831,375,938
1048,919,864,1240,1347,301
646,926,1115,1432,1076,660
457,1236,888,890,1203,1043
530,1141,1025,1026,1214,963
1060,974,1134,756,1002,430
581,976,1203,1097,1128,1330
629,872,939,1055,997,920
1017,1160,1419,1112,1926,1067
996,969,965,1092,1336,830
891,1098,502,1074,1060,837
749,1215,771,444,1462,833
1112,1254,1154,1076,1763,740
1109,779,1415,684,1195,710
502,815,1165,1139,1499,764
910,1490,955,595,1220,637
935,982,567,950,968,707
956,717,1153,700,1918,1065
696,1492,1319,1253,1235,977
1219,917,1051,792,1215,225
604,1179,1257,974,1354,988
594,881,1002,566,1328,317
881,933,1045,1179,1357,1161
919,809,987,960,1066,1003
1139,709,1118,1354,1641,1002
713,1214,1276,536,1428,1111
727,1426,548,1531,924,730
523,762,1059,980,556,807
456,1348,1573,1136,1552,823
846,809,474,409,1627,1252
821,644,1031,1001,780,788
838,848,559,421,1263,1317
480,1253,1002,808,1866,600
1426,899,1059,1392,1590,1354
1296,1082,854,1433,1026,992
720,1299,1348,1374,722,1229
1195,925,949,1536,1108,1306
1099,943,1084,858,1624,405
709,796,1027,1269,933,1128
1468,1173,839,996,1189,741
704,1036,1035,1234,1568,716
1148,709,1029,1111,1226,463
1469,835,615,966,648,596
990,1063,672,1365,1438,936
493,1152,1035,1158,1385,1474
1021,882,1441,601,1119,650
782,1465,1146,726,1390,560
160,622,1018,923,1133,1203
1332,1139,897,1244,1351,887
1251,1327,847,996,1287,894
1307,1196,1422,654,1143,107
786,566,859,544,1479,436
866,1210,870,969,1484,1027
306,1509,1044,1316,1424,494
411,1000,705,228,1270,1007
980,634,1015,1377,1186,1189
816,1216,811,876,1087,867
934,982,1242,1336,440,920
455,1120,880,663,865,779
1119,916,918,1111,1906,914
540,1038,976,743,732,499
1111,984,1329,729,730,1134
639,1418,1136,991,494,886
892,1016,897,1011,903,819
855,1192,1148,1087,793,734
20,1100,1338,1349,1288,769
84,658,1472,871,836,1221
860,619,1451,936,1027,857
1014,937,686,1243,981,154
1056,966,1491,1059,1005,1420
1068,974,1392,1374,700,478
1185,843,815,669,694,681
882,789,1211,1136,1141,888
1148,796,450,1020,585,877
969,748,1002,1051,1348,691
648,1177,1068,1107,384,942
771,681,1262,698,1987,729
572,988,627,1116,1215,1053
1466,926,1230,730,1077,513
57,923,708,1604,1318,1098
545,648,906,1248,1448,1070
586,691,1266,1225,1313,606
645,1165,865,1086,1524,677
662,885,1455,699,1290,921
515,1230,1443,1156,1585,781
755,1253,645,899,713,392
954,1058,1322,1147,418,1007
1350,947,804,626,909,634
599,902,1196,1086,1114,1021
106,1307,1306,985,946,653
1077,1045,1616,793,1126,542
903,882,1155,1209,1261,722
388,580,788,1407,1701,876
717,684,1549,1233,1081,902
