Healthcare and Health,Statistics on daily outpatient visits in different cities,Number,normal,vertical
Oakridge,Elmhurst,Dunvale,Mapleton,Ashford
580,521,851,1045,1187
953,1596,695,1378,1002
1318,1045,441,1410,722
1297,1000,760,401,1001
897,751,848,1236,779
890,670,1116,509,849
1251,975,751,1096,1033
630,855,989,752,1468
1348,1342,665,229,1052
1110,798,721,919,532
1345,1658,1018,896,705
1193,682,842,760,1105
299,1456,237,1165,631
1314,1427,1377,793,662
1120,1201,818,470,1253
1046,1265,1102,1011,1023
1150,1467,329,1316,1411
1007,1130,1162,829,703
1101,1176,862,1015,1127
884,1099,1029,1151,1354
1133,821,1049,983,1056
428,1154,1057,927,179
849,1040,1115,848,566
991,594,1132,248,341
1040,1095,579,898,958
838,1365,700,735,1173
509,962,1003,808,1193
1601,1043,1108,798,453
970,1441,763,731,534
885,911,1308,1476,1057
911,748,976,790,701
1430,1519,1223,989,1003
444,823,873,865,1233
1062,681,880,852,929
833,1507,1035,513,1076
593,654,697,1039,995
1205,1299,903,595,1087
1281,995,1069,1398,1115
1273,1070,549,1066,969
1464,752,1090,872,674
1243,1198,878,311,865
779,753,1035,1419,1313
1275,1374,923,623,671
564,1736,911,1005,604
1352,1035,722,949,1198
1101,510,565,1235,1158
1186,1004,917,674,1250
823,717,678,742,1657
677,1048,430,862,1236
716,1669,889,971,1007
950,771,1072,1022,671
1363,1471,765,1562,946
1028,1321,958,1119,664
705,1035,759,1159,581
1163,1286,888,974,1371
1085,973,524,964,1198
738,1680,680,874,867
1081,669,1017,1437,674
879,1291,802,1141,977
685,1044,581,1265,1110
962,1251,1005,560,1041
945,952,860,441,1678
776,1521,1078,1167,835
644,1244,951,25,700
1241,386,832,589,1137
359,949,176,672,634
963,655,890,739,457
1037,780,1066,753,1136
1030,677,633,845,919
1156,1050,1002,1375,259
339,618,1122,587,462
592,1514,788,504,966
441,1529,702,736,1062
1377,1060,884,530,946
902,1702,845,876,1054
496,463,914,757,720
359,643,876,1073,635
958,1103,641,1300,1332
1116,1130,1165,1559,947
965,1434,1000,688,308
506,954,1473,927,1027
1154,1172,824,1023,1046
1331,834,872,1094,1234
1390,804,710,1415,988
963,884,1035,838,754
798,1334,945,699,983
1192,1064,1127,391,880
980,1510,615,1072,266
1151,1061,610,925,965
1278,1152,908,811,656
1087,1087,599,696,1464
1043,862,1368,1243,976
1179,1001,976,729,886
870,900,1025,661,638
884,866,963,752,1235
764,725,459,1340,1185
129,1294,1276,1474,743
1528,1664,570,959,906
729,479,1227,522,852
1022,1267,1239,933,941
1226,1478,893,999,1154
1026,910,1234,788,942
620,1136,1314,469,524
519,1341,1352,559,1379
630,952,1127,726,1317
643,1250,996,669,894
1198,1140,1013,890,1209
1256,1637,497,1239,498
915,540,1313,811,1105
506,1684,1076,233,1078
210,1254,1159,579,687
495,1309,1476,1145,544
996,1103,912,873,1139
669,806,702,943,998
1159,1017,1008,805,849
1246,1179,1225,378,1245
1077,1003,871,798,1268
