Human Resources and Employee Management,Salary of Employees in Different Cities,USD,t,vertical
Quarryville,Oakridge,Northgate,Yorkton,Pinehaven,Brookfield
61800,30009,29412,42613,48683,19921
81613,70950,64433,61060,55937,70548
62049,59469,45670,56671,45022,56749
63794,79194,75098,69492,41405,86300
24131,22604,54899,53858,49445,76566
50703,59052,35682,70976,59228,71746
44015,47772,31816,52763,68286,34043
60084,15893,51651,48449,43376,56365
48349,81490,54351,58165,64462,65945
85718,38587,42285,56869,58528,38472
59134,58232,53577,68570,77471,17157
66307,67151,62297,71656,63696,71967
58281,79818,40171,57939,67276,43834
79251,63445,38327,40654,65205,69551
68822,45213,76894,66714,63621,58194
66618,63820,79948,49708,41510,37144
70472,67071,57881,41791,45971,53727
64858,46683,68952,52660,34374,45940
56614,55575,70337,65484,49911,61372
69209,36187,32405,75928,75614,74795
88883,67188,48113,55152,51422,58082
61800,74041,43001,62084,32228,60578
49349,55630,52557,61799,57000,64266
59141,48006,66348,80872,43283,35895
49498,34969,48617,61328,38127,48096
43114,49698,78807,48313,57540,65451
55643,43579,66523,28593,45918,57094
64590,59771,49198,32521,54309,33978
67000,58045,54288,83736,69574,43872
60621,69929,49115,44844,38648,56858
62658,49194,55090,61373,77991,71223
61234,54346,48599,52351,66086,47795
55920,56991,38009,53281,70346,33840
41498,67335,62003,65415,50677,70199
51581,56061,73413,56662,55882,39458
51944,52159,62751,72026,42430,44107
34477,49643,51182,61679,59999,41217
61855,31187,57833,55404,91930,51721
77534,35708,63742,43392,51689,60078
66672,59067,38018,60108,58835,67588
25773,52431,62217,62270,30054,51258
81118,53029,64068,61722,38328,84999
90884,65613,56338,55559,55932,82816
61203,62959,51445,48815,39602,40956
49412,75660,38741,50656,55239,57196
40833,43724,37136,57970,56413,45862
41873,25533,39760,68589,39300,38493
43094,30473,56100,41162,16621,39738
58625,52104,76221,69063,52152,30683
88612,50422,72861,60493,55802,40908
48936,49655,45929,51174,64567,51237
41040,67218,61115,64079,50057,14024
50102,51120,58637,65796,88058,72586
57164,50504,39571,46314,37880,17739
75014,56056,40470,53543,65528,40943
54082,54443,66970,63119,30694,36887
55726,38042,43175,43570,20819,65048
60171,65386,44363,50410,44317,20897
84875,77524,54964,47664,62437,62739
21695,83870,68152,45078,16265,46203
59944,65305,52406,41762,84441,49133
60838,45500,37623,64525,33486,36705
43604,37481,53330,45229,28215,79506
44354,66096,80029,59130,59423,32828
46206,31525,56353,85664,74215,59115
62056,44369,37260,57689,70077,45027
61746,41797,30251,30357,63470,28656
47209,98566,53374,66344,79204,46863
46729,33486,54272,95956,45120,52500
38068,40329,46849,94818,36006,33820
53697,60013,65445,78918,60698,41826
62363,54896,41420,51029,51219,38881
82997,50656,76736,46108,35184,42275
70991,81235,70063,45515,54925,36855
47444,66155,71980,54805,28629,50205
57477,46292,51103,15142,66224,51443
51216,36314,53414,48136,47544,35107
67746,51479,40579,71266,49052,52094
60071,62888,52041,78444,32054,44243
61326,27678,41345,59004,78896,43174
60968,40547,39007,55275,28675,33729
59744,46328,60645,60504,60462,65249
66806,57540,41730,41045,61820,22139
58427,51661,57110,83116,40961,75062
50160,43586,65191,54991,63608,51577
56102,34386,55955,83660,55902,15552
75676,38596,64778,62895,52347,47699
55966,40870,48684,41645,74265,61781
54915,65172,56695,48662,25716,48396
49445,42354,45104,37500,44980,51787
79575,67012,35371,46379,13265,33700
58924,37391,76586,53753,44208,26861
70595,68333,57526,53368,43226,31750
66127,27181,40564,56779,38950,48762
56865,24654,72938,60527,54002,50123
77233,49428,70807,62287,82046,46115
84574,49711,39268,63587,41175,22759
67314,75853,38105,61622,47789,81475
45035,59475,55127,40667,59184,43890
55371,47678,53241,70459,37466,69368
59870,48669,61595,46753,49095,45417
67841,63487,40434,33628,36789,35074
42459,15336,50747,29029,71466,60233
23606,60617,48243,26592,35867,73508
65610,73809,31858,75877,31429,69545
59864,59509,53872,81187,57738,63170
33288,43790,51015,67358,74390,45155
67574,66421,32429,49918,7566,73420
73628,60597,55762,34042,41109,40818
75249,44637,58922,66514,65296,45713
45459,51772,53249,51998,57835,17768
47347,55885,55306,59264,63069,56629
80450,27964,52090,55774,55008,26030
67001,38213,57700,50674,63297,53945
67959,84135,51923,39192,45347,28790
