Human Resources and Employee Management,Salary of Employees in Different Cities,USD,normal,vertical
Highvale,Quarryville,Dunvale,Northgate,Mapleton,Pinehaven
39024,34988,56568,32134,41106,41820
41889,38175,46136,40380,36267,60693
28901,36505,53888,23116,41683,51487
47017,46800,37828,39338,54634,31080
42895,44174,52827,55751,37645,45040
44715,36062,40178,47639,56392,50273
45902,41580,52926,46655,53941,47852
54710,44588,68890,38096,35148,60912
25216,40019,30816,47360,44015,31531
59228,33050,39257,57606,32562,52763
55009,35755,45678,44515,45992,36388
32736,36359,35801,41346,32696,57208
34337,20588,57070,41183,47604,57240
41124,35078,65590,35594,54737,32910
41250,35150,58947,37334,34387,60414
37899,46407,38431,41473,52893,47636
39172,32764,30057,31533,31796,45636
34687,27042,48991,51151,47623,44680
26719,38165,34762,26340,41586,45398
63060,37431,42012,31229,39205,64269
52668,36029,45731,38114,35628,62803
48985,41656,41363,35874,48887,70200
56765,32711,48214,48955,42019,29990
45517,39725,61450,52280,44483,48350
46446,26681,49310,24020,34241,50109
61676,33053,54825,44509,27327,52466
29864,40050,39849,50502,50869,52310
39925,38258,54880,48427,45635,63475
59222,38022,55586,41593,41818,46809
37681,38051,45491,48097,52149,68952
30008,35625,62559,62817,48059,46600
32440,23795,43244,48623,55568,43037
44755,46387,28997,38035,24216,45999
37071,52732,59158,56804,34445,53093
60467,41622,56254,33308,41872,58531
17983,37245,49426,39517,49563,37060
34393,40798,66821,54030,37266,49873
45771,47624,48554,30163,36712,51744
52584,42493,60113,51622,46958,49430
55253,46910,51307,47762,36647,66572
54529,40738,39137,46935,30270,45362
66855,30084,50664,33013,21126,62964
28002,30215,56839,69892,46992,44919
54416,49223,32970,55732,36936,38349
57403,37569,59324,52758,42778,46844
62636,47837,47043,36988,33139,45762
45352,40858,47095,25595,41978,73039
43227,29112,41696,67965,46797,54183
57168,36640,49436,50723,46297,58623
41062,39802,55178,55547,41820,51375
40138,45845,27817,40195,47098,39715
35370,45007,48152,22430,33485,47961
56193,40560,73826,58314,43872,46958
48677,26569,59090,52116,35536,47828
46214,50667,39944,67706,45876,58306
26101,49693,22448,34874,47131,66293
45973,32201,61065,43049,49610,59236
32941,49441,61012,48071,62122,64666
39787,37644,37625,38378,37533,70094
34805,43602,47304,63603,31049,46233
40786,27854,40611,43282,42197,46313
39715,42104,29906,49158,44516,52712
50269,33522,46825,43194,55136,42135
46254,35409,50659,55346,44630,46129
32913,44673,48260,44238,39227,57557
56111,35781,51252,46567,46480,66111
42714,44222,50055,43961,43931,55538
56949,45842,59242,47268,40809,41640
48104,43096,42936,35792,48794,72802
45860,36812,41997,37322,56683,53512
47238,38058,52905,63381,52011,49002
51333,35334,50419,40998,34244,38638
42007,40211,60703,25867,32860,51365
54572,43023,51011,39703,63442,39637
9351,42376,52487,46480,47117,49775
64322,29435,61409,33952,30845,64410
47112,35566,48573,59578,25084,31334
39004,31788,70458,54226,30738,46290
50708,40821,37822,57787,31809,47023
53003,25560,43796,32422,44072,47928
38306,45312,25407,45020,46065,50747
46219,28950,42259,13069,55840,62311
15509,38845,51730,46854,49618,43072
34324,29509,36898,47718,49026,50228
35995,26205,57518,31612,41228,51778
46189,46165,51225,25852,31227,41428
50290,36021,53582,44601,43400,60150
48363,37330,42483,31626,47985,57654
39709,43764,20359,44955,34292,66040
40672,42559,49477,58182,35334,58129
40687,36416,57259,28916,37063,44377
49109,33561,69642,30820,50041,55095
37159,39021,48823,27456,30319,62557
46776,37764,56736,50550,58952,60877
47091,37499,36156,53291,46321,50798
43302,47780,64567,35671,44298,50668
34667,33473,57106,41788,35722,65504
43958,39526,31175,30448,36910,59044
23192,34878,42943,45670,52978,72868
44551,37607,37268,38505,36327,72441
55641,41485,24628,44730,38207,55853
41235,23915,59914,45892,42533,52652
54463,38145,56120,69273,54537,42845
54784,49329,39966,50109,39896,54346
49574,48366,57792,56240,35409,50854
55978,42993,63995,64052,44890,40118
42302,36017,55097,61746,29463,52968
42427,38012,52819,51292,29174,56639
41893,48080,32939,43048,41326,44497
35885,38142,42855,62803,42587,64416
50138,37905,50079,68526,35860,58038
33743,29498,56370,38149,46930,40920
45785,33540,62452,41873,33288,52981
60674,35250,42699,47921,29930,57278
47748,42228,51601,43076,42425,50479
43781,29312,45214,25414,45703,41656
48008,34464,28298,54268,49784,60295
44627,35661,51169,43304,45459,64520
