Human Resources and Employee Management,Salary of Employees in Different Cities,USD,t,vertical
Brookfield,Elmhurst,Ashford,Pinehaven,Fairmont,Yorkton,Westport
47528,31970,51297,53035,28571,66356,61032
39788,19760,25554,42272,34306,69881,35532
69965,48695,43849,43209,35055,37608,53899
53328,40875,78784,52379,33159,26837,68673
69082,42263,57990,71699,34203,60444,60798
32694,74452,35092,61947,33766,51192,71226
54344,55976,56513,57031,44251,49730,78206
60299,25535,35928,73983,33005,42044,35919
21998,34881,39916,69576,33164,51846,72209
10979,24489,51643,54742,40945,46929,57491
43826,48060,48913,62478,27256,30651,54633
68834,43536,56004,54637,21843,26944,68191
42797,40976,48849,75498,27127,40509,53073
66307,46359,48250,70706,24533,47479,56941
62177,39158,56654,64338,44261,19302,39088
69154,61145,51623,71626,15441,52800,53524
46219,67502,42516,36347,45383,50316,60598
47751,60907,28525,55773,35673,35666,83557
10790,73316,45911,70112,18728,52010,72532
43569,62519,32786,49446,43150,47080,66804
62746,47970,47496,75178,42492,65497,53242
37099,65368,56204,65354,34832,35885,54127
41882,54345,21996,76637,31081,58452,46271
59709,50253,41561,82140,29213,67465,43038
55241,41968,44858,49391,17529,30201,43752
41562,66003,53866,92064,54555,51014,95023
42397,47473,63479,78955,51476,60223,83815
39900,63548,29129,67476,38294,36312,60881
51234,78556,33428,60015,45430,40971,29676
55904,34719,62938,55883,39103,53702,58599
37539,68664,54372,56112,49631,56608,53477
34470,53243,72976,70109,29901,43304,59816
60461,64366,40974,51982,13893,66156,45039
61020,26303,40065,49456,64189,44324,51178
42105,63934,26516,52332,62006,48257,65719
54345,55898,42832,57798,46889,34192,66202
44923,85334,43679,53373,18004,50047,23784
56568,58222,46368,68215,26258,47821,88052
57405,8073,70310,45329,32706,38935,37812
35277,41097,44720,54401,43632,45502,69727
60459,70442,4234,46009,35444,73083,31937
30858,57553,47641,55099,49231,56879,38322
67111,57643,40908,59220,46169,36156,71204
35094,44689,55215,72886,26555,54246,36716
65384,25056,50074,58881,48814,39735,75335
69264,40571,45728,67189,32634,59979,27876
44222,36748,52171,59852,29476,63049,57425
65113,57138,51725,64978,36200,33118,69727
53648,43397,81481,61865,47803,46678,85026
54102,57295,51687,62436,47895,47489,56571
61507,70764,49046,55511,38463,58303,62733
48760,62085,59262,62759,33337,44929,74230
43952,45641,70420,42048,23124,36535,63422
74434,86783,66108,59034,6695,52698,62706
60528,22843,36361,73802,36631,37997,54002
53133,26330,50073,56034,21588,38736,35227
34409,49878,36289,76278,35191,33570,75459
53141,44748,64818,65456,65254,77197,67448
51363,51011,50217,61380,16161,60971,52108
48671,46743,42165,45813,45559,36872,77667
43863,58701,45286,49915,13710,41987,43355
22556,66206,47037,69325,41978,34350,56720
42658,75215,51639,66760,38164,53637,73110
62388,10398,54009,63576,18591,31308,71210
61719,78436,32849,46605,44663,53741,60875
70525,59951,76260,81995,48660,54817,8060
41264,62995,42874,56765,34912,44710,70290
54202,37336,68296,54773,26721,25151,53376
65997,42939,56394,50241,26993,56533,42496
44065,85012,50398,86664,27686,12042,56062
68469,47915,48662,62253,5179,48292,37020
68089,55449,32556,73740,34820,37148,63851
20271,49080,64041,59957,42897,27207,53913
19156,43615,54974,60135,35738,58770,66088
48384,64669,38047,66355,30490,22441,56215
50237,28856,61211,72801,33385,50106,58315
44985,49496,35598,60162,43419,60754,81904
54002,54874,47115,91732,37274,24561,243
43224,63562,48399,78524,21474,59701,42834
50027,48251,26664,52890,42317,75105,66384
51604,36795,34487,77927,30991,38713,67163
33109,65830,46985,93083,44998,29044,67396
49016,41034,28309,71897,29565,45703,74071
35380,47433,52336,60736,21003,65147,42276
57039,46831,48545,73753,55129,54798,69398
53528,93561,42313,38332,23643,57279,45590
61864,59364,69591,73594,32738,62196,67266
51207,51904,56476,69191,19142,58584,51317
46085,58705,35432,67351,32128,58970,62692
44385,47909,34179,64049,24070,46435,48427
67493,35801,47152,74955,21525,50261,52024
48923,41816,50317,64444,34403,31988,54611
71576,47596,45274,84263,39095,66359,24831
52000,24179,46440,83614,17294,63184,92686
43051,55202,41694,77156,33516,59819,50802
56691,63706,45278,63817,42645,30410,55870
53726,52780,38811,57359,28171,26755,53020
30171,21538,43535,73696,6526,74509,69198
59746,72027,35655,55902,35087,43496,64769
42363,40730,15192,44153,39538,73521,85930
73712,63596,71148,59451,40242,50907,20877
73397,40007,57118,61268,37962,33282,77494
72821,65716,46029,54923,33544,65618,31358
48352,54979,61625,71277,32901,46670,91583
67515,67008,61193,82135,25642,46409,75681
69492,63464,45352,67566,27114,69898,78351
48464,83019,39766,76007,46074,33917,67559
51147,60047,48614,70193,34137,35115,65359
61945,34018,39976,60247,45677,38895,74910
54802,24977,64704,59670,52349,50549,51799
25794,60046,60570,54530,46117,61587,75132
59076,51287,50778,53824,31200,40032,44009
49392,40035,39460,50072,25190,38479,72207
29568,39011,38481,67243,50017,53262,56471
51045,69579,23472,58966,14403,56769,73590
49381,43700,38408,78870,22537,66254,3164
