Human Resources and Employee Management,Salary of Employees in Different Cities,USD,normal,horizontal
Pinehaven,Northgate,Westport,Ashford
59257,47908,55609,54071
51506,43568,58174,66035
46584,46965,47214,54311
51905,29488,46639,42788
31550,41172,54325,46119
49814,22671,48440,62973
50359,37840,57876,59798
44649,44576,63063,58784
46257,30910,46057,58934
47831,50858,26580,58901
34221,42569,47264,58753
54743,29177,49345,47339
40313,47628,31695,41095
60106,48761,43015,59093
46528,41325,47804,60535
45204,44790,44018,62881
46893,28652,46793,47483
53897,43869,46562,81173
29352,39647,34012,75167
25206,38687,43710,65396
21910,42092,57392,51048
28786,53161,51118,43892
51685,42198,40425,58642
55512,43978,34060,58298
53356,47259,43303,63898
35761,38302,57941,42119
34467,47848,59370,76704
45513,30209,37912,79022
39932,46877,56606,44078
42964,38198,59112,46413
35882,21474,46171,48032
46908,37537,48067,56386
46910,41542,46741,25447
60547,42930,42631,68377
49397,50890,53615,39031
28954,29861,50812,39223
52932,47952,37932,79518
50889,41239,41336,56492
28400,27277,56108,63452
41796,42870,43366,57731
48539,44901,57239,61143
57317,39691,45068,56527
52385,53247,42751,51532
40735,51858,44746,60822
56404,39417,50723,64975
38391,50961,40515,47143
48146,43959,39303,50623
42008,45201,51434,85309
50791,55257,41632,67320
50016,44272,49759,64795
48196,32995,41378,61681
49954,33354,56248,68325
54165,25054,44961,72251
45033,43947,40250,40934
49735,37235,49242,65855
42987,32081,60821,57155
52862,51360,52182,52285
34250,38238,50575,80553
61250,40359,44672,54887
45627,44098,45630,76010
45877,56434,47093,49252
48445,28903,47232,53408
45869,38690,40818,33178
35938,42760,59166,59966
46512,33432,42776,41092
23590,52675,54108,57794
42404,53803,59260,63756
56089,43986,42538,69013
42679,40637,61851,78756
33075,33978,47068,70159
19097,57305,60107,56878
39378,38973,46897,58484
33933,37548,38817,48686
59770,42842,55085,53329
57997,36846,53942,65238
44729,39281,48808,61771
48663,40321,46440,67809
35058,59063,46358,75459
58068,54792,35188,78485
49940,44432,38638,72384
53288,45096,48580,67510
29257,45304,49667,65923
50834,44803,39713,60343
47203,37511,59289,46380
44981,38083,43775,66270
37408,54918,54500,62449
52636,45966,39523,38454
41545,47185,43089,49071
38059,27485,61765,57663
52150,58623,50669,49088
59274,43116,32095,48438
48561,28317,45558,51195
46638,21501,21265,49562
55639,33699,40683,57014
52915,36167,50577,40944
30839,36080,44033,54261
49557,42889,56871,44390
29441,34959,46061,31306
55430,43187,46960,40113
53274,34289,45053,62921
46573,51960,45815,73820
33265,44059,39564,65776
39124,45721,44976,68059
39344,41892,45156,42347
42932,50796,62282,49384
55888,55990,56458,72444
50830,53438,43686,49149
33912,50311,49512,59814
37875,57206,46635,56227
42887,29842,47090,54659
57593,44262,35563,42293
55712,51914,54557,57974
34815,46579,42699,63029
43024,46484,45047,61520
28099,38999,51594,49387
44840,49104,41506,31441
51796,42194,45212,63806
27619,38467,44267,55414
