Human Resources and Employee Management,Salary of Employees in Different Cities,USD,skewed,vertical
Creston,Rosewood,Fairmont,Mapleton,Glenhaven,Lakeview
42914,63370,25572,51106,51011,29821
90757,43840,50873,41636,64746,59249
67657,57026,40877,31261,39295,82177
48585,39803,23539,91687,90068,56259
44998,64977,63126,44573,91758,77656
82839,79181,28547,42416,106713,28541
132719,52939,52921,78109,69871,24511
92248,53821,28410,24444,52878,57573
122839,55750,48856,51344,42928,84067
74232,33555,28821,57168,80253,51598
40331,81655,36529,39115,97956,104082
43901,36318,63332,54070,98744,37671
31483,58983,21988,90444,59326,27867
106961,56538,33234,30662,42312,22554
62334,114642,40423,45416,83377,25577
61661,44084,29983,38955,67904,106180
44037,46909,51876,72731,53227,45607
100441,34730,48409,34373,27131,85971
56053,47775,46491,22263,34996,42258
51102,57002,24173,60802,43932,51132
35704,43131,84451,26015,84266,45049
77812,99115,29497,60670,41972,41727
107231,60193,30015,27488,93451,58289
77796,49235,29557,46222,54212,47467
41609,60595,25046,96747,41969,62435
52088,54124,43177,60426,30352,59912
61534,107555,27568,84354,78302,29428
51514,69975,88918,69041,54737,33303
52118,68442,42982,45336,55904,30832
48596,63915,57615,79005,58921,31590
30485,79804,39813,33051,50429,41226
103879,61058,93783,30381,70236,54036
118222,45682,41038,56803,64860,35651
123859,63771,37046,35513,39753,67008
82509,65145,87526,41475,42664,25923
53780,53210,49395,35512,50852,78763
52753,36169,37951,54292,55925,107209
79356,66540,37698,54902,32431,115605
105311,46767,46156,77865,48855,51795
62481,71596,37925,21766,32117,42614
59552,37352,38910,25788,51029,47050
75583,28893,29268,71367,53044,25203
78773,56070,51499,48791,52627,90553
48777,86577,29894,101539,64362,42522
82438,52271,56544,39169,31407,27271
60752,38447,36560,32826,50960,28428
87273,62990,49777,22574,49811,59846
60320,38944,37617,35874,31571,31695
88224,38561,20219,67420,38220,103532
39792,74522,88714,41512,32064,60802
64074,37065,28018,34887,54659,27368
78692,76496,73360,44710,70461,91105
85324,76818,35060,54121,28395,76938
56188,36898,82280,50753,57098,54821
70819,106891,59210,67657,30329,80485
74302,51756,45731,55233,49643,35513
45511,56289,41647,51912,74563,105841
28356,60066,42776,29581,48127,18195
33330,59757,32592,46360,54177,45056
59751,56973,21129,40188,79081,62976
100464,57939,36978,38573,100854,45837
81879,30340,79146,73221,60966,34530
123903,36629,26193,44972,33027,49436
64845,78450,75708,50980,58721,70124
121367,38470,45233,57146,47464,67631
52429,108634,92973,75825,51506,35217
71710,92723,32119,49127,28725,74631
54224,88545,44077,38411,91619,51648
60609,50601,59741,42607,43866,26552
69025,56781,44554,36502,34798,89027
71872,63497,27909,36654,41456,54233
39465,73571,96557,35122,117478,49397
66578,37780,35238,43613,42099,85541
50703,79114,68478,45662,27980,23012
64565,97079,56010,57762,43714,33464
65332,78945,23853,41269,38325,32903
33377,96712,32911,52764,63809,52172
115104,113221,37747,59480,69236,44664
59249,52542,19208,22919,64601,35406
78063,43331,59364,76025,35281,62506
63995,71291,30494,29389,40983,78839
61900,61095,49415,39105,34910,114174
67478,47621,52332,39627,49662,54974
76388,44339,43892,23017,27459,46189
55748,124296,78645,43506,63352,39212
55362,45785,56559,41437,63406,64685
92710,66747,66333,31833,63116,20505
105899,34678,33907,37293,44657,77395
34760,64799,41993,25485,35623,95042
34147,76650,35108,28495,46578,31498
61901,54193,62705,84841,47752,84955
88957,59242,61255,49905,92543,32953
43992,39062,23251,23968,50671,70117
31398,45698,34059,56247,43375,30337
112593,72064,45418,47941,48695,28873
77196,31304,22464,56059,40216,33943
79747,60353,23872,37722,27724,68312
54124,50478,59435,36091,41819,45897
75394,56046,29081,25490,41304,38837
35763,33281,71545,28603,30209,31538
41049,124200,58756,35631,48978,40105
62361,59650,42696,48652,81018,44630
28555,56762,33207,36530,122343,32152
41655,44231,73272,40168,91947,43461
51430,48043,33269,52311,32738,53829
47394,54458,53806,28929,52249,131200
51742,55074,37062,97981,94069,73649
55566,60516,34011,32119,58206,25696
54485,37948,87022,30910,78772,48182
51557,56332,39089,35562,103097,33106
47029,94435,23701,25946,34367,87498
117363,66605,78671,36118,32759,41521
62752,52128,27140,38374,61394,40848
42920,57353,82305,50934,37659,48532
80112,64944,33765,58012,34141,35694
76636,38769,49656,34957,40102,31476
84119,33311,62782,82186,64016,50722
41666,60146,50327,36747,65508,41754
