Real Estate and Housing Market,Virtual Housing Prices by Property Type,thousand USD,skewed,vertical
Studio,Co-op,Urban Loft
401,1029,702
1463,623,432
713,458,929
898,710,601
395,876,979
905,716,730
801,1086,831
956,559,866
722,427,452
961,464,671
463,747,568
1163,1120,427
511,620,915
719,476,1159
662,886,513
689,681,530
469,956,563
410,517,632
791,479,541
936,858,607
1608,517,473
743,752,1162
583,395,681
514,631,420
372,462,476
1190,502,1002
1017,439,802
520,814,389
554,865,523
462,536,422
587,442,512
511,454,850
370,677,513
598,767,554
1425,877,562
432,605,462
1379,1433,545
402,907,679
531,426,405
484,665,1087
782,1017,426
815,1196,1101
701,1028,987
695,678,751
591,511,371
966,749,349
573,1359,565
984,309,395
640,477,1189
469,643,423
484,1126,583
577,390,549
828,900,1014
814,453,398
756,304,491
1497,354,855
543,570,685
756,479,516
701,591,521
791,794,780
633,1128,732
358,334,601
1166,394,541
1148,1012,767
1231,1375,913
652,875,912
787,1455,422
850,673,839
1076,606,928
1381,865,660
590,942,664
585,803,442
924,730,358
392,556,647
1191,677,845
974,443,582
448,890,1371
512,653,782
643,529,639
396,765,550
443,722,982
684,562,426
960,1348,1036
1056,602,728
703,816,971
552,616,557
602,607,653
775,847,747
665,667,518
841,540,713
699,653,763
348,382,674
691,931,394
539,969,766
1141,667,306
539,346,658
533,843,689
1052,779,637
644,458,666
548,512,548
784,1159,903
652,449,563
591,326,1042
538,778,714
643,976,380
524,571,887
1021,573,653
601,545,389
403,592,810
704,456,724
534,794,374
393,352,352
530,579,676
510,760,653
1017,1024,657
432,1063,486
533,1435,1007
580,756,654
