Retail and E-commerce,Daily sales statistics by product category,thousand USD,normal,vertical
Music,Pet Supplies,Automotive,Jewelry,Office Supplies,Baby
264,356,331,314,327,221
156,274,325,335,352,271
210,369,302,272,344,287
235,437,297,340,326,258
179,259,294,301,397,348
196,393,334,278,315,313
286,283,298,262,413,193
262,341,231,294,367,270
236,405,317,302,368,271
209,304,296,265,265,355
275,379,123,312,426,195
190,341,352,342,253,296
177,317,268,356,337,322
263,365,182,303,360,215
169,334,329,352,290,218
243,336,299,270,329,334
191,339,257,311,369,286
316,250,236,321,379,245
296,354,363,332,373,252
216,398,233,328,380,195
253,356,215,305,270,165
279,338,250,281,371,154
324,443,277,265,308,263
234,286,265,303,380,190
233,389,300,261,348,164
301,282,309,328,383,198
215,434,401,300,373,245
205,198,225,277,291,204
185,340,210,352,250,293
213,375,313,280,326,226
200,286,287,313,342,226
229,288,282,285,398,259
168,378,299,317,379,236
219,437,411,237,312,285
221,342,343,307,409,265
193,382,197,320,260,193
179,397,317,284,302,330
230,414,337,292,391,294
212,436,389,323,267,295
264,316,258,266,318,240
240,334,294,231,423,151
238,335,265,308,216,136
316,317,273,346,286,105
204,260,285,314,248,155
181,289,412,294,339,320
210,300,147,290,256,274
177,461,269,328,356,248
180,414,330,261,332,234
283,336,310,304,431,210
210,348,224,292,399,193
308,256,192,272,322,286
233,393,298,347,349,214
187,336,143,337,338,279
318,386,331,300,450,192
189,298,326,234,392,271
223,318,289,284,279,315
199,286,307,349,219,325
163,308,256,290,364,224
310,274,280,316,322,172
200,384,177,347,279,263
239,430,300,341,380,210
133,384,229,283,391,226
230,238,378,322,443,269
132,365,355,325,262,168
247,298,302,305,356,139
310,325,235,271,335,284
207,373,261,284,266,233
222,343,257,274,324,127
182,311,257,337,379,185
177,380,312,291,462,300
271,381,315,252,399,205
302,266,239,332,338,252
296,340,235,305,370,234
245,238,242,344,363,259
289,341,405,287,448,198
226,320,346,316,270,203
287,265,365,258,343,295
214,345,299,246,356,156
196,323,259,313,290,345
244,319,300,301,334,301
276,331,412,299,285,152
158,382,200,284,340,310
263,367,312,281,297,270
223,434,381,279,317,263
214,284,297,302,347,280
228,352,242,353,376,289
329,290,282,293,333,251
240,360,289,290,389,246
210,314,376,333,243,243
188,332,305,316,405,182
240,353,363,321,211,242
223,433,125,311,400,301
187,347,227,345,303,202
217,406,295,310,383,207
323,388,101,296,395,168
160,252,271,327,387,178
264,243,235,357,308,313
225,293,348,279,337,177
250,313,266,302,413,287
252,331,248,323,356,236
209,252,284,278,375,266
165,304,289,352,332,246
226,242,261,320,260,178
270,388,167,275,271,252
251,388,316,252,345,155
199,307,290,331,274,274
262,369,290,252,367,202
250,164,236,348,338,205
247,379,271,285,400,201
313,301,271,345,356,138
244,291,182,320,311,240
131,354,369,324,248,273
150,356,319,276,292,269
191,251,196,323,326,278
233,327,326,322,241,204
169,378,309,296,223,286
211,326,373,297,272,91
227,450,375,270,371,146
