Retail and E-commerce,Daily sales statistics by product category,thousand USD,t,vertical
Garden,Furniture,Art,Home Decor,Pet Supplies,Automotive
265,331,269,393,229,241
371,163,174,215,258,305
324,250,215,391,269,341
356,197,114,410,307,246
299,212,333,251,160,171
324,185,156,353,325,176
278,225,153,314,287,240
323,134,244,230,278,342
279,230,176,289,163,233
349,248,265,319,239,256
32,194,133,263,246,199
252,208,299,353,307,227
339,165,365,351,278,276
307,281,237,326,284,201
323,208,265,249,348,228
242,232,244,206,128,233
376,260,204,307,293,238
257,218,224,351,298,270
349,133,311,317,360,273
311,271,180,331,373,197
326,321,218,354,254,213
298,199,200,354,281,209
335,192,194,253,305,282
287,174,201,190,258,234
310,234,198,284,317,326
252,209,384,298,292,304
276,225,78,440,310,271
204,224,251,396,402,238
343,207,44,332,235,223
273,300,261,322,243,181
356,261,174,327,413,189
266,127,244,216,305,253
283,273,290,299,351,119
324,68,184,277,356,121
400,174,266,362,310,272
392,233,242,184,244,219
333,218,278,269,409,258
331,260,165,294,359,241
262,101,238,349,351,247
304,235,301,380,268,191
340,166,254,128,295,252
196,313,250,222,277,267
239,229,236,344,270,270
356,146,230,329,236,206
314,271,216,336,315,346
283,196,162,298,385,264
364,196,177,259,169,253
329,54,249,343,213,296
288,136,57,319,222,266
312,143,147,369,364,251
419,214,231,357,269,241
283,228,140,386,228,223
357,195,301,203,330,316
385,222,279,392,214,264
342,250,230,439,262,261
222,226,192,428,337,280
233,106,118,310,222,302
400,342,213,297,227,130
227,187,291,229,230,301
329,306,77,396,273,265
324,192,231,376,202,220
400,228,415,298,288,270
273,223,243,354,294,249
304,183,265,385,206,242
359,187,262,304,321,273
364,209,204,382,254,164
301,254,203,303,342,226
280,137,175,329,365,232
366,272,260,288,219,259
244,206,244,221,224,267
312,167,196,314,257,154
325,227,179,366,283,248
351,189,203,318,258,251
333,181,370,323,216,238
256,247,165,406,295,305
282,210,233,267,181,305
423,245,148,293,332,268
382,218,173,131,221,307
456,233,182,211,152,113
285,300,188,377,270,312
305,292,210,261,261,238
323,189,279,213,278,262
373,238,226,237,216,331
362,221,203,372,298,214
117,265,255,301,220,332
285,190,206,371,322,204
261,320,207,271,264,217
286,158,262,313,334,243
321,184,204,387,267,258
378,25,233,289,214,293
331,152,225,317,345,205
436,272,210,422,219,247
186,233,272,309,381,270
357,219,234,259,282,220
372,234,201,342,347,149
347,207,161,471,361,263
299,144,258,313,335,80
369,196,200,333,300,282
328,166,377,407,192,304
305,287,227,155,288,250
294,210,240,435,268,204
273,202,110,349,284,324
265,194,118,275,313,168
330,91,143,229,294,248
233,264,144,325,180,224
344,225,267,312,270,292
335,228,46,255,255,327
316,259,128,421,350,197
285,241,188,363,331,245
380,190,332,400,326,293
266,227,264,267,203,237
212,301,113,359,297,266
259,156,104,314,292,236
214,223,285,224,331,289
268,195,309,251,254,265
348,242,132,412,252,231
230,220,261,311,347,187
