Retail and E-commerce,Daily sales statistics by product category,thousand USD,normal,vertical
Movies,Office Supplies
203,361
336,342
312,409
255,345
224,332
280,414
285,278
305,320
222,314
295,320
371,407
284,314
260,345
229,325
314,364
217,403
290,343
195,355
272,363
36,334
348,397
271,307
236,399
208,280
360,373
299,380
303,416
240,386
316,306
366,290
206,370
400,345
187,322
214,367
172,335
330,326
274,423
274,287
297,397
334,385
223,402
408,297
319,346
228,331
319,279
302,353
287,295
291,301
283,312
407,322
315,402
330,369
179,411
312,367
231,340
200,314
185,329
284,390
269,288
417,372
424,428
347,352
319,327
390,359
290,356
300,446
242,400
239,371
296,372
255,374
448,326
446,267
373,293
191,329
194,331
244,382
383,409
442,398
309,431
361,402
205,364
206,293
403,367
167,310
237,406
437,361
268,287
276,403
197,334
265,396
183,349
281,367
369,345
191,372
372,270
330,364
250,312
275,274
209,334
240,286
305,323
298,314
307,407
427,375
171,324
209,380
380,401
231,249
179,322
190,323
331,346
329,391
408,368
365,345
430,392
214,420
367,262
401,403
