Retail and E-commerce,Daily sales statistics by product category,thousand USD,skewed,vertical
Home Decor,Books,Furniture,Pet Supplies,Clothing
193,250,247,316,238
307,88,466,182,225
215,169,97,161,123
318,164,194,185,362
328,154,255,207,242
196,124,263,288,182
148,101,417,166,533
247,185,427,317,693
135,248,150,138,176
220,232,137,98,388
151,474,457,113,151
275,149,194,158,168
146,204,149,157,154
116,222,298,95,494
235,135,155,130,249
362,239,424,132,299
211,202,162,232,419
344,91,150,169,241
185,325,121,302,385
210,153,299,117,144
411,101,257,232,369
161,365,201,274,202
86,205,105,152,305
113,173,111,124,126
265,381,235,103,376
212,161,318,231,119
241,185,210,140,121
128,79,213,216,160
70,230,339,371,382
110,151,103,211,323
130,442,524,282,342
479,118,292,131,422
107,65,454,133,346
472,180,239,202,143
183,86,155,171,427
274,341,99,155,296
244,122,467,152,95
200,466,164,232,230
160,241,194,279,547
373,294,220,177,195
102,181,432,247,196
219,115,308,267,210
94,182,354,113,103
181,193,227,291,221
95,288,286,164,297
188,255,510,139,296
199,206,315,314,204
101,168,117,184,208
133,284,322,335,130
270,424,258,330,396
253,151,162,317,378
110,122,144,303,493
157,141,88,212,139
133,265,241,107,224
229,143,383,179,310
209,247,165,172,301
126,173,168,363,190
186,234,410,331,173
267,213,408,146,320
177,104,288,151,426
298,144,484,133,149
260,265,217,401,404
66,169,290,151,247
306,398,154,130,168
192,321,156,112,362
474,192,311,368,141
250,207,144,196,466
147,389,318,375,185
202,209,326,176,261
178,122,201,165,311
312,135,260,136,567
101,208,248,252,293
141,159,128,87,460
472,317,234,254,300
475,193,262,164,257
173,231,145,129,215
238,140,210,209,136
109,201,130,321,290
101,177,104,210,91
162,218,202,94,111
261,122,328,198,129
201,279,139,164,234
306,109,189,292,219
161,238,344,204,267
93,254,176,123,396
110,180,217,290,89
173,94,345,236,142
254,71,285,135,368
197,202,419,153,340
212,228,213,155,416
122,195,267,391,485
233,115,192,180,328
186,209,134,126,260
270,166,351,302,132
164,174,249,160,87
90,203,364,351,450
385,377,459,248,233
77,94,187,102,162
340,253,250,265,187
225,103,343,356,209
331,127,404,122,302
214,127,108,355,135
222,141,309,122,251
282,79,309,226,404
256,81,460,384,164
129,317,238,270,236
190,109,295,131,284
195,107,408,275,136
88,159,199,160,300
285,208,218,127,123
289,170,108,147,248
91,219,166,188,180
477,154,282,149,233
184,208,311,274,368
162,356,371,147,516
246,306,279,388,188
296,253,161,320,493
188,290,302,283,345
