Retail and E-commerce,Daily sales statistics by product category,thousand USD,t,vertical
Sports,Health,Tools,Automotive,Beauty
314,255,201,364,244
321,183,207,316,210
324,447,277,161,93
376,233,335,420,202
347,387,232,150,186
458,205,349,529,193
345,292,82,304,282
321,347,215,422,204
359,294,178,230,256
331,107,253,234,264
325,296,163,226,155
337,215,153,305,328
381,322,193,381,41
343,372,139,374,229
266,263,222,243,357
233,354,365,270,284
377,332,199,267,184
321,466,118,388,209
463,345,242,223,236
286,248,326,237,138
394,251,162,139,260
306,273,87,420,190
395,274,134,235,227
262,416,251,197,197
349,534,128,185,148
284,242,353,261,262
309,297,296,282,170
332,218,133,372,277
283,382,152,237,104
332,241,53,285,284
340,263,240,275,243
443,409,45,286,199
376,332,224,137,39
329,354,160,286,101
323,397,84,345,85
445,313,44,278,170
272,421,338,456,130
310,204,258,384,142
296,356,124,358,9
333,280,216,319,149
316,281,169,297,185
339,308,279,190,257
348,333,240,190,261
373,408,240,269,229
322,322,258,235,202
181,311,288,454,225
211,378,280,309,280
306,335,167,229,252
389,245,232,532,186
255,285,323,378,120
330,291,126,254,168
336,232,253,381,187
315,413,126,372,147
312,425,121,435,182
266,378,152,270,79
385,298,170,344,261
285,392,223,392,313
311,282,185,292,273
295,242,249,369,250
310,362,157,222,287
294,229,212,424,223
428,212,13,155,167
346,117,266,236,171
395,79,156,139,192
339,318,306,388,239
328,310,251,181,215
311,269,251,327,140
123,339,117,346,181
288,410,232,283,229
321,320,354,294,177
308,336,224,317,166
395,517,251,298,296
277,256,243,307,148
264,281,66,283,111
286,331,54,296,142
294,380,187,364,55
416,268,248,325,195
308,285,214,270,152
337,306,166,318,306
324,165,287,284,154
391,353,98,224,108
348,229,214,284,247
339,367,98,243,190
289,421,178,240,199
323,257,357,168,223
276,284,122,167,214
341,369,230,310,162
314,236,168,319,174
293,174,123,168,201
319,302,250,359,183
318,318,190,103,168
250,389,168,163,273
275,331,227,306,91
329,271,275,259,228
287,343,138,219,145
427,219,165,240,155
314,212,170,250,239
241,342,256,335,203
347,391,188,371,243
198,208,145,143,175
283,13,200,452,138
233,248,113,360,164
260,362,296,400,164
287,304,206,229,79
298,409,109,274,258
286,309,240,328,181
325,418,181,236,152
401,231,192,337,267
485,361,124,277,124
427,525,241,311,121
442,251,187,465,181
290,199,254,224,264
326,386,56,252,113
295,275,241,244,273
323,269,296,274,210
386,172,230,425,173
