Retail and E-commerce,the Pattern of Retail and E-commerce,Linear
Marketing spend ($),Sales volume (units/day),Current stock quantity (units)
39397.79,2276.93,0.1
83302.14,574.19,714.38
56569.84,3515.68,1428.66
23388.82,668.58,2142.94
11652.7,6402.98,2857.21
99905.03,1437.2,3571.49
2100.8,4739.33,4285.77
95113.71,8526.46,5000.05
71381.77,1650.21,5714.33
70260.93,4643.04,6428.61
101916.16,8725.99,7142.89
73923.85,5589.68,7857.16
94073.29,7201.74,8571.44
73505.47,3981.89,9285.72
68886.85,4723.95,10000.0
