Social Media and Digital Media and Streaming,the Distribution of Social Media and Digital Media and Streaming,Random
Ad spend ($),Conversion rate (%),Total number of subscribers (count)
26160.3,0.86,4293025.01
31896.69,3.01,5825278.6
60568.74,5.22,269517.7
17976.64,4.87,2602294.7
75689.71,8.18,5217062.0
3747.74,7.57,9251449.08
35386.54,2.05,7146284.53
7848.98,7.16,5605961.85
51377.87,3.33,6366838.66
62923.01,2.42,1543550.38
41336.62,3.54,1000.0
48079.61,9.07,10000000.0
54520.68,1.34,7439190.2
75983.9,6.43,8959480.13
