Sports and Entertainment,the Analysis of Sports and Entertainment,Random
Sponsorship amount ($),Revenue ($),Number of viewers (count)
10000.0,818090079.89,9070735.1
9869304.34,567883490.8,9995226.5
344085.76,772109534.71,1789775.66
5505121.07,658187619.45,4006254.09
9863992.39,227259564.84,965305.68
2016119.44,908627368.32,3474243.9
541053.65,28963067.96,1554255.29
1592130.74,879080475.68,10000.0
5798880.13,705372853.09,5290165.11
2845596.26,787344398.01,7082036.15
9959192.81,849942037.05,4593641.32
556484.37,281973430.58,5720531.31
5876454.78,444758576.21,10000000.0
