Sports and Entertainment,the Analysis of Sports and Entertainment,Normal
Sponsorship amount ($),Revenue ($),Number of viewers (count)
8715833.05,680884598.27,4658325.89
650852.99,84165365.61,3055072.44
8094825.73,637473018.62,10000000.0
9317577.76,514187217.73,5618545.77
2708117.07,305042764.21,3957011.93
5765902.19,444381757.43,827417.42
1110747.59,320444606.33,3228703.39
2456460.96,766857925.52,8321824.48
4224041.77,702290387.71,4665072.07
6051749.98,618747576.02,4477781.37
1374017.31,707454554.34,5475879.22
3469052.69,426905216.89,656370.17
7210705.08,444557574.97,4487427.05
3979696.16,64017221.64,10000.0
