Healthcare and Health, Medical Referral Flow, Patients, linear
Source,Target,Value
Mental Health Hospital,Tertiary General Hospital,158
Tertiary General Hospital,Mental Health Hospital,151
Specialist Hospital,Mental Health Hospital,139
Mental Health Hospital,Specialist Hospital,130
Emergency Medical Center,Mental Health Hospital,119
Mental Health Hospital,Emergency Medical Center,104
Emergency Medical Center,Rehabilitation Center,101
Rehabilitation Center,Emergency Medical Center,89
Emergency Medical Center,Tertiary General Hospital,81
Tertiary General Hospital,Emergency Medical Center,69
Mental Health Hospital,Rehabilitation Center,60
Rehabilitation Center,Mental Health Hospital,49
