Education and Academics,the Engagement of Education and Academics,7x7,radial_gradient
Arts,Admin,0.19
Chemistry,Admin,0.25
Computer Science,Admin,0.28
Economics,Admin,0.27
History,Admin,0.25
Literature,Admin,0.25
Mathematics,Admin,0.13
Arts,Faculty,0.31
Chemistry,Faculty,0.34
Computer Science,Faculty,0.39
Economics,Faculty,0.4
History,Faculty,0.4
Literature,Faculty,0.32
Mathematics,Faculty,0.24
Arts,Junior,0.38
Chemistry,Junior,0.47
Computer Science,Junior,0.5
Economics,Junior,0.52
History,Junior,0.41
Literature,Junior,0.39
Mathematics,Junior,0.31
Arts,Postdoc,0.5
Chemistry,Postdoc,0.61
Computer Science,Postdoc,0.61
Economics,Postdoc,0.61
History,Postdoc,0.6
Literature,Postdoc,0.48
Mathematics,Postdoc,0.33
Arts,Senior,0.57
Chemistry,Senior,0.66
Computer Science,Senior,0.77
Economics,Senior,0.77
History,Senior,0.68
Literature,Senior,0.52
Mathematics,Senior,0.43
Arts,Sophomore,0.54
Chemistry,Sophomore,0.72
Computer Science,Sophomore,0.81
Economics,Sophomore,0.76
History,Sophomore,0.63
Literature,Sophomore,0.54
Mathematics,Sophomore,0.45
Arts,Staff,0.53
Chemistry,Staff,0.63
Computer Science,Staff,0.75
Economics,Staff,0.72
History,Staff,0.63
Literature,Staff,0.51
Mathematics,Staff,0.37
