Cultural Trends and Influences,Cultural Event Funding,$
trend,stable_falling,stable_rising,periodic_stable
Year,Silverhaven Arts Foundation,Zenith Cultural Endowment,Stellar Cultural Development Agency
1974,63736889.08,41571035.71,36305265.69
1975,66517801.72,45379587.22,43217285.91
1976,68414428.35,47184107.07,43203885.97
1977,69153053.88,48649091.8,30021524.33
1978,69009345.63,50806136.68,28690115.82
1979,71580463.8,53106124.25,36956863.14
1980,75498146.72,55271481.97,44883154.05
1981,76272339.17,57029614.04,42608769.97
1982,80433150.32,58429334.94,33120937.41
1983,81320234.42,61496621.09,26920935.63
1984,83490650.05,63500345.06,36987777.15
1985,85219286.47,65401729.4,43363394.52
1986,85161485.4,68734709.77,41382500.25
1987,87068725.47,68237678.39,30786488.66
1988,91292479.86,71506177.73,26827902.0
1989,91466339.35,74068893.35,36472531.26
1990,94357310.34,77192043.9,46343711.15
1991,93567063.43,76966908.15,41265103.88
1992,97225462.57,80627789.2,31704265.74
1993,99813250.69,82393277.65,29042499.53
1994,101481719.22,85006967.24,34797041.7
1995,102417350.1,85885983.19,46104449.01
1996,103528567.94,88990972.87,41721950.37
1997,107475429.77,92012046.57,31097402.18
1998,110374146.62,94137065.24,28259313.33
