Food and Beverage Industry,Customer Traffic,customers/day
trend,stable_falling,stable_rising,stable_falling,volatile_rising
Year,Emerald Diner,Crimson Plate,The Rusty Kettle,Stellar Bistro
1950,622.29,440.28,458.54,436.47
1951,633.43,465.49,473.13,467.71
1952,647.24,484.54,476.72,493.97
1953,679.42,509.22,485.73,535.43
1954,695.96,531.71,509.89,562.07
1955,705.78,548.61,517.43,597.66
1956,730.64,571.98,532.02,626.03
1957,744.38,592.69,545.03,659.54
1958,758.76,617.88,562.55,692.7
1959,781.88,637.49,571.73,727.07
1960,801.57,660.13,578.4,756.01
1961,811.18,681.64,593.75,787.35
1962,837.69,707.04,609.09,821.09
1963,852.49,726.36,610.78,851.39
1964,872.84,746.97,625.72,883.4
1965,898.95,771.12,644.79,913.31
1966,903.25,797.88,657.91,948.25
