Retail and E-commerce,Delivery Time,days
trend,volatile_falling,stable_falling,stable_rising,exponential_falling,single_peak
Year,Autonomous Vehicles,Same-Day Services,Standard Shipping,Rural Logistics,Express Couriers
1955,3.11,1.55,3.02,3.63,2.41
1956,3.0,1.6,3.13,3.28,2.52
1957,2.81,1.67,3.28,2.98,2.66
1958,2.55,1.7,3.49,2.7,2.79
1959,2.35,1.78,3.6,2.41,3.01
1960,2.21,1.85,3.7,2.23,3.22
1961,2.06,1.87,3.87,2.02,3.4
1962,1.77,1.92,4.03,1.83,3.6
1963,1.7,1.95,4.17,1.68,3.74
1964,1.44,2.0,4.31,1.52,3.84
1965,1.29,2.05,4.49,1.37,3.88
1966,0.98,2.12,4.65,1.22,3.86
1967,0.92,2.15,4.76,1.13,3.77
1968,0.68,2.13,4.92,1.05,3.65
1969,0.44,2.27,4.97,0.98,3.4
1970,0.31,2.26,5.24,0.89,3.17
1971,0.1,2.31,5.31,0.83,3.0
1972,0.03,2.39,5.49,0.79,2.82
1973,0.03,2.44,5.71,0.66,2.71
1974,0.03,2.46,5.87,0.64,2.57
1975,0.03,2.5,5.97,0.58,2.39
1976,0.03,2.54,6.09,0.54,2.38
