Science and Engineering,Engineering Graduates,students
trend,stable_falling,volatile_rising
Year,Crimson Foundation,Echo Research
1954,1166.75,1456.96
1955,1201.31,1575.56
1956,1242.34,1688.67
1957,1278.68,1792.13
1958,1309.6,1918.1
1959,1341.59,2062.6
1960,1377.05,2144.75
1961,1406.75,2272.26
1962,1449.99,2392.73
1963,1473.15,2486.01
1964,1515.91,2600.29
1965,1544.64,2734.83
1966,1591.69,2833.79
1967,1617.23,2953.5
1968,1657.97,3098.02
1969,1687.44,3194.19
1970,1726.59,3311.11
1971,1765.96,3435.18
1972,1798.12,3537.18
