Sports and Entertainment,Streaming Views,views/month
trend,exponential_falling,bimodal_peak,single_peak,single_peak,volatile_rising,exponential_rising,stable_rising
Year,NovaStream Live,Luminara Play,OracleView,EchoWave Entertainment,AetherNet Sports,StarburstTV,CrimsonCast
1982,117684.23,213570.6,133588.17,252781.67,279455.04,165262.07,113075.97
1983,107463.6,226796.89,138461.18,263460.02,297877.67,181885.91,122968.03
1984,97853.34,238103.55,154801.09,278890.0,319655.73,194196.93,127646.89
1985,89201.81,248881.72,164426.85,304216.91,338296.96,216005.46,133692.09
1986,79727.89,261853.11,171721.91,319159.18,359358.96,233905.83,144098.18
1987,72423.78,267354.46,174735.17,331220.54,380635.23,260461.17,141086.76
1988,64297.4,274327.61,180453.15,338884.74,399704.02,283894.08,148754.99
1989,54793.74,277078.47,182713.24,354504.76,416032.37,316226.82,154876.63
1990,53577.24,275659.91,180887.29,338943.84,439779.18,346942.83,160513.58
1991,45921.74,277374.05,178331.66,333925.81,460190.56,380726.8,165161.19
1992,41732.71,270467.27,172713.79,328692.96,480434.5,423024.84,167014.87
1993,36147.85,270863.11,161819.32,302608.78,505569.41,467478.18,175878.09
1994,31125.01,259871.01,154774.44,290481.52,525012.72,513591.13,187516.4
1995,35141.73,251802.77,142623.43,277379.21,546811.13,564796.72,191144.45
1996,28534.0,240483.29,134778.93,252360.38,566961.87,622361.24,198360.78
1997,23885.88,222902.9,126089.63,238027.87,581990.28,682379.81,200020.56
