Transportation and Logistics,Cargo Shipments,tons/month
trend,bimodal_peak,bimodal_valley,volatile_falling,single_peak
Year,Oceanic Carriers,Rail Networks,QuickShip Logistics,Parcel Services
1997,138822.13,78850.1,97067.91,149655.8
1998,146573.58,54402.42,93036.95,158136.39
1999,157160.0,50895.56,86690.6,162759.66
2000,165680.99,37972.06,81053.9,166010.62
2001,165683.2,29801.1,72487.68,176657.15
2002,166099.2,30960.96,66580.21,192712.31
2003,168383.47,25172.02,60883.51,205443.44
2004,171312.6,30002.31,55669.76,219231.19
2005,168295.32,23237.19,49331.96,228728.28
2006,166972.86,30996.96,44047.28,242379.17
2007,164792.73,28950.48,38086.73,233422.13
2008,164902.01,33201.29,34093.66,243884.45
2009,163476.41,38042.83,27039.71,239015.11
2010,163073.48,31089.9,22206.94,237335.47
2011,165384.07,30253.86,17742.14,236610.44
2012,167380.33,30538.7,10143.11,216381.4
2013,167854.14,29062.49,3326.73,201376.18
2014,169655.37,34954.08,973.19,191581.83
2015,164778.89,39716.52,973.19,183316.89
2016,158301.73,40957.67,973.19,175332.39
2017,156757.56,49288.9,973.19,166449.54
2018,149319.74,61788.56,973.19,157151.03
2019,140229.61,81149.32,973.19,152486.76
