Education and Academics,Global Academic Institutions Partnership Map
Source Node Index,Source Node Name,Target Node Index,Target Node Name,Relation Type
0,Greenwood High School,9,Meadowlark Middle School,student_exchange
0,Greenwood High School,8,Westfield Engineering School,research_collaboration
0,Greenwood High School,7,Sunrise Montessori School,research_collaboration
0,Greenwood High School,1,Starlight Elementary School,funding_support
0,Greenwood High School,10,Harborview STEM School,student_exchange
1,Starlight Elementary School,5,Silverstream Science School,academic_advising
1,Starlight Elementary School,7,Sunrise Montessori School,joint_program
1,Starlight Elementary School,10,Harborview STEM School,funding_support
1,Starlight Elementary School,4,Hillcrest Technical School,academic_advising
1,Starlight Elementary School,9,Meadowlark Middle School,funding_support
2,Oakridge International Academy,6,Beacon Arts Academy,joint_program
2,Oakridge International Academy,9,Meadowlark Middle School,joint_program
2,Oakridge International Academy,8,Westfield Engineering School,joint_program
2,Oakridge International Academy,7,Sunrise Montessori School,research_collaboration
2,Oakridge International Academy,11,Trinity Language School,joint_program
3,Riverside Public School,4,Hillcrest Technical School,joint_program
