Healthcare and Health,Inter-Clinic Referral Relationships
Source Node Index,Source Node Name,Target Node Index,Target Node Name,Relation Type
0,St. Mary's General Hospital,8,Northfield Emergency Center,patient_transfer
0,St. Mary's General Hospital,5,Riverside Mental Health Center,patient_transfer
0,St. Mary's General Hospital,2,Cityview Children's Hospital,patient_transfer
0,St. Mary's General Hospital,4,Sunrise Rehabilitation Hospital,specialty_sharing
0,St. Mary's General Hospital,1,Evercare Medical Center,healthcare_network
1,Evercare Medical Center,7,Hope Valley Hospital,specialty_sharing
1,Evercare Medical Center,4,Sunrise Rehabilitation Hospital,patient_transfer
1,Evercare Medical Center,2,Cityview Children's Hospital,healthcare_network
1,Evercare Medical Center,8,Northfield Emergency Center,medical_collaboration
1,Evercare Medical Center,10,Providence Women's Hospital,specialty_sharing
2,Cityview Children's Hospital,8,Northfield Emergency Center,healthcare_network
2,Cityview Children's Hospital,5,Riverside Mental Health Center,specialty_sharing
2,Cityview Children's Hospital,3,Mercy Heart Institute,specialty_sharing
2,Cityview Children's Hospital,7,Hope Valley Hospital,healthcare_network
2,Cityview Children's Hospital,6,Global Health Clinic,medical_collaboration
9,Oceanview Cancer Institute,6,Global Health Clinic,medical_collaboration
11,Trinity Orthopedic Hospital,12,Pinecrest Regional Hospital,healthcare_network
12,Pinecrest Regional Hospital,8,Northfield Emergency Center,healthcare_network
13,Summit Neurology Center,3,Mercy Heart Institute,specialty_sharing
