Science and Engineering,Collaborative Links Between Research Labs and Universities
Source Node Index,Source Node Name,Target Node Index,Target Node Name,Relation Type
0,Global Policy Institute,7,Advanced Mathematics Institute,research_funding
0,Global Policy Institute,9,Cultural Heritage Institute,tech_transfer
0,Global Policy Institute,4,Energy Innovation Lab,co_authorship
0,Global Policy Institute,5,Ocean Studies Institute,tech_transfer
0,Global Policy Institute,2,Climate Research Center,research_funding
1,Institute of Robotics and AI,9,Cultural Heritage Institute,co_authorship
1,Institute of Robotics and AI,6,Center for Data Ethics,patent_sharing
1,Institute of Robotics and AI,4,Energy Innovation Lab,tech_transfer
1,Institute of Robotics and AI,3,Biomedical Research Institute,research_funding
1,Institute of Robotics and AI,2,Climate Research Center,co_authorship
2,Climate Research Center,6,Center for Data Ethics,joint_lab
2,Climate Research Center,7,Advanced Mathematics Institute,joint_lab
2,Climate Research Center,5,Ocean Studies Institute,co_authorship
2,Climate Research Center,4,Energy Innovation Lab,joint_lab
2,Climate Research Center,3,Biomedical Research Institute,tech_transfer
8,Neuroscience Research Group,7,Advanced Mathematics Institute,research_funding
