Science and Engineering,Research Funding,USD
Single Peak Distribution,Periodic fluctuation,Periodic fluctuation,Single Peak Distribution
Biotechnology,Medical Research,Quantum Computing,Nanotechnology
14966855.973427815,58770397.60809021,47162294.964005016,6839237.939626691
9501364.131681643,72776626.85167783,76296785.31250733,11425800.65886157
7243927.51992948,77747866.64278316,98505990.71983819,12639577.533802046
9992244.394243022,89653697.37786542,100000000.0,6931471.4605018245
14667861.498956172,88908080.75190607,78554729.11531794,8244314.790066419
12858126.232078109,95020811.30534783,63847515.50840501,8021532.314238746
9974545.928853238,96460515.51587506,25374141.461391732,17380205.763488974
10363456.182180818,97576025.47982702,21204474.049873877,6947186.1565055605
6988455.018939564,94602304.47644821,0.0,5963164.272959038
11467193.122953814,84680564.01700176,7289055.6512454655,3197452.9390932755
7140605.762056058,74053785.7238211,44956263.40052963,10931423.75572622
9483047.689572973,62214413.48605016,67692784.18711135,2882557.595032482
7546767.369053242,64690258.590555795,76245944.11571822,9025256.719402641
0.0,43264941.53271123,92340856.27017878,2237218.5255967546
20333893.130493723,31016118.07571949,86508722.90682955,7348591.856891376
19076545.17593484,23207931.140169702,66580369.07154388,21459683.702904243
22584707.65726294,22337140.06892316,42833216.29880708,15794343.136573257
22401167.844111174,10881090.130956577,21558129.50262534,31672774.847444836
36547274.953699574,9609327.106413439,14671568.446194774,38831139.60049293
39799540.92111211,11870836.827599192,4422093.234013762,29612912.896950662
57305526.472040325,0.0,29663633.156373713,57710654.9993896
80985950.83918424,10182265.262894338,48993204.35726647,66161139.69874586
91296048.56201322,31520564.721086737,70880174.45880353,75311680.87750798
94672189.49480258,38645008.87418922,95593926.82607292,88663909.45937932
99427427.39745355,51384634.43730309,99495547.04690243,93431839.82304922
97302718.28428583,63571695.67333799,80377090.75731453,100000000.0
100000000.0,74050941.11513294,54045739.163705006,87763805.86592318
81917661.1646907,78085423.30791168,27488952.933678783,77957864.57673061
69811113.58633891,82513982.83607191,7778114.223401004,66130173.14647806
51438688.285534665,91342681.7073793,12056571.077502169,54815395.23444274
46330627.81946702,100000000.0,15610057.734786447,45129663.154843874
31268938.452024177,99295154.17933007,42840115.40530881,32913706.74752812
33114776.992940154,98607521.28174725,64963701.822332546,24489248.06408759
13822842.831337318,97084011.68263327,88552959.6781877,12596193.768523725
13715084.203649314,86363522.31744814,99091456.51692879,11444107.45898512
10900663.981182963,74768857.43367094,83853220.86780035,9611937.315088643
17351777.30247451,61600785.17912666,58543248.15298392,8978519.781328678
19584677.656864293,41087953.25263969,36340176.090168774,10494811.38178019
11078835.675258175,45029242.83154889,24166397.426693723,4621664.771063029
11727764.76581177,21388342.360571656,6584760.472996583,5804733.495265408
8495720.191147333,31668407.8833189,4879458.132885824,8139211.522966836
3491148.1748405527,22904452.171047352,28385432.039513174,715613.2139514236
3282089.8267209874,17299280.489178766,63730983.27956255,6661198.407212261
12594817.81908059,2751007.918406703,78449467.71333246,0.0
6969705.821561562,5160949.4812376015,93696118.5368666,1350136.702797017
8508214.023339966,13822699.38537833,94912347.79498847,6157173.094906539
4770833.16627425,20719822.077324517,77579143.29094364,1836476.464959348
13314702.801955272,30284353.687455494,51348086.83509531,5123072.094110194
7604014.598510585,43109628.66611534,28181570.68718462,2205155.5271536764
12057624.513021057,47048683.20017354,9489041.083745046,6817193.714729206
