Science and Engineering,Research Funding,USD
Random fluctuation,Single Peak Distribution,Random fluctuation,Single Peak Distribution,Random fluctuation
Biotechnology,Space Exploration,Quantum Computing,Medical Research,Nanotechnology
100000000.0,1379771.0675909526,88037162.14205253,7096139.041599369,50072653.31357963
99585111.2643844,6131977.659462436,78537629.78859971,12669168.905605327,42072945.01800908
99652056.10611786,8515660.936378509,80498147.41135105,9268871.074385725,56664152.697392754
96000444.56233372,8904574.212159947,87688863.75821507,3242129.5265758764,55046957.94496975
95650693.88359728,6496877.359262268,95240931.92093132,12152119.517395673,43177433.4043234
95678354.74017473,0.0,84189419.41181013,10389457.585996728,56966698.48788577
92487591.88611378,8333444.654132846,71483174.50100651,12392992.853905946,63787783.24762048
92226353.15508147,11952844.526726069,72352621.92505549,20337083.300320655,60236118.19343747
88170332.17003062,13457457.8758213,43548053.28308751,2603795.096770829,73203696.27897
84365783.71781598,9055682.012661122,63127494.4126869,13947670.903078282,77199248.01659188
91545992.87262963,4240288.31628337,76146537.140935,13055553.910270095,82685822.95409147
86798680.91865773,4656505.264999497,84920070.90032235,8553334.356691856,79846457.59262548
75480913.11993606,13026640.992970936,100000000.0,10330211.549566675,74797042.78893813
71704794.46976583,387080.817447993,77020602.82717122,3994757.3055194593,81483811.30473115
68270769.39034674,16104270.942141801,90928539.72120601,7134472.192622812,74406524.07123606
53755222.98417943,17398177.10652342,68834603.22823162,8936590.199454429,79643743.52694926
52321207.06053298,17624576.98465256,57601982.538946465,17029566.179167498,76281486.18269803
61251425.82649675,26897012.381372247,68222673.03824128,18765779.474533815,66077374.553652346
55715900.58153274,26429435.18921387,79702787.4301543,27844950.81435357,52892386.714924544
57005395.010786116,44829936.31681542,70573598.83268635,37853995.0304257,65031848.338766895
60006223.047846764,50535504.94931457,78490605.16976842,61312246.18738933,70519206.9489236
58512646.91134732,62734396.756519824,71900166.21185009,70433561.30482686,71531582.12480788
63599509.93599583,75724159.92856449,66914324.044590116,81259224.07868889,91602143.79775055
56882570.988379,85649297.05071303,61970418.46801653,88269469.94949336,84767998.45753615
52710279.75178099,100000000.0,62131178.00079233,92829666.57699758,80545319.92268096
44123327.39198277,93406905.60472266,43402971.57623968,100000000.0,75042060.68071571
39484571.19191326,83649438.88843493,35709705.51299609,93141511.57705212,100000000.0
43761671.84605463,79074666.42651471,33833508.731974654,80532747.84281825,76948576.56737986
39267123.862241,68157953.05718432,27428821.27285807,79585462.33768958,75905602.74666734
35601074.17851673,60996763.624674514,25900880.688603733,62226246.55204486,63953561.38892463
26478767.945564497,41536641.51733325,14080090.76262739,46148383.22587365,52176532.12843937
17963101.179668717,25904624.540108483,5213247.494158538,41085632.97651967,36192588.30437238
31937693.785168886,23206466.167304453,5735436.246358875,28227620.62118109,26983388.462034456
33241141.210493773,18443823.346007444,0.0,15887602.566437092,13692250.7924301
30124979.354643162,15243512.250239324,10562740.974418292,14476230.290176516,9534433.952327454
20343127.881366547,13722985.740276542,24867441.87416343,11841856.03641843,14125809.55016513
17034879.33457628,13423481.726273185,33192020.834455628,12331000.148873076,6254661.758284015
16068500.145478169,10034492.501632653,29974353.45787599,5377577.9927425,5822610.175940565
1894501.038049404,6692578.8781712,43085403.09614271,11301284.273789968,21403880.464296784
5508845.49733935,5412288.999879466,34852342.22886884,9164477.676384598,2573626.2646633596
1909104.6958035321,4973385.8189606825,35673750.78485286,17543084.841156173,3506770.0332177947
3571179.9945379263,12228492.493633112,29819680.53555784,9869715.028824855,0.0
4050731.7950317,7055024.055767298,21770975.741602704,15815022.936562534,5333544.407961032
4268741.887058669,6908753.240186358,20329173.49189904,6798284.544887708,16184240.326465502
1990886.097178136,7361488.757554121,29454390.364284955,5379623.334395716,28847426.013562288
0.0,13626827.297873778,18149439.44571097,16150899.389207205,29595975.469457876
8426022.54614548,6265621.1953781685,26475494.767086715,11532404.361844487,36596979.70374594
3721813.958982463,6571682.625668406,23015293.07074463,0.0,44410116.60387413
9082401.895418037,7245022.232925015,14085125.449532881,15815489.892479334,35170738.58473562
802874.0007120642,4451072.983559312,7737886.033098652,11196795.55741783,28350033.850812662
