Science and Engineering,Research Funding,USD
Random fluctuation,Random fluctuation,Single Peak Distribution
Nanotechnology,Biotechnology,Quantum Computing
2105922.7920274944,51057977.359941766,6143449.988956276
9291856.172136165,48394834.781557955,8949083.099886747
19788164.338419944,56225928.653455906,3306121.580746417
6983863.746239442,52341623.57931767,7352491.041532601
10085460.984862402,57274435.048725456,9997439.546376295
29787752.09033637,57219525.44992986,0.0
11375484.252320062,63604539.892286316,12832826.791249558
21349042.54430645,63930410.97537701,9587844.30673074
19062168.871126574,74072901.76218146,12226780.186241392
36596945.541073546,74300976.65249327,5583473.944841345
68757995.1218271,74431477.57152975,6439784.8151124315
81799754.40290625,79819841.09348975,8044295.815069248
70945025.27242294,70758008.33865961,17048383.04721484
61694655.89055594,59480533.472823,10639625.49366453
41578307.74647425,55737053.366223276,6241124.695497741
24276307.97917449,56225845.494622014,17612423.166414995
35127331.069295384,51278714.04847951,11536319.344753426
31840337.24229952,58245108.17107885,20853888.328136437
31936247.594721157,51070473.88641403,31293752.61391679
25423821.58581814,41633848.50622738,41832281.89532896
28983244.831453618,45027785.112950966,42796430.3656201
30320810.467312977,41755792.54316829,65783412.57201156
6016211.963202024,41584494.47316926,74476441.04821739
22524298.777819823,59481385.662471496,90925772.75330311
30576755.69845152,61496200.188184634,99842125.0255213
28318231.653485045,62641225.4500244,100000000.0
16712798.537888257,68423515.98859537,93328200.08659238
6708937.692994232,79053498.8798,80499654.48940332
7117182.296263266,78146471.6944646,71155110.82709222
0.0,87626140.29697326,57068493.92919562
9455376.93527851,90992631.2151672,38637464.09322261
15349294.400366154,100000000.0,29514183.062267344
18140171.942514677,88148735.7397261,22753822.113599353
39607804.51505874,88856797.1959917,19135001.652314845
31317279.68308568,88553889.3743234,17075186.030739747
21603457.451056473,86140830.93034321,12472536.8911932
16760233.65695612,66039958.13452654,13710802.533911517
21863527.546141416,54280903.60220152,3681871.496299002
15747073.264786005,46525374.181265116,9630152.533796689
28310172.929507453,39945708.296775326,10837942.325309174
33238552.174083624,37482416.24190375,14344205.145211237
32827905.835114773,28248582.91284645,7954697.893804042
40983677.52333396,26322796.395926878,10943781.32132712
59870588.27204883,27478752.93692574,17314587.330851354
63526800.44020792,26413500.613083772,6909489.385608318
80459477.47574748,24727209.84700321,12575577.53493001
82253644.51843889,24154994.701665018,6264727.402376105
100000000.0,17437035.922006447,11148348.857186398
99757897.83208819,932364.1305497945,6770552.268341267
85535737.60165484,0.0,8290347.629968697
