Tourism and Hospitality,Tourism Spending,USD
Single Peak Distribution,Random fluctuation,Single Peak Distribution,Random fluctuation,Random fluctuation
Shopping,Transportation,Nightlife,Sightseeing,Dining
1570.1169271092915,10000.0,999.3952774095737,9376.80845066508,5278.218685537621
399.5283290914306,9463.921035484998,804.5999942097326,8247.490184890423,5110.197302536398
944.9826175096724,7325.499975265101,940.497923736897,8616.72297932142,5130.95722740678
455.53361195560757,7354.782292698144,1292.1333406476915,7888.329889830229,5003.379383258015
583.1388781344547,7940.049194665484,316.6491985280683,10000.0,4947.821565051023
543.6621409542595,7716.321588028933,857.0515107829827,8534.836825775325,5347.9210729263705
1098.3003779267058,8250.587344489064,767.2913653392166,9711.753677309784,6373.466424900185
1756.6962722587093,7814.386686085255,345.69942956614426,8032.563276800479,6935.656816848082
140.08063443699362,7415.265145079183,724.7152264331013,6099.572626523456,5881.849401159771
602.3230171988121,6535.583259848919,1414.8072836031324,6164.2861781159645,4855.824778038363
1050.8599775947116,6547.397291426693,792.8452309992624,5230.764944360493,4649.807587760647
634.8822567231996,6966.304590366299,779.7898470480471,6832.107309036688,5425.360169102504
1091.1689924603706,6729.377737567672,504.1627867069938,5835.844014837874,6171.788646476028
572.3093224170096,5825.8529236110835,1132.5252865840034,4127.284300390538,7175.220840540085
551.8763452494204,4886.558435400778,503.75792616697134,5623.556735546103,8067.532599560385
642.6560777832732,5118.865273862122,1830.8015057555185,6863.506707090937,8473.291503797698
1689.2659760019992,5168.508280614125,2216.230237316541,7579.7724045068535,8596.374803068018
2115.222352833647,3374.1164466138375,2514.858997087378,7325.483516930352,10000.0
3177.521841704131,4388.975876210491,3466.784543163692,6882.090984809301,9011.323943304338
4068.465990679002,4072.296370136305,3553.980116523259,6948.988283651433,9250.969870083158
5586.459638920867,2524.91006176065,5489.926072989542,6189.0959870429515,8157.214498063376
6890.794813764268,2004.5378300177936,6446.799462550279,7322.023292547265,8103.082370818676
7299.114928013344,1361.1142740111027,8050.153746921576,7686.423294574913,6691.436098990469
8911.265183732632,1067.6895994262109,8802.68124439899,6474.708369622381,7448.162478243658
9137.767314252002,1001.6449488958597,10000.0,4841.93794216819,6195.375822075742
10000.0,1432.4408735734899,8727.547620062487,4365.698806324182,5839.628649502513
8048.51605411873,1257.7707692940817,8490.261630536676,6267.428170328322,4487.756999800904
6623.524714260032,3003.3572046024638,8276.986766636395,6117.578255682335,4244.9444901207
7483.736134726675,2574.893451355546,6812.827168918998,5072.0562703639835,3603.9925903041108
5619.892492053908,856.1201973985252,6530.65252667561,4314.187403841511,3902.1205803034904
4336.654505455759,1127.3867155505757,5440.44386437718,3978.3507134649226,3966.289595900959
2562.5676552370473,0.0,2699.4618733892016,3546.465871765335,4859.512417092021
2077.4615081591487,1808.2473025599252,3239.292477232572,3419.1298491250936,4503.229593549725
1786.6409252640944,4239.527160380046,1930.413316836398,1722.063896844697,4493.494044773745
902.7115566616336,4713.856402215533,738.8221876048718,1142.1037055670986,4465.148110009409
1353.0742217585248,6854.1566999689985,1234.1429602348603,0.0,2732.7611421424713
396.8857926996555,4945.950224941794,1070.465852050478,551.251106565124,3197.63361761755
703.0124733764169,6883.9841287879535,917.302635211321,1527.448785772694,2341.3864556970966
890.3859786610304,8018.6062200540955,544.2819147668012,1508.1970787803755,2893.473820100247
546.0747218874235,7461.532545181763,0.0,1926.023042464805,4434.431645916848
0.0,6859.589086119065,34.41874263041804,2564.3396117207485,2372.4002568598416
1236.2070047186887,4070.666365892539,320.4039408100517,2785.6771252591707,1202.6108670361762
323.14264528342426,5100.893698292516,501.3809446305857,2978.708643189492,37.33294541752313
824.0117673356399,3883.3623916379447,1084.5715798075448,3552.295683747495,0.0
787.8151456963085,3907.630581685174,932.0094650475539,4874.545827996777,1729.1624038451478
901.755561561336,1949.4956605951822,306.10843236113664,4276.156588335282,1840.7848593759668
326.7176629775563,3064.144253561751,372.108079545025,5287.642055520516,373.19714415374335
339.9658169249819,3346.852580608246,1652.7079019676687,3392.54548142155,728.4713767279243
791.4878062051578,2213.740724328922,1170.6622471835212,3589.180928629591,1346.175442698005
777.6992118524665,2801.8224554105263,519.1374926847083,3447.5269615161965,2617.928407624812
