Tourism and Hospitality,Tourism Spending,USD
Random fluctuation,Periodic fluctuation,Periodic fluctuation
Adventure Activities,Shopping,Nightlife
6048.772790979879,4768.456527612565,4711.455488251298
4760.981373471018,7284.933026504437,5127.300885545263
5532.0352118320325,9912.13864743763,5465.6416023524935
5731.927923770134,9178.54741977746,8108.4228976564
5900.186057808329,7604.942009411015,7818.700494605001
6692.492353114303,5780.651283795572,8176.430063771949
7537.3812379323,3101.608898039491,9094.013651201805
10000.0,1129.1718591591236,7887.756355605065
6443.769444038045,497.5610593287405,7623.028136075443
4984.682216029828,2307.666884904779,6413.720182363331
6543.658308318363,3809.653447982607,5209.265666045523
6205.370994507877,6548.268373148323,5397.344566771052
7050.08672537618,8721.242569426224,3267.838798222797
6397.422218581148,9417.808624042822,1542.61977336944
3918.3722865010027,8244.386723395408,1662.7714398558346
3020.5912167585852,7125.37401040678,1117.1530627364104
2452.9622960579263,3976.3320083831277,234.75128605710213
1772.8833124958787,1841.0256954376935,735.0644362737269
3698.700720897074,937.0696259484106,0.0
5152.20802159903,1763.5565953630062,1011.7302920183575
4662.83495779475,2792.9271541096823,2604.2957670353057
3314.7379391884274,5168.941146480673,3506.5486065896193
6457.799774686834,7797.8766898876875,3728.5142440607947
6026.442621956141,9323.467898531188,5556.919083075239
6488.70253331925,8942.635006839208,6067.081609370442
5545.665435676892,7571.9014995195275,6741.506343872661
6346.689133458182,4556.476989762558,8453.34836419683
5768.060174742258,2207.682344207197,8702.918995930984
7944.130217880877,1036.3235055800562,10000.0
4855.819795433397,818.1081961865233,7625.531442347607
6882.060544774079,2145.9675583339176,7901.558152653053
5549.477197925572,4934.652284073842,6125.053667302997
4010.2374360466924,8044.431446382564,6313.241880015004
4513.598530635322,8892.291154582788,4856.380611836451
4889.607833842661,9245.015207198247,4279.591213194542
1619.8878516705454,8153.685734818523,2253.9823279396705
6387.958002557833,6207.580282919318,2430.597390378291
5127.833189279651,3563.782386712729,1143.6157582257754
2600.8639334443974,1586.7852735307767,535.1077387965628
3225.6453802451424,0.0,367.60786246501164
4927.448147675311,1587.9817064838776,438.8418141892647
3111.937919580348,3624.7011263360796,1037.6863956867453
547.7663131369554,6099.307286567191,1439.4034888776841
390.4556305699452,8928.380481041464,2882.1255315737276
1801.0668251291686,10000.0,4112.170311862066
4104.832600995899,8572.12689210616,5660.727921016772
2561.200145696376,6092.642081847725,5737.147427553555
3305.5288664392583,3476.2556917666366,7220.020769151621
0.0,1542.8728037409114,6791.327916096378
2364.1189737027557,433.6921494169885,8364.84052617609
