Tourism and Hospitality,Tourism Spending,USD
Random fluctuation,Random fluctuation,Periodic fluctuation,Periodic fluctuation,Random fluctuation,Random fluctuation
Shopping,Cultural Experiences,Transportation,Nightlife,Sightseeing,Dining
5764.3349274033835,2101.0522086931865,4993.384082312552,5251.852234345662,10000.0,6087.956471440353
3898.7649246907367,1869.6951118160819,8082.775941424128,6623.309732518522,8299.460030731276,5174.366918328046
3957.815297448617,2116.2449199134658,9426.808922119788,8289.914152861158,7991.054254340968,5545.905767373093
4211.516617934895,3054.7835166126806,8694.275785293154,10000.0,8448.54772256224,4984.242993701498
1696.022172377569,2647.866950334506,5941.915333725569,9552.441419433448,8417.45483802451,5876.991744726986
1357.4922510186364,2632.9769104502275,2111.8509683391567,8139.709984410601,8345.858344014512,6778.583028410659
0.0,4704.135457219817,481.479376160773,6943.526668344993,6898.597030290325,6871.242348605252
502.76966051681035,5632.425349558832,800.1430294740732,5209.931121449171,5880.952502826017,6666.871099316457
3365.354893985701,5630.137099235551,2698.2571632210174,2785.945635414612,5867.183777633714,5428.152101753984
2652.747713325727,4158.140227257076,5942.9046457383165,999.8684467646841,5459.178900085106,4476.797516121998
3448.3160370645,4109.3991313863235,8904.545124432143,440.5998615514441,5847.786445063962,5560.451066019892
2856.3780439723373,3232.342807846083,9592.550806672174,583.1409039614031,5317.935452896978,7399.032341811926
4522.156961613419,1659.6420596865833,7721.231022972093,1016.1122688285352,8551.513648133898,8892.555747753362
5510.702612106278,1243.596760657675,4561.886790127875,3371.1959799650763,7212.168863342955,8800.58167001051
8149.553003312629,667.7006801004962,1520.2062958718477,5166.257758785786,8248.596131767868,7661.055910562523
8266.080123875776,0.0,0.0,7290.803975335511,6690.342329482838,7077.038264880852
9244.05862372466,1883.5428717107152,1201.1376749979527,8583.692916634016,5883.780346799043,8683.282095065515
9348.571876075377,2031.67925345271,4474.673172223318,9554.157610796488,9636.065551164129,9194.382458906892
6343.188751299712,1977.6547005943735,7513.991171037588,8859.912854968421,7872.039538062247,9191.305501482528
6208.724368067426,904.2327739739238,9207.748937615168,8181.21412117603,6814.007257128101,8704.35576703419
4743.892339120797,3974.448544132664,9323.529008626288,6661.410924085938,4737.8760062978945,7904.455500155898
3178.988458192154,3745.8595331477422,7031.906336196297,4584.554609466844,2754.004870684281,8218.18765543625
2588.224662325538,3932.3707704796725,3779.658195580828,2248.5026137021146,2790.19071915738,8251.12836379812
3161.5062419270203,3972.09123353791,853.9292318112011,1963.8241396751182,2334.705167891456,8923.805538616414
4300.8895426464005,2304.651390522506,380.64865494339506,0.0,3650.2862429633033,9349.822994460508
6747.863065189375,840.0885600720792,2483.1470546374508,1391.470214155082,4400.949004016526,9575.464531601734
5956.1833634479035,1213.0551577952212,5504.579552798935,2069.4131084918126,3436.789591356344,9654.370787585072
5613.542771389529,3620.471746177181,8564.525547840229,3681.1755108014795,2392.0627516180625,9625.358554062272
3798.819249910228,4242.441720396953,10000.0,5691.048125090537,4411.644840190583,10000.0
4496.16435614864,4267.067881190474,8549.743532406399,7033.646919021221,5840.294679280021,7757.860760204528
4887.64300072415,4073.3820548980925,5326.15936404713,8767.697753532068,7038.974813909661,6925.369453009491
6568.541923818302,3087.6105905850195,2296.554060575931,9107.722514776462,5892.819225222622,7114.141735655456
6640.661668698122,3139.041582276253,668.64929024677,9481.064137425163,5326.935696437073,5624.748130863577
7352.0416081069325,2569.1707776799176,918.532236879168,7834.844059773975,5172.0157751398565,5822.8024291742295
8798.62320572052,2177.436804404006,3087.9960748638764,5940.529952537742,4804.239651496195,5499.648778963123
8008.241013183092,2482.217979284147,6885.8733895917885,4710.530573186643,3943.712416085646,4932.73420443093
6896.035973555885,5241.48665716127,9052.724736826345,2142.9446292491493,8474.216751083724,4967.1675905974
7522.429457753779,5856.920530473952,9567.686107206735,1385.4687062695784,6003.399070098614,4238.947761830366
10000.0,6961.627025837655,8184.469220276219,763.4450764815817,7347.679826242387,4986.09870834603
9318.533198227991,6692.213063341162,4269.392502332027,1068.8165185269925,7018.243361203986,5342.271312051899
7432.239983787715,7061.024748549376,1438.4396415450053,1575.089227353748,4696.855110678262,4812.328894900549
7646.299169441632,5105.487875660882,281.8589012018295,2238.0633653282252,3039.0334312238206,3970.623387471375
8652.286832391455,5981.088386269077,1285.6576567349182,5887.651908774756,1322.386888907551,4262.902885570827
8820.659930600059,7172.050035071905,4056.5214262073914,7020.3342246851,2859.3565834948854,4547.653646075051
9219.116142831359,8492.0003486803,8127.312992404892,9051.095518149123,4431.011224248056,2504.667240839233
6888.63108727649,10000.0,9457.875497946381,9455.266804634031,3999.855980607569,1677.7651096540244
7036.87479111294,9556.982839160393,8942.97096588445,9447.624817220269,4826.67787316052,2021.5514434773293
6621.664771456659,8014.18005003432,6366.477267526553,7475.026355234173,3844.3974369650746,1517.5832314442723
6244.775687020266,7799.4090794178965,2850.7568856141675,6180.861943633004,1779.0042063875699,558.4263581590748
7584.136242688073,7561.705130230871,722.1766396391848,4416.598885546273,0.0,0.0
