Sports and Entertainment,Event Attendance,people
Random fluctuation,Single Peak Distribution,Periodic fluctuation,Periodic fluctuation,Random fluctuation
Music Concerts,Comedy Shows,Food and Wine Events,Gaming Conventions,Professional Sports
535953.4377181835,16247.722354700314,431740.36185300327,529443.4067429993,209190.61854013582
582016.4424241508,158537.42871165555,711061.0789529284,806915.9265351584,78931.53951290697
610901.6751259138,86517.42472684047,815039.4714402456,944088.4005252438,47099.74448011547
866592.5027856842,17031.1793674672,886790.3249762595,948351.6608759611,59904.35010774244
948155.1491219621,37262.71750662605,932794.1373145636,735524.0308479322,212997.51096632687
946548.8847096644,160138.35577126357,901008.4712903091,387041.6017841897,139448.44025274794
1000000.0,83202.67846161683,766355.1878267038,93266.96496735666,127789.24768268297
942678.6628014058,16112.572241970414,604186.4523070012,28114.96563204767,0.0
936656.0122157945,15249.677762841113,431397.83359393844,163030.09629920256,142307.86578651553
709451.8526404559,13774.315126762,214913.87946280662,434826.87234071107,103953.43187879329
658930.4710120942,42767.7240468731,71303.13358441618,677535.1688424299,118942.48389879888
639598.7134125503,0.0,0.0,899579.1025318243,230175.22039753932
579060.9017981766,126049.5675439246,520.5424144372951,873590.8800049463,378868.7965631794
426301.6364339777,48282.69932353973,110167.27713441027,790604.8083043038,422284.34982341644
432408.0135115382,84078.89489682607,243561.32363556608,554902.8165342145,497760.580192686
502632.6897624288,140235.78154624396,494162.77176610456,227827.84970628488,514151.49725034204
602831.4012080814,133388.81441813803,618229.3036941845,80535.63424990186,526179.7618499898
453330.15489457507,313301.78239950776,778452.3477770967,48999.880989428966,464724.36186125677
625860.4102627235,243995.9746679748,897606.5372369019,305506.4915846585,446794.8340968671
647933.1393516271,388299.17643516505,979092.4014694958,619029.7239522956,461058.0813228853
699721.1017262095,554386.5515225537,973422.8430781732,824675.3817099202,471218.117095081
726126.2841747134,711101.2929884542,826839.0631073045,908057.4839542157,407852.00068415125
627845.8143413691,803405.7071710973,637431.583673292,871606.2517988187,473633.46250889497
747601.0592441423,898067.8408464345,538694.4140422142,594244.612263317,574720.2988409256
677122.5661438855,1000000.0,288978.8880095618,311354.6721790482,608213.2473739471
517110.94629693334,911030.8851563341,154763.4650897265,38657.36745978807,712962.9813226393
496647.592960429,937454.718568746,35999.547041767786,82839.12221655759,775619.2645044349
543034.6318309325,888986.7295853493,72713.17557995617,112276.73661324481,725513.8632513761
465196.50640452816,684931.0635740284,151878.974816385,429168.6401788332,665688.2554960905
442271.52359411895,577242.0298784582,223600.3325096425,857040.1912080835,712526.4948017341
578252.8444939686,414517.77205293183,423299.7295237097,885862.9195776195,694276.5986451587
322053.1439788111,375224.45513047604,604016.9331861859,963308.369358076,532870.7947464471
257913.6197374413,248371.3830590978,800515.8057371547,767927.4636962328,636991.54260332
267266.45639535744,267470.4279230332,870197.9527748259,431130.5041874406,543194.9852338624
19827.87496781836,104019.29370313638,968137.2528300919,148635.7549235273,444478.2545419429
72164.11982934263,123822.67555513771,918013.5370861534,0.0,556036.3168914331
90179.6008786366,114865.61754156898,890231.3467761854,97123.4336917564,546453.3229155217
306387.7869483349,32482.963734216413,659264.3054151976,451581.0847358819,577931.5521881693
100764.38360905672,48445.451398318415,469459.586132239,694519.3668878737,550221.6308529678
150995.02824882165,124237.36116981712,290864.4837648448,976851.9581061467,541990.9709513392
0.0,127171.40557645835,183529.80003136225,958996.4196863967,571676.6410724442
267461.2414577155,28663.694945390336,61411.331102699856,868209.7670858145,583362.1723027085
464724.867504936,120252.3845798228,11333.236354190418,615389.8975403853,722906.1984322806
459546.11376684374,90240.8086869712,105287.372169527,197613.06889004004,662650.8955279059
434577.5375874269,32010.547983560948,231941.76483627752,65069.09911812446,727638.4932208271
552017.5732653561,71678.2350325415,411252.5522735503,134719.35135590116,886539.2150804322
664155.7593681139,98071.99648726785,635462.3394004465,263549.58434977767,929665.9305171701
548495.4930063355,46771.93040656084,778124.0193175762,633275.5682102565,988498.60789851
509424.55587947223,48586.024429870566,934478.2975211323,861071.5514966534,921047.7519515378
530886.4278888558,45922.29830505163,1000000.0,1000000.0,1000000.0
