Sports and Entertainment,Event Attendance,people
Single Peak Distribution,Random fluctuation,Single Peak Distribution,Periodic fluctuation,Single Peak Distribution
Music Concerts,Comedy Shows,Professional Sports,Film Festivals,Food and Wine Events
174276.6023258682,114355.93423809495,67551.76499018991,513051.3496464102,80707.33070880198
151092.50961195107,81016.02394932722,113568.11903044106,699361.0396795014,115246.12688246393
99880.46363697162,193729.1681251757,61330.61306525366,877731.2617704632,129220.62614032786
49339.203579159446,151610.488867916,75287.65576891479,924939.3991592567,130116.02138031114
226601.89380688558,186115.75232072594,128806.88626874656,907019.1920284242,163472.61003486734
149221.3795608427,196659.85734703907,107079.46570182593,764118.4093344153,126265.41087120194
113293.86507829433,227150.46112762744,0.0,650287.9446804383,125964.07642045748
73763.45731809044,136780.38137872418,30737.14617346708,361661.57198453177,117482.51216578238
139820.7769534374,0.0,141357.03831648442,230046.61766413538,132272.80641705598
0.0,288027.79556452524,84174.41109057123,117216.25039794522,144200.58228309016
133932.49018020122,528670.1259390544,99026.81437260142,156883.2397285325,48019.46329743131
137287.62701841875,421544.9573713515,40532.08526478166,180076.85465313232,75723.20435966318
92397.49944523071,544040.882498176,115640.99534807127,339338.1638372218,177618.97225734533
165245.18623422054,709502.2917453964,110815.60185124651,558228.5631726595,192403.00954910862
217144.71386103262,768495.2374099741,171303.13061185137,792129.6606512482,51519.287299047835
220944.16082945233,727524.3265842488,182743.628189511,872327.3036510347,229025.83731543223
138486.93426746916,599949.9823140478,198265.2003452433,1000000.0,153804.93889229978
294118.9687025861,757929.3961578709,188433.390379195,990156.3941999299,230727.24046682476
427323.6721176359,910009.641524999,272450.8703056945,780582.7595141227,357128.9078404434
488169.15279986203,1000000.0,497054.2901879519,584595.2296763422,460064.50060729595
593138.4827894005,944004.0206203134,534250.4726247145,452172.6219136836,569120.0194508135
735475.5052845267,947641.094244221,735040.3709796978,246140.90064415144,818832.3607292224
791887.8369818826,739499.8583518752,856375.6049032616,150904.89571889341,856405.1326892606
954686.1913506921,569903.4616827886,1000000.0,142761.36280434736,908461.0231790775
1000000.0,532185.9843633933,906589.4901385665,183713.79918292258,1000000.0
939886.5026983866,480437.7901974016,972933.9394054445,241929.90063201138,985602.5949747625
924633.8845576629,542718.2272201483,986358.8293959738,613860.6360417531,811491.1577537726
779240.4679710151,549925.344041445,848980.4510583711,723224.9789202374,756222.3891798184
705189.8753980616,331977.9310618357,696247.0925611072,954558.3394913924,664928.5657662944
565595.0200700535,331539.9883870161,542432.632653089,957212.8349056866,594492.5775355091
491054.3068570402,292417.1742285684,536916.2393648035,870879.8130910835,479220.4056192573
398379.6256933682,214280.73713484354,267612.17139456264,816413.4351758589,349719.53097946575
282538.8856815088,127394.94705063614,204641.29153713875,618210.1556111992,212518.04624550114
173175.68671325766,254650.38310560473,164589.75010248233,356212.3841582857,271008.75182825804
145028.0317803867,95650.55882139815,93940.44873421756,215465.47175357718,222956.9886797563
65207.853486972694,53234.10566427594,226379.83663230357,120100.02072949546,171288.4697390478
140380.20924764365,186529.94366044784,127244.34489411299,0.0,168226.45749238838
131271.07439520874,316522.342768463,83258.61048647913,188448.9559697592,90690.83355999395
129925.34693310567,302973.68297806307,117945.14908997752,298035.90153753327,69237.75088917249
51065.30728235473,226924.0883705405,43911.932046452835,589319.8871026206,175421.784120028
143567.864131189,206254.38049454198,188598.35594847306,644160.1457206117,105217.8531703408
157678.4867447498,405972.3759891323,63794.32254600241,855402.8159039664,176684.01240536908
181665.4039996262,471202.2692172423,77770.20005682224,976261.0025382045,195019.2856416963
139993.0119728591,424066.78859777737,75977.59936052335,911590.3535949682,106001.54159192734
82712.22424643186,320999.96201965393,15529.107768982336,789392.7021858332,176781.60006890976
126670.13587422171,318667.71063731465,47123.476504594146,524751.1595113112,0.0
159630.55115774108,605609.4222491098,140613.20395714426,509185.97656704945,134115.0923439934
94131.76556875484,720860.189923866,143173.61575508493,158243.2082243591,75752.14880261202
219539.32589161897,832330.6993483462,127957.35965430121,139243.3548108464,122378.9785014333
49941.04211585146,915019.0949801895,74581.15100153482,60708.994504861475,132991.49473101384
