Sports and Entertainment,Event Attendance,people
Single Peak Distribution,Random fluctuation,Random fluctuation,Single Peak Distribution,Random fluctuation,Single Peak Distribution,Single Peak Distribution
Gaming Conventions,Film Festivals,Professional Sports,Theater Performances,Food and Wine Events,Comedy Shows,Music Concerts
176936.76153794862,797735.9589180227,1000000.0,76155.77207599927,176887.28464732453,113426.02762730513,83280.74749529849
70411.81668753475,731340.3830907228,570583.6038388961,45683.823474411976,0.0,54594.72440518611,0.0
135237.36463486758,707720.6880176528,453137.17599786527,85622.69608092455,54448.90485827821,30017.660326437224,33698.58412910033
11394.172234640673,887713.2289152867,262518.7183147671,25466.38219001004,97198.22300604265,97583.17327138959,96646.74848508732
53340.41569529474,1000000.0,574438.9039923288,66901.28783690228,36064.8804202008,73654.94683596486,23676.544296403128
28158.92245544254,901457.6688920961,755273.1928174341,132443.0521575775,188645.52902337175,24437.828022729467,26786.389629813566
98737.90493903872,890539.9766142018,899568.1187857676,32240.644202520965,337535.3076622201,107051.52778574052,113489.41439183312
112179.03573814212,696289.1107800228,648333.4459953537,60728.850817699546,329631.55193435866,0.0,63790.22040570274
89285.88069455592,798004.5248862925,665640.5508113534,110584.03903666294,306988.2492177218,77893.73106586518,44957.62951930547
41570.464010466334,827186.0255353551,713951.999621812,65702.91298700144,379776.3947268933,176089.48959772548,55388.69582532138
73152.33130017607,677330.8248979684,420857.10042163223,144197.64951335234,424192.8839479986,74086.22190484677,185864.19044152537
0.0,650028.8761028261,454978.58431742794,122748.4853209796,190289.99389069315,67143.75425296671,213921.8803626437
78002.36327617282,383006.19941545586,544585.1111223135,136239.86076026465,165340.2381055042,34546.782448679776,100107.81303630183
130438.48733649848,402531.3811553932,707799.303655604,85975.6936682385,343843.52733720024,23820.57049156147,108859.14848181904
128269.40293696776,336331.03362545284,959801.090942702,127041.07472981466,732197.0891791449,102749.73077696357,88410.02713239606
138152.34605688072,271959.80976687226,878131.9021239474,123422.67246831652,664323.355621608,88843.39689771124,91958.81727161918
346317.382035413,257463.84557381846,977293.6155009674,194169.1657785321,917468.6034747717,163118.9669120437,258274.92544450852
328777.81627421983,381485.6187427465,653755.852650834,174337.06350327798,801909.8285623369,178939.9403459927,231912.80422375016
305477.01269967953,339488.3585170901,592194.4598813943,317777.79107081523,764320.8059551236,333385.163599004,234493.24597612885
534416.2834098765,499044.27397361764,483504.6255101708,413412.12363675586,758070.7617723147,386392.0481821354,434005.801066707
569375.0350106303,419327.4327633076,504380.3047053642,532569.1148845409,1000000.0,562505.7796197335,574969.821206347
