Sports and Entertainment,Event Attendance,people
Single Peak Distribution,Random fluctuation,Random fluctuation,Random fluctuation
Theater Performances,Film Festivals,Music Concerts,Food and Wine Events
83724.48836518567,216599.43589045864,566745.2506856794,795134.7913844697
68016.34810775747,200869.9563951549,676386.2942087787,786725.1280826306
0.0,81241.72654891876,688439.220041126,863098.637453204
100133.22781054706,109675.03595500535,1000000.0,692812.4864798939
96607.34450941821,175530.64435236529,811716.1330800714,681811.961396869
149270.6292122014,223733.5040341936,768535.918211835,577971.5430795329
79282.96661026371,236199.578952148,793246.1505823705,586399.3551479542
121102.67390584404,129842.1655282388,664476.3279407022,513787.27180486714
167466.21541844687,126649.34849777243,685778.083835307,587152.4355455653
103987.71888571995,236559.21981478084,738374.2460494197,648980.4129657382
139728.53099884622,262185.47810427,619936.5733387679,716993.6562779177
74816.93356931614,311340.0990127132,655777.8604911128,440016.19849196257
168827.87054338533,420821.47486516426,643768.9473605321,343324.99382349255
85304.01189753329,332953.3074450317,541285.7548368738,527584.2698417095
206797.44859722714,345508.7713251608,634796.1921218673,506283.93220815115
208312.62355445375,360413.82750478183,779340.3109349259,632202.8090929135
259366.4720534244,332671.1204563453,623608.5199596355,582344.9366635332
322665.7875922332,261425.93014366733,498591.5084519977,511557.34571461467
319102.6653987933,151727.8734621723,399082.1322672281,204580.55146249212
522229.01660216856,33397.3862862824,450469.18956310017,196683.43181387236
545777.8881502716,166066.6904357452,427979.16416858824,220035.7126592222
669660.9829904102,216986.74420608566,286104.6223334021,248264.15954317135
798874.3206940324,196056.09064509236,73255.8578030068,224758.66062897514
939770.809667081,95380.86406712308,59699.287846576546,322023.17703642725
979000.6153676155,89021.46152492949,137335.5853898403,34124.14685598095
1000000.0,31113.607488748465,290997.2268402321,0.0
967162.2869702027,0.0,290586.971582654,62168.77387821456
831162.948464209,152097.01897703222,403986.86627187376,99289.61993347818
755452.0988686121,394859.87925079366,256540.2015553513,199840.32753539752
583682.5384158639,324225.9066696843,109351.56396546781,204994.09096807413
427774.5604799228,398280.8400905727,73152.78348800904,253321.27716471904
373785.9823621947,527411.6944879256,101414.19360853128,147376.03703441506
296638.4431191946,410423.9806111436,0.0,119797.90777441554
178688.4728747588,360118.7693344098,279766.817357192,103689.23246877822
222745.12591709392,445385.83731169003,301161.6963064755,201049.77346610767
161014.25409723373,443527.3221481549,416118.5012961482,242326.98335945496
182569.42568194328,475144.5734615844,622751.8046084665,328723.1969908845
150438.5087744058,438362.25483661174,508462.80968194426,234907.72589334706
120514.96267717113,429283.8894482896,474496.27918526105,367525.8711233404
56037.86817310619,382527.37756363605,529164.2103305786,434548.400557369
138635.26124261465,442846.8731868155,560631.7552407788,367693.5015684442
87219.1370198615,410406.531942796,534939.2174458454,286587.74621505226
175835.70007170062,369673.2495481786,381172.78314166504,347995.9012317248
140655.30990247166,579557.1217824689,224351.9436937323,457380.80616639176
98802.2563080456,582019.1386740691,222068.6772538189,573340.7404936088
101686.53834608088,558298.041617,199161.57821025653,737483.505924507
132250.31199754507,575224.3482372292,279906.79742594995,755465.4679075978
92158.09762837249,851405.1546361693,337025.95178083814,858472.1995326577
102338.50949068439,871171.771320079,516658.56291598966,1000000.0
123653.96536750162,1000000.0,595727.7828153559,979723.7815456649
