Transportation and Logistics,Freight Volume,tons
Single Peak Distribution,Single Peak Distribution,Periodic fluctuation,Single Peak Distribution,Periodic fluctuation,Random fluctuation,Periodic fluctuation
Barge,Rail Freight,Pipeline,Container Ship,Air Cargo,Cargo Truck,Courier Services
8541.256564329351,6338.142757578195,23567.5677781248,9061.886701187343,24139.552840448487,331.3608157819912,24825.28448534634
3339.396363974903,3337.2481083530365,31706.88515004989,4166.023701241253,37416.61805002358,8312.766611795225,33968.7028156081
4593.3115623170925,6378.954614422555,35041.72868659551,9134.54332901246,46486.30334313179,1069.1563677492584,41764.13479692065
4631.130881693636,1547.0989345506105,37289.30341513377,7487.9610883128635,50000.0,3094.4781294146533,47844.64993611486
480.2941330619735,5231.788042633165,46715.61707053783,9119.973504866079,45310.637776932876,0.0,50000.0
6572.0812255181145,3747.7773212473276,45896.47924251898,3841.931929903225,34758.70357650384,3096.592336620109,48794.962897794954
2026.5049354236273,3433.270983599567,50000.0,2776.2892403769933,20699.284536499446,5967.9567658707365,41535.00957125789
8872.185755867165,812.4182385827884,45372.79749781328,4744.635608734713,9182.358705800685,2327.2675432059436,34467.841715895855
2464.0347835321204,2239.329325999643,43907.18634335931,10039.071276568067,928.4663016312745,4488.15302391087,25943.217781775464
6594.273146785322,8381.405060478535,41664.0255381321,5275.915541266389,2561.3243732560686,6821.864491735895,14949.729094464206
3186.2262541271557,0.0,32269.840202026888,5181.173230179108,4979.025549764348,7246.27356335589,9462.089180562803
6127.740147605687,3824.089414942013,32161.54612906587,7151.933098471569,17055.082790589462,8317.386194312996,2131.2061132262434
7054.68032144601,6025.094316301489,26793.87821729457,2296.8676651832243,29422.89501649583,15065.539499596967,0.0
5411.590585591022,5405.94203353909,18415.34567486193,3156.7382812561655,40156.44364590012,22775.415460281525,7217.5095286288415
5282.9653465866895,8416.92985326975,15304.329860483233,4869.624828010248,46017.479987206956,27236.31346222913,14578.69164180423
7077.661865492949,8232.193845144451,7297.697849098967,7329.85124284891,44931.84907811152,28104.99768246327,17362.291258610112
5839.226943548787,7422.123276932266,4841.012303334806,7756.715705166584,37361.95843819836,30102.199318922256,30468.034640601232
9790.332374287664,15472.068652830285,3665.786274162251,13105.633879050665,24712.765227897395,24067.879751912693,39132.2538741758
19700.854549800883,14645.76536738147,2933.0484268011046,15084.482860738255,16023.160361238359,17992.48865142798,42962.738953803375
25992.65011071898,22069.78245867932,881.7773746634897,20202.366316857333,4264.470701870573,10079.865495819044,44829.29637871288
33584.430842250425,29408.97513018819,4744.315570502682,29549.6838417199,70.38768558478075,8738.750023359,47230.49385308957
34384.50791101792,35217.554178908715,10064.12778759293,36881.38405797471,5747.176513767951,6567.754761084498,43651.614616910505
44078.41661870287,42835.67810660791,14059.18868736702,43191.96283571669,13666.223824104265,6922.820445984025,36846.64733302579
45510.72064999632,45920.06817490185,19822.83361050749,45191.52584591906,25325.66610394576,5087.770545982302,28113.876479758117
48882.38552048371,47061.68304573368,21355.991108829614,50000.0,41174.67898801561,20047.23067949648,21014.300915425574
49300.04880607953,50000.0,31294.39083887175,48649.88854926085,45436.267936207216,23500.69950561738,16679.969882727666
50000.0,44323.09762367357,35983.10627428306,46723.44536264856,47433.848466332,24770.303400259938,5134.702638194649
44341.011882672734,41787.581673878885,37032.51924496913,44406.39840795968,42429.35078905075,21572.794220452866,3723.694897078081
39643.01236269194,35686.0691990721,44576.088412693316,37349.4648009309,29096.62507740397,22030.046241262895,4670.079145007022
30761.80116598375,29627.253293270573,44646.5483052395,26103.15721806155,18433.525424238203,20296.916051310032,9075.264664907407
22925.54690859525,22844.531954019832,44878.06953664642,25645.756951796033,10065.179040459932,22714.301473087402,13325.361822914927
17399.69174836645,19558.218422566904,46109.59793914441,16547.199898819934,3239.7339373307036,31432.146674205087,24002.514654767197
10576.77529208773,13427.767820989375,44010.84043531734,16602.031734080425,0.0,30632.03202777965,35227.02805365252
11732.486034976248,10808.63219315184,39944.57969320916,10137.966375064527,9290.388400685346,29737.29176650676,42992.92305949552
10550.234208029753,6792.244376815273,34241.96089460016,5592.349263491671,18498.454828982765,30752.026997660054,44013.8660444137
5996.93764206374,5730.306170254886,28920.572353852232,7177.020433584797,30845.760242483706,38301.8340002938,48878.22325094787
6385.120775651107,5565.915798385529,22170.004974810905,3556.1044070516136,40571.00338599997,50000.0,46101.394728889325
3021.8161145277427,3482.476689809051,20537.298282560118,7744.890796179814,47644.840890849286,44393.89802200038,40526.004165517006
1664.9219925630998,2455.7749473083345,12965.629469226333,5363.261281239199,43689.88301151998,40712.475764067596,35926.63966852797
2793.962263501779,5435.387448675643,8172.6636458171115,5073.819911916679,36978.05011178627,42466.227301894214,26944.2362511835
0.0,4456.291239135189,0.0,5732.783804681426,26821.78728382537,39001.07992905683,16498.57904751741
2407.2573176166384,2777.261781263083,2552.140690667193,1432.032583725446,15211.188060536953,43197.53548382275,10170.448794439528
1921.0460831744779,2390.9405515982226,1183.542027662641,4903.812156528504,4586.746606751484,41253.41024856014,3904.0627609552653
