Transportation and Logistics,Freight Volume,tons
Random fluctuation,Random fluctuation,Single Peak Distribution,Periodic fluctuation,Single Peak Distribution,Single Peak Distribution,Periodic fluctuation
Rail Freight,Barge,Pipeline,Cargo Truck,Container Ship,Air Cargo,Courier Services
12573.267733672177,12426.461216246937,2962.9952617886042,27028.65768625496,2507.3834748237887,829.9152586948863,30190.032212407194
17454.74049797726,17172.385172995477,5039.520720447607,34894.78506449431,1976.7853922483187,4471.159640065246,36536.222179998425
23853.56959503701,13644.24151390801,6946.606354815742,41476.96772407178,1418.7367195824404,3277.7740353509566,48766.35215294382
27330.385601886843,17111.947532098053,4820.267219692806,48221.94677196854,1802.9095781141102,0.0,49790.80884672017
32757.848519915045,14514.226119254914,7314.810300899027,49173.33724586784,5434.704021244381,4067.4435717774018,38758.1092000061
39176.59419730363,9566.732039588649,6447.890951307193,48060.22958238221,5745.777817712599,8787.180162009936,27774.850148452973
46983.573887131206,5097.9475587207935,1067.8512363956954,44917.3946182015,1452.9553797036956,5267.336752551757,9447.609408881168
39172.29796630822,5064.550529319098,2255.9129948189666,39959.723590461865,4122.431347608762,4650.10334934594,5630.707512868764
43111.061490617256,0.0,5575.579768999251,31028.382403964068,1879.7941632799918,5784.480878772068,0.0
32906.8854723495,6405.822548190397,5043.294992179985,25293.154434687975,6851.035492089158,9567.604585181329,8823.127026893153
38587.36510720339,10978.681429967739,6198.559570459701,15643.642824807363,6556.551519399836,6292.106639877561,27756.045857179644
36334.592487328984,15601.025667215961,8051.226965630641,7232.518618317684,3187.7731460766176,4478.703605247456,35838.224088724186
44503.16219939266,13869.540901110011,6935.526105749644,2529.7910652211303,4958.719285288402,6017.828527878703,47989.7290111866
46944.140032435316,16208.958575464896,5761.870273043497,1610.1143253009136,2035.6444544651897,7565.272357433757,47038.259053324524
33757.19768503006,10963.793590177604,8343.90305342333,2541.354604412668,5475.503850717005,4921.126265287171,44364.05839244624
29526.60016724493,13193.005659899958,4141.634698411415,7075.586256220686,4649.192342445186,9101.463385644709,31492.035276253257
32996.72630488929,10010.28906675238,11384.921198116608,11090.188674603394,10712.05302074385,6860.0679835389565,15962.241860456681
30535.427085893964,11820.623429461259,17866.297851309533,20675.743148527574,10269.436740433854,11522.468572131394,4122.500970098724
36404.20394498535,12779.322692261241,16083.812336942727,29844.63305369881,18820.19199752365,13801.246877131629,5190.808172546617
36927.59462258966,11855.67525956534,25909.419672900163,36977.649922261975,24286.7678604212,21850.62398544694,9434.659325796509
35947.83564166934,8176.986152643817,32844.27190996694,43269.568061092796,29569.996880307775,28790.55622173955,22355.97921615077
36252.99322060517,14147.705517562572,34352.88656345783,50000.0,39249.552524425686,33896.88882007035,33546.66333590263
40301.38483827831,18768.227676289796,43235.919197190764,48431.039171007615,36595.0030200654,40970.37983333745,46948.53998397811
39117.466485559424,26085.623700246706,46359.34763817654,47394.93592786809,47319.674714068286,41514.74471085256,49933.29753298917
40491.54458160743,23471.932734448037,50000.0,42748.85897202428,49492.11795142128,50000.0,41412.81074404707
41813.286856503146,19174.631741336594,48865.98931540436,37874.23691161874,50000.0,47250.41364773549,26023.90644812994
39644.86420755695,28263.348468386936,45896.071137661595,28882.047007531157,44858.36859205735,42350.05393239321,20474.142297413408
41418.58629732695,31313.62341585287,42690.86683397586,19725.931422523518,42424.75134121273,37791.24504452562,8791.44362041581
48102.451857386615,29632.04159848221,33093.61861057079,14455.975158722253,34608.2037992168,35472.657282633285,6705.406805129087
50000.0,26810.28144629371,29318.2311519042,5711.433281349963,30297.20353951199,27924.69684302031,8586.351620428808
37166.289194576,28283.74820596024,24147.0592975834,2571.335293531997,21309.941305333294,22912.219655900255,20273.054140561097
41236.512569995706,29759.587090958183,15541.72028750128,1493.6490032033444,18338.01508468471,15099.850722430527,36148.226802749574
42210.39567893824,27015.232274208956,17705.74868793389,6436.2602581192195,14882.653157542403,8831.767236680773,48426.16575967215
35510.15693065154,32889.26487717739,9011.445960254026,13418.984075978024,7035.423467086023,7473.029417748311,50000.0
35562.00870166107,31633.154858135364,6016.517285548448,13881.550202378898,6922.829400207768,9455.328670307272,42752.207444128384
33791.285342483716,33783.98102030924,10254.35162479892,23729.9336520609,5951.670475160911,7024.887458522082,30846.166821088493
29619.866217385443,34614.891390439014,5830.994873245848,29603.8233275124,4097.4848351096725,3148.094768872538,16060.08997189447
30991.81023819171,27718.80984529444,5445.551549208316,40233.071141140375,4440.678985504339,4612.110297028477,6006.213497592654
27817.08829016096,32463.364526947247,7360.977837603755,45385.53772904469,5502.183745272521,1482.9676720771615,4320.691525060059
21528.00012264049,31547.81661324055,4172.739500410412,48466.57886248132,4565.019223122611,6911.257308450766,10884.225426746649
14031.540105941156,28386.2087170235,4383.783664441304,46406.962843735164,3510.463412406221,3935.338845328617,18339.273633915218
12705.878807047897,32453.953525689973,4222.260444900999,46557.7204629534,588.4885181466434,5150.298946577688,34123.58046025091
8987.45933065331,28560.440590162532,3578.8927419134898,42328.01560183833,0.0,2985.4586836170074,40308.41683608326
9337.091488884751,27496.149363325632,0.0,33667.3212468071,4314.958252698237,8385.73740265061,48683.871956782554
19583.565351169556,28676.382039332544,3809.3172327635034,27174.010246875474,3662.2891154256076,4382.598556331128,42887.24917030425
13727.699042304386,34575.51558435264,10842.669209960855,17474.148301442925,438.0775294503638,4716.964075543939,35035.732674940904
7065.7612917415045,48674.97325099042,7934.392104597629,9826.440123292168,1962.0685862676305,4790.759132426895,18252.793839302365
0.0,48827.82868883455,4528.028136088969,7228.092285741028,2230.317978765405,1446.4716351001236,7792.110330091705
6683.349575605481,48074.251098941015,7109.935970020277,3058.242223049657,5453.854045255155,557.8704503053558,3058.508737281617
6342.10358257742,50000.0,6743.3260950774775,0.0,4765.397312444179,6557.474546233682,6447.2703224396755
