Transportation and Logistics,Freight Volume,tons
Random fluctuation,Single Peak Distribution,Single Peak Distribution,Periodic fluctuation,Single Peak Distribution
Cargo Truck,Barge,Container Ship,Pipeline,Air Cargo
2648.403203230909,8059.918955449263,0.0,23214.85137409719,8000.489754889553
16660.576904035323,5284.896547789619,1936.148772143189,29505.157415407433,5173.821334277993
16459.34480731452,3849.8327271522817,6606.750336670546,37413.438079783635,2889.664925899181
23515.41633260614,2065.15348331907,1685.7874594214077,43254.090398318025,8981.917835871804
27296.181695265903,2421.7119656521145,5509.101107586269,44720.78489734643,5107.140576506945
25604.42275813481,955.3541234577094,1490.72579932544,45132.70238529164,5345.414007741665
30126.501436423507,4598.311422563201,1005.979885505314,50000.0,4652.461333086258
29382.05281223094,1615.9662469179152,5213.030812016594,44856.16959437755,2549.239470573635
28969.24129275307,7806.927917216122,5323.609223757959,43807.52058099462,5944.951813722074
25149.082815947015,3919.9084454181575,1575.5027667340546,36989.62116884776,3656.5903196561894
28045.940270466912,2322.6978860318386,259.35366907268974,32460.75741244976,3015.554454452836
32689.05205320701,2297.1565074770338,4534.167406712397,24477.94424321538,3122.896236608703
35233.48650621262,6776.659162405486,2557.614828807125,18971.873358129997,4725.078167246989
42290.57329816452,7958.223068107271,4542.5386655808215,10417.617102435623,5246.132349771411
44286.36202098917,6324.9185583524295,7044.332412963971,7175.264132878181,3925.2808416284706
45901.47190218834,6792.003123606155,12919.053098107704,6105.928039076213,6570.491615053193
50000.0,9235.352378312538,6910.386548241163,3412.8272076961885,6625.812627802254
44844.788777238806,12345.931507368081,11157.846293944069,736.4874294507431,15897.656287991498
38213.82747641929,17397.439255095705,17504.288756490412,1294.4356043043615,16082.40268440158
27764.892501440358,23145.74414306859,22903.440230477172,5697.347620765366,20199.821214648702
23918.125909878778,29278.87042594276,31233.16861268838,10127.36342879161,26276.774318871205
15129.763256233584,34800.986981010436,36556.77788502775,15697.359840792757,34447.95069615363
5089.218235319926,42289.672128244834,41168.588859068295,20210.263217164214,38592.81882975885
7090.295509268138,46386.31274240278,46224.733324954155,29932.76564465893,45908.57785262461
0.0,50000.0,49649.62928352798,31956.8806551178,45541.1992569778
4791.24958456063,43853.77957339533,50000.0,38793.17898221001,50000.0
10172.105098508859,42099.339356899545,46727.83409896777,43089.66428643022,42497.07869990731
8592.925055538977,40811.54346235545,39972.568427402475,48433.84529627783,37429.01426959756
8489.075584107119,35391.95523851766,38026.236258714904,47673.96123779995,32311.39594713415
14190.705003060588,29284.93142247882,28645.181160975586,43913.738749369164,25294.14969236772
12029.395244864205,22177.63460680606,22781.96311195925,45211.61057841971,20808.98133769952
17977.25580486251,17809.299416811395,11095.637931690499,40328.770070227234,17428.570029375398
22381.915606967086,12602.093646620491,8649.443007227044,33374.36998636727,8254.756030209819
22212.109241767463,7462.256237645307,7202.116672442614,29526.351268525348,7293.16963045764
23271.51510023874,4438.843718148674,3522.489364700617,24648.023558894798,7933.32190532631
28660.22389288565,6291.129177866869,4672.921737544501,15898.644508023008,4545.462040325723
24243.90921584902,5184.755577887497,3568.022301972873,10337.641022941625,5773.376051547112
16491.21564754156,5759.5112239093405,5562.286003300354,0.0,6497.443968607719
16793.017795523076,3907.9645052367177,3913.1445230025533,2983.052128036559,3383.5554124304967
23204.528621934733,2125.6195121035703,2844.358460534211,1040.1552234025055,6674.932459941015
19774.31546128588,680.0672790845305,5297.858824037945,2269.5989721442875,9743.795672590206
30213.102750875838,3778.0082372869333,3629.0223820500983,6148.8786346716,4858.179033604141
24523.33867776357,2685.7622706889147,2480.0679651948267,8749.199459272126,4698.955254226813
25565.359103081137,2494.57296976641,6740.340615815551,13142.244201831838,3043.781172444354
26034.63714257713,3764.5478885219227,5238.068442253633,20509.59315694765,0.0
25025.330502285804,2919.282144826856,4258.768694558006,26331.639634467756,4129.31619860691
31660.367606664364,8366.086079963483,2590.0121037675453,31256.212729433497,7139.64315389925
27362.656420901676,3652.043829929818,2340.178323460042,36456.88878144514,3364.2952637637372
27418.68099894706,9323.511230364516,2706.241732649353,44069.40225431832,10141.217012272884
25385.514719166746,0.0,5884.438346272286,43662.780089174725,2457.101718617113
