Healthcare and Health,Healthcare Spending,USD/person
Random fluctuation,Random fluctuation,Periodic fluctuation,Periodic fluctuation,Random fluctuation
Chronic Disease Management,Elective Procedures,Mental Health,Preventive Care,Emergency Services
4568.037664201691,3982.370381935518,4595.4074553335195,5095.048100498721,10000.0
4207.789081302052,3707.0134712233667,6560.665198266868,6969.044529352753,8351.143117400039
3588.3126788826553,4109.613117737106,8032.882812480614,8050.447532200211,8931.366689785667
2890.8658192739745,7203.268683390817,8832.136544511784,9155.055049288114,8710.316349549077
3317.759901229408,8559.673140029523,9586.783208186946,9763.729355373313,8230.7780723392
4017.7578628874962,8377.231530217708,8701.773878830116,9637.257689945403,6657.767555445285
5199.423204146901,7803.470997576835,9577.37308085685,8965.768577605717,6349.952785727801
3417.550918433594,5818.2955191536985,6468.164270528562,6369.785158558425,5508.7949098896825
3727.999927525362,6514.5938770499515,4961.740244414919,5304.36509483076,5160.918462696573
1816.405326563269,4837.724882279082,3825.420904543228,4649.414364613335,5103.54100455082
1493.7776385140544,6071.191185757781,3107.455801216039,2149.4107652026255,6083.664267490783
394.69077762102427,7374.838680871042,699.7420529998154,757.4683019785588,6759.018534149148
850.8299890856744,6886.9490083271885,298.88129344020496,1042.5293450336537,6642.410459632038
876.0064551244047,6800.582295051677,749.8767186707378,0.0,6421.238898027357
492.88984533425014,8849.227947724374,2200.3802683575746,1714.941726878734,6138.150110697253
0.0,9470.579441935592,2851.489901758889,2217.3875935338383,7236.13090967334
2369.8481599523925,7815.625450289392,6413.226779627264,3709.7493463769783,8700.995597441331
1398.5710346958388,8051.595754760991,6569.404135795897,5385.1274033919535,8515.077274924624
3662.11818021098,7357.628008139316,9032.898357549695,7426.664756522219,9124.8524409036
5209.831416606109,6700.043391837354,9520.699683809367,8319.881443578623,8421.94565600278
3795.3781879347307,7699.591302337525,9616.479337319955,9368.065575876493,8102.421304003792
4877.136605085676,7711.684206160039,9579.01417803132,8303.565348253293,8638.670944217121
3432.007331967451,7477.044912009496,9118.217893417132,8673.387127476419,6594.329818421666
3864.5127416498563,9447.787717943196,7407.839248540796,7970.382033170543,7927.676803454927
3439.06821444795,8464.369007450843,5634.919234367734,5693.656023304436,7666.4679440823265
4081.187875264294,7697.763492808478,4117.684670624274,4161.365931279048,7189.720689647108
5016.86115000049,8671.120499544571,2377.3879176847686,2786.7998804074878,4822.564842743229
4415.107441871937,7675.893862482552,2026.6326724890278,2484.971235671459,2990.742803378215
5148.588724108946,8906.607071871655,0.0,358.7329887752384,2474.7542879676994
5579.642304732147,10000.0,756.8854114058935,388.0667788092107,1632.365754384951
5262.722609567908,8520.369835129626,899.11922275039,487.274501025526,2319.159595025903
3992.5699187896325,5951.279790678004,2378.2262250747667,1641.7663465289795,5196.9771267654105
3243.99301795212,2488.5787252994032,4350.852317624943,3139.588300090515,3478.0374662764348
4515.871223329766,4931.452102659893,5473.557134910246,5273.18983097422,4326.102648667735
5255.115253514941,5116.920520847563,7559.393398187375,6031.9881304165365,4852.654721824699
6600.675366963852,4740.976945576796,10000.0,7549.151888958821,6613.334671857489
5240.438773693875,4763.217612635879,9478.385758424018,8738.112395085946,5638.2920819156425
6147.473664159033,4147.445607041551,9710.49071343854,10000.0,3982.991919663116
7566.14080125128,3244.012165573908,8122.039460429655,8767.866104440429,2735.361513899929
7185.59671391294,1833.8555937617361,8265.639789023126,8006.753977038744,1705.3420203244998
8643.06803642045,1798.827267167159,6352.055754749385,6881.972154719368,1492.7235143990613
7550.591606331563,2031.0646968935089,5170.532355130079,5846.125917392196,2932.7892477780215
8422.294577377113,1726.212965142677,3465.6409753703692,4662.927334625515,3163.1990057121766
8480.098212041436,1001.2745358868856,2193.651034912309,3705.2710750897204,2305.8066123843923
8902.475983543605,0.0,1185.991880844639,1070.5756928316753,2001.793783273244
8986.46451887393,4575.84846541013,1160.6845745471219,215.65004911327648,2128.8529392433397
9327.858198517857,3360.9362388974628,1167.4572604871075,412.3386904955704,1069.9160315456083
9419.856481739069,4990.304374529746,2382.91286192249,1634.2598444322628,0.0
8333.357825096125,4296.333239772211,3041.9868863639517,1564.8731776401353,493.35517895976614
10000.0,5149.131595506175,5907.761018292705,3751.4946601168035,472.306657486787
