Healthcare and Health,Healthcare Spending,USD/person
Single Peak Distribution,Single Peak Distribution,Random fluctuation,Single Peak Distribution,Periodic fluctuation
Surgical Treatments,Pediatric Care,Preventive Care,Emergency Services,Mental Health
1648.0027584641377,587.18020969443,7506.5694752733625,870.5385293222065,4116.955347427953
891.8506146503569,593.4582526023213,8207.02992476538,588.6438937023239,6978.521471612204
518.0525738317502,835.8244500028202,7627.079363784422,2124.9280657932277,7672.86046776325
0.0,1677.991986601826,7106.396981232662,203.34931689437445,8922.086165137003
594.3393776831842,1044.0209385715095,6585.932471828351,1145.1931559774353,9088.2168306606
831.133229890479,1266.948349316116,7973.109749979509,288.6132505104723,8899.97141683693
122.16470609017584,1165.1851845709825,6729.391173309792,817.5508690528151,8853.378524043306
460.4598793890435,838.515652860273,5562.72187472503,859.2900785635952,8017.366756954061
1061.5732219008426,1477.6921920367186,6410.2542032328065,897.0931634934935,5416.478802922089
444.56912986801086,1384.2432903603756,5579.000314651467,1123.8775220008654,2775.911519956501
578.9057425063276,1385.5828027729222,3593.378827839366,0.0,1116.2452367398532
565.2957421563767,1442.556739783129,2880.751970805364,1557.7183656955942,914.0980962854716
871.6019314561793,1447.604258630653,1797.932190241269,600.0986215188196,0.0
851.3521365101421,1056.0476580011386,2501.9015080258537,787.1784664631303,1017.5365309722055
1459.870309336881,1250.3683633069306,3208.935309832776,1427.8529819886326,421.1383224116388
1426.319294410384,1223.1760422082652,2465.9683122524107,1189.0064129765867,1942.8918960029057
1495.7081888640341,1875.2565307789598,2251.221607176755,2135.78138866456,3557.500475591708
3224.6628008717607,3311.4782405242254,2919.879718791175,2065.319029163385,4928.889553959251
2933.7958997784262,3733.688134263642,3922.359129040865,3055.3263720701925,6329.252710840655
4162.8815523858475,5430.649252100276,4787.4796760283425,4693.798006317431,9300.019242922132
5678.046988260102,5503.154106014722,3587.318524854774,5645.770890908267,9262.049105770062
6551.345386871703,7665.410643541139,4120.465591094398,7008.466421957995,10000.0
9101.872129439897,9251.43142087466,3626.017984833691,8116.080185950121,9185.65485246875
9384.195065366199,9892.906667020885,2474.765835426949,8719.501031254256,8603.49451982775
10000.0,10000.0,2897.3489579001616,10000.0,7110.827017817623
9211.484805158738,9760.215778398677,1446.3064808727931,9313.986665663204,5315.215465802252
9035.621318843689,9873.637853549564,1257.2476787862915,8722.916718659886,3556.860446325631
8183.020383901637,8350.668519039664,593.10932825471,8005.330614121058,2872.2687058726474
7283.796000431392,7590.480848312182,1040.18750323008,7771.87867843708,930.4843634411707
5656.018459311942,5914.761878164872,0.0,5485.221794796593,426.21800710550093
4753.7578104897875,4479.375753066644,1509.9215823858733,4693.663857374108,321.95732911510726
3031.5520523374144,3979.288888601355,2746.6732777164843,3179.041445681178,226.09541211216165
1994.2217715735046,3006.0601722424044,3487.0723698367897,1953.53869801309,1413.2487623647967
2666.7178464350754,2758.7496166271,5033.674449432779,2218.569720218728,3598.8012157116154
1609.636704077844,1944.560538133773,2720.8089260893485,1396.3426015695218,4252.764881354606
1582.1291654261308,1177.5727836022609,3547.0193576978986,1367.1199811082934,6308.172965902811
1490.8032833935697,1188.819916264748,4746.135765585252,1354.0437997282859,8863.90187727635
873.0964929827821,887.8884321499228,5597.3133130861115,947.9628876885114,9020.954472801268
944.6105819293958,1962.5673334225905,6794.4476795211185,1047.713799494757,9701.826537282574
1019.3944853785288,1504.6595842650504,7214.146414941245,1482.9955782008742,8713.824601779068
1743.374595678833,1467.846465876785,7059.750050161679,662.203338393454,7103.068144061651
558.5160162805939,1193.2436524408693,9722.261687587388,706.7904356693344,6797.104732161529
654.0851429978401,1250.805974904043,10000.0,806.0735900444143,4373.421822405194
921.1949897588779,743.5964377218223,9400.092347375528,1539.3841210363296,3647.7466947171893
1139.257677236514,861.3651413660939,8885.493488166798,1934.2530800025697,2015.520313333538
1055.845376015349,0.0,9785.649420917265,1055.0794414405398,65.55949795789063
1707.5600702037775,1322.9066393315184,7785.383137093338,977.8433609577195,358.4481313209339
683.7549880679344,1577.4125749542452,6970.605685506554,1480.5486048477158,517.8583547375251
1916.4547447349623,1222.5005661094124,8131.793064017707,725.5524140996215,549.5580711505502
1344.7990820064465,99.02593608727473,6308.128980132793,186.8516663721304,1924.755391171344
