Real Estate and Housing Market,Housing Price Fluctuation,USD/square foot
Random fluctuation,Single Peak Distribution,Random fluctuation,Single Peak Distribution
Luxury Residences,Metropolitan Areas,Urban Redevelopment Areas,Coastal Properties
154559.58995924136,56031.36455322917,0.0,96919.61965733289
178013.91958612308,20782.626550277448,67308.35854433646,0.0
343156.1396389534,52538.08644433534,191825.95510807502,117451.1275319881
467590.3516028176,110924.88298828281,230595.35452653872,67387.48716805586
510841.2896291177,87333.92867931523,295561.50362136355,49309.99070262995
595682.5178984373,106353.99522620635,442921.29971814726,94204.52856390095
722095.7528052368,45049.371782429786,590184.1424510505,3707.935832843751
770279.4691249335,5566.94951262609,349240.395934038,89919.85928346109
702930.941514365,60525.365538256556,585972.4846910251,7866.602048096774
755420.8132596224,117673.79460192694,623948.103323854,32741.17016672524
670288.5501731274,49398.752515530396,697222.3057501288,32205.162272788995
698529.4949584487,144283.07740093014,764771.7785109747,133342.71266797744
671163.4852965864,79979.90295115276,851128.8728644811,36756.742463068986
788535.9618332228,87943.27256179255,788856.3877715695,28686.97745780054
1000000.0,131422.3524172919,712969.7121813652,165880.95447291163
798922.6501475467,163125.91076401345,673938.1584664963,176767.17702752017
719844.5027070118,191277.1160812063,545642.1909371002,175488.5178900971
661251.9244166092,199105.76783957268,362472.4371484017,254155.9177583191
502990.9678730826,351564.1267696217,340266.9609088033,262403.9477749162
518358.7298194563,425930.95674151246,360706.6814201631,462721.05268390704
473036.16984416725,453735.65148442856,618227.5166605604,468991.3201726312
393470.7212522365,679584.1302009695,690513.1040066042,695214.9179738904
531201.7265067738,855366.7759689166,576391.2350683287,813889.4003430866
519507.42876117205,970453.3634423835,175622.05318566455,901279.3151571994
527279.0971166239,922280.6172711867,224930.74487365584,988947.5883742735
328409.7225204882,1000000.0,95898.65746060466,1000000.0
551739.002592668,966967.6741632776,159936.4471356524,877814.367498135
403217.7217776672,782514.1338155934,297898.57340062095,741133.8790210343
454775.4568694368,679183.943326752,271480.71206491976,608170.2331805275
398041.7297759599,564911.2075521224,231098.98642252022,531716.7676351881
405899.5398723436,397780.99057014234,352791.1815636877,439649.63475198613
363259.08659491583,300114.26691800356,351616.24227848864,341450.15108438325
345758.171370688,203222.63628584042,404231.907115287,227076.49128363488
23004.415661282586,153317.01110689493,499776.97908146353,182773.7662997971
76014.3744218429,82676.73697010193,660653.5961839989,181847.125171792
91333.51460071451,132134.88403341293,996286.9658662379,103704.51162684338
31565.969501516676,78724.97265669562,962132.8110575991,97516.56482684397
26936.35309573222,65901.88836905757,1000000.0,121846.99576611517
172106.97428357197,61929.90602353839,831319.1160264254,91659.99893255017
99070.20618919817,86327.5885762709,938210.5589321713,14605.29513288512
383989.6335238655,136778.49376428354,935926.9081027566,86268.82043387885
294356.0222703692,152769.64491930493,740040.0083506412,68313.1597899007
517913.212648922,45079.69284507118,761228.77095218,1096.1373963143153
253913.74488664753,69330.6901091722,970674.0437896404,80136.29840635849
265287.7873707979,183250.62044729496,955685.8904579227,64922.89558001414
351461.6819822533,0.0,943908.1795891299,12090.233746111404
134121.10974286316,99066.78262285786,742074.8403722628,110425.18305424626
147035.3299160951,83166.88899380321,606865.7974571309,37829.63911497321
153650.76666771332,84393.70160034767,442901.2756173411,45080.0405081989
0.0,109950.18667649993,304679.9140156075,81097.92018162936
