Real Estate and Housing Market,Housing Price Fluctuation,USD/square foot
Single Peak Distribution,Periodic fluctuation,Single Peak Distribution,Single Peak Distribution,Random fluctuation,Periodic fluctuation,Random fluctuation
Suburbs,Coastal Properties,Luxury Residences,Rural Areas,Metropolitan Areas,Mountain Regions,Urban Redevelopment Areas
86000.55617770052,451134.43782935065,38113.812810845724,22226.102868185288,435328.37371179083,539257.4393226929,1000000.0
65124.435842762075,764506.5004053414,29023.9039737038,96030.05087804125,527769.7902660789,752670.7364857282,955684.1857105666
120243.6396279015,899211.418349246,134859.31476430647,14693.267686285833,434822.56586312957,890199.8436607358,996216.6605242572
95819.11668978886,942934.8234760506,23126.545590419904,40885.615264739194,217696.18509291197,1000000.0,896079.5333308352
33102.605107432544,822368.0842407435,80033.19440615304,149217.4535388389,181807.8522893454,952466.3539953895,799252.4331244224
144529.59120139587,639977.3432280304,62027.886786904826,117456.36593806821,0.0,761555.0910692316,822321.1199415766
58520.13143123208,344612.0670590216,50802.0662315638,99559.63611269469,47500.77873449564,502060.4627161267,797658.8370742052
87123.14155223148,71242.86823526109,146973.50188649626,106458.11761575118,227676.14900412876,304675.4265185848,789298.8156719949
14808.93205365236,10795.34489968004,48500.222870984755,84132.09400262864,184951.59441022907,162472.44984707973,846611.0897475044
55458.90720796385,42973.045651048895,105491.29765263408,117153.74814899664,256399.19579906878,24632.092770649164,558721.9390111485
59408.547326893975,266218.46570695704,40842.27455911228,97708.9466769487,284289.493929876,124756.19298144171,602603.4050055399
125817.16936800488,549567.3283447719,0.0,71911.43535788148,327870.7818209316,295844.9789239432,676055.6316608713
113863.63113109447,774788.5583557005,134598.68532751486,78046.26126116849,228027.54322404618,558140.0821650985,550344.6321356072
49564.042569036894,924090.7014870717,103674.84939005169,111017.87570527621,515786.43750345765,844148.3360882464,449798.430547888
31274.4136192554,973391.5197451899,151642.86547837593,157323.0343077474,503251.5895167918,906201.7657226818,203052.56124189965
169234.30558404577,807867.5442752047,142857.15988023195,65498.87609111428,704505.5174782546,940121.6133975076,243499.94247895604
212916.00441839936,627372.8574202922,175918.59573064419,192399.82207716524,709324.2551148735,928944.5049812741,142467.49239368268
260814.17550891766,270891.20940745826,233648.08812317924,206060.08195332513,652995.8545333846,757180.2657073961,227610.1878156073
314006.84174526436,98338.53584206678,436158.94824697974,343939.153512146,671737.7921837679,522833.4830422249,356217.1222102645
390707.1820389912,36802.03648570821,435884.9773338241,443854.760228179,730913.1623156345,306928.6339429074,299152.82267636503
539374.5878552096,102011.53753904148,615712.7740918664,597137.8760234243,646078.8741005653,100583.2646857168,406134.85964180867
638576.8507860368,248890.2361868181,774425.8442155952,702509.1921157404,767123.3207449237,0.0,566426.915310122
789427.195007445,572694.2578480308,919292.3114814976,841692.483039901,759457.9824248814,204649.60442204922,533181.2466653112
